1272_135031_000002_000000	King Kaliko	King Kaliko
1272_135031_000005_000000	"Don't worry," replied Quox.	"Don't worry," replied Quox.
1272_135031_000007_000001	Next instant Shaggy was himself again and Quox said to him grumblingly:	Next instant Shaggy was himself again and Quox said to him grumblingly:
1272_135031_000008_000000	"Please get off my left toe, Shaggy Man, and be more particular where you step."	"Please get off my left toe, Shaggy Man, and be more particular where you step."
1272_135031_000026_000002	Quox did not have much to say until the conversation was ended, but then he turned to Kaliko and asked:	Quox did not have much to say until the conversation was ended, but then he turned to Kaliko and asked:
1272_135031_000028_000000	"Me?" stammered the Chamberlain, greatly surprised by the question. "Well, I couldn't be a worse King, I'm sure."	"Me?" stammered the Chamberlain, greatly surprised by the question. "Well, I couldn't be a worse King, I'm sure."
1272_135031_000030_000000	"Of course," said Kaliko.	"Of course," said Kaliko.
1272_135031_000032_000000	"Hooray!" cried Betsy; "I'm glad of that.	"Hooray!" cried Betsy; "I'm glad of that.
1272_135031_000035_000000	"The Ugly One?	"The Ugly One?
1272_135031_000035_000001	Very willingly," replied Kaliko.	Very willingly," replied Kaliko.
1272_135031_000036_000002	But is my dear brother well?" he added anxiously.	But is my dear brother well?" he added anxiously.
1272_135031_000038_000000	"I hope he doesn't work too hard," said Shaggy.	"I hope he doesn't work too hard," said Shaggy.
1272_135031_000039_000000	"He doesn't work at all.	"He doesn't work at all.
1272_135031_000041_000000	"Not exactly," returned Kaliko.	"Not exactly," returned Kaliko.
1272_135031_000043_000000	"In the Metal Forest."	"In the Metal Forest."
1272_135031_000044_000000	"Where is that?"	"Where is that?"
1272_135031_000045_000002	All the trees are gold and silver and the ground is strewn with precious stones, so it is a sort of treasury."	All the trees are gold and silver and the ground is strewn with precious stones, so it is a sort of treasury."
1272_135031_000047_000000	Kaliko hesitated.	Kaliko hesitated.
1272_135031_000051_000000	"Do you suppose Ruggedo destroyed them?"	"Do you suppose Ruggedo destroyed them?"
1272_135031_000052_000000	"Oh, no; I'm quite sure he didn't.	"Oh, no; I'm quite sure he didn't.
1272_135031_000052_000001	They fell into the big pit in the passage, and we put the cover on to keep them there; but when the executioners went to look for them they had all disappeared from the pit and we could find no trace of them."	They fell into the big pit in the passage, and we put the cover on to keep them there; but when the executioners went to look for them they had all disappeared from the pit and we could find no trace of them."
1272_135031_000053_000000	"That's funny," remarked Betsy thoughtfully.	"That's funny," remarked Betsy thoughtfully.
1272_135031_000053_000002	But to disappear like that seems like magic; now, doesn't it?"	But to disappear like that seems like magic; now, doesn't it?"
1272_135031_000054_000000	They agreed that it did, but no one could explain the mystery.	They agreed that it did, but no one could explain the mystery.
1272_135031_000055_000000	"However," said Shaggy, "they are gone, that is certain, so we cannot help them or be helped by them.	"However," said Shaggy, "they are gone, that is certain, so we cannot help them or be helped by them.
1272_135031_000058_000000	Betsy laughed and Shaggy seemed rather hurt; but Polychrome relieved his embarrassment by saying softly: "One can be ugly in looks, but lovely in disposition."	Betsy laughed and Shaggy seemed rather hurt; but Polychrome relieved his embarrassment by saying softly: "One can be ugly in looks, but lovely in disposition."
1272_135031_000060_000000	"True," agreed Kaliko.	"True," agreed Kaliko.
1272_135031_000060_000001	"So I think I will assemble the chief nomes of my kingdom in this throne room and tell them that I am their new King. Then I can ask them to assist us in searching for the secret passages.	"So I think I will assemble the chief nomes of my kingdom in this throne room and tell them that I am their new King. Then I can ask them to assist us in searching for the secret passages.
1272_135031_000063_000000	"Of course not," said he, jumping up from the throne, where he had seated himself.	"Of course not," said he, jumping up from the throne, where he had seated himself.
