1272_141231_000000_000000	_Bantam Books are published by Bantam Books, Inc., a National General company.	underscore Bantam Books are published by Bantam Books, inc, a National General company.	false	0	1.83	35.10956
1272_141231_000000_000001	Its trade-mark, consisting of the words "Bantam Books" and the portrayal of a bantam, is registered in the United States Patent Office and in other countries.	Its trade mark, consisting of the words "Bantam Books" and the portrayal of a bantam, is registered in the United States Patent Office and in other countries.	false	1.83	8.64	22.358065
1272_141231_000000_000002	Marca Registrada. Bantam Books, Inc., 666 Fifth Avenue, New York, N.Y. 10019._	Marca Registrada. Bantam Books, inc, six sixty six Fifth Avenue ,New York new york one o o one nine.underscore	false	8.64	15.84	17.54376
1272_141231_000001_000000	PRINTED IN THE UNITED STATES OF AMERICA	PRINTED IN THE UNITED STATES OF AMERICA	false	15.84	23.01	22.42569
1272_141231_000002_000000	For my Mother and Father--	For my Mother and Father-	true	23.01	24.945	22.878979
1272_141231_000003_000000	RIA AND LEO HARRISON	RIA AND LEO HARRISON	false	24.945	28.65	18.783932
1272_141231_000004_000000	I	I	false	28.65	30.72	32.686016
1272_141231_000005_000000	_A man said to the universe: "Sir, I exist!" "However" replied the universe, "The fact has not created in me A sense of obligation."_	underscore A man said to the universe: "Sir, I exist!" "However" replied the universe, "The fact has not created in me A sense of obligation."underscore	false	30.72	44.01	22.495726
1272_141231_000006_000000	STEPHEN CRANE	STEPHEN CRANE	true	44.01	45.07	23.754242
1272_141231_000007_000000	Sweat covered Brion's body, trickling into the tight loincloth that was the only garment he wore.	Sweat covered Brion's body, trickling into the tight loincloth that was the only garment he wore.	false	46.79	52.89	22.199066
1272_141231_000007_000001	The light fencing foil in his hand felt as heavy as a bar of lead to his exhausted muscles, worn out by a month of continual exercise.	The light fencing foil in his hand felt as heavy as a bar of lead to his exhausted muscles, worn out by a month of continual exercise.	false	52.89	61.84	20.916986
1272_141231_000007_000002	These things were of no importance. The cut on his chest, still dripping blood, the ache of his overstrained eyes--even the soaring arena around him with the thousands of spectators--were trivialities not worth thinking about. There was only one thing in his universe: the button-tipped length of shining steel that hovered before him, engaging his own weapon. He felt the quiver and scrape of its life, knew when it moved and moved himself to counteract it.	These things were of no importance. The cut on his chest, still dripping blood, the ache of his overstrained eyes-even the soaring arena around him with the thousands of spectators-were trivialities not worth thinking about. There was only one thing in his universe: the button tipped length of shining steel that hovered before him, engaging his own weapon. He felt the quiver and scrape of its life, knew when it moved and moved himself to counteract it.	true	62.63	95.08	21.080528
1272_141231_000007_000003	And when he attacked, it was always there to beat him aside.	And when he attacked, it was always there to beat him aside.	true	96.02	99.76	20.334377
1272_141231_000008_000000	A sudden motion.	A sudden motion.	true	101.39	102.73	18.677645
1272_141231_000008_000001	He reacted--but his blade just met air.	He reacted-but his blade just met air.	true	102.95	105.73	29.719557
1272_141231_000008_000002	His instant of panic was followed by a small sharp blow high on his chest.	His instant of panic was followed by a small sharp blow high on his chest.	false	106.19	110.91	24
1272_141231_000009_000000	"_Touch!_" A world-shaking voice bellowed the word to a million waiting loudspeakers, and the applause of the audience echoed back in a wave of sound.	"underscore Touch!underscore" A world shaking voice bellowed the word to a million waiting loudspeakers, and the applause of the audience echoed back in a wave of sound.	false	110.91	122.44	20.823788
1272_141231_000010_000000	"One minute," a voice said, and the time buzzer sounded.	"One minute," a voice said, and the time buzzer sounded.	true	123.11	127.48	24.555588
