1673_143396_000000_000000	[Footnote 6: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	[Footnote six: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	false	0	3.45	21.547987
1673_143396_000000_000001	i.) and Maximus of Tyre (Dissertat. xvi.) from the intricacies of dialogue, which sometimes amuse, and often perplex, the readers of the Phoedrus, the Phoedon, and the Laws of Plato.]	i.) and Maximus of Tyre (Dissertat. x v i.) from the intricacies of dialogue, which sometimes amuse, and often perplex, the readers of the Phoedrus, the Phoedon, and the Laws of Plato.]	false	3.45	9.81	20.149187
1673_143396_000001_000000	[Footnote 7: The disciples of Jesus were persuaded that a man might have sinned before he was born, (John, ix.	[Footnote seven: The disciples of Jesus were persuaded that a man might have sinned before he was born, (john, ix.	false	9.81	16.29	22.748396
1673_143396_000001_000001	2,) and the Pharisees held the transmigration of virtuous souls, (Joseph. de Bell.	two,) and the Pharisees held the transmigration of virtuous souls, (Joseph. de Bell.	false	16.29	19.53	21
1673_143396_000001_000002	Judaico, l.	Judaico, l.	false	19.53	20.07	100
1673_143396_000001_000003	ii.	ii.	false	20.07	20.34	20
1673_143396_000001_000004	c. 7;) and a modern Rabbi is modestly assured, that Hermes, Pythagoras, Plato, &c., derived their metaphysics from his illustrious countrymen.]	c. seven winking face  and a modern Rabbi is modestly assured, that Hermes, Pythagoras, Plato, and c., derived their metaphysics from his illustrious countrymen.]	false	20.34	29.67	24.377897
1673_143396_000002_000000	[Footnote 8: Four different opinions have been entertained concerning the origin of human souls: 1.	[Footnote eight: Four different opinions have been entertained concerning the origin of human souls: one.	false	29.67	33.24	21.77431
1673_143396_000002_000001	That they are eternal and divine.	That they are eternal and divine.	false	33.24	34.5	24.491846
1673_143396_000002_000002	2.	two.	false	34.5	34.5	
1673_143396_000002_000003	That they were created in a separate state of existence, before their union with the body.	That they were created in a separate state of existence, before their union with the body.	false	34.5	38.1	16
1673_143396_000002_000004	3.	three.	false	38.1	38.49	14
1673_143396_000002_000005	That they have been propagated from the original stock of Adam, who contained in himself the mental as well as the corporeal seed of his posterity.	That they have been propagated from the original stock of Adam, who contained in himself the mental as well as the corporeal seed of his posterity.	false	38.49	50.58	22.709879
1673_143396_000002_000006	4.	four.	false	50.58	51.36	20.324976
1673_143396_000002_000007	That each soul is occasionally created and embodied in the moment of conception.--The last of these sentiments appears to have prevailed among the moderns; and our spiritual history is grown less sublime, without becoming more intelligible.]	That each soul is occasionally created and embodied in the moment of conception.--The last of these sentiments appears to have prevailed among the moderns; and our spiritual history is grown less sublime, without becoming more intelligible.]	false	51.36	67.08	21.909262
1673_143396_000003_000000	[Footnote 9: It was one of the fifteen heresies imputed to Origen, and denied by his apologist, (Photius, Bibliothec. cod.	[Footnote nine: It was one of the fifteen heresies imputed to Origen, and denied by his apologist, (Photius, Bibliothec. cod.	false	67.08	74.16	21.407204
1673_143396_000003_000001	cxvii.	c x v i i.	false	74.16	76.11	21.230852
