1673_143397_000000_000000	[Footnote 22: A grammarian is named by Socrates (l. vii.	[Footnote twenty two: A grammarian is named by Socrates (l. vii.	false	0.51	2.64	19
1673_143397_000000_000001	c.	c.	false	2.64	2.64	
1673_143397_000000_000002	13).]	thirteen).]	false	2.64	2.67	2
1673_143397_000001_000000	[Footnote 23: See the youth and promotion of Cyril, in Socrates, (l. vii.	[Footnote twenty three: See the youth and promotion of Cyril, in Socrates, (l. vii.	false	2.67	4.02	16
1673_143397_000001_000001	c.	c.	false	4.02	4.08	-20
1673_143397_000001_000002	7) and Renaudot, (Hist.	seven) and Renaudot, (Hist.	false	4.08	4.86	7
1673_143397_000001_000003	Patriarchs.	Patriarchs.	false	4.86	5.16	4
1673_143397_000001_000004	Alexandrin.	Alexandrin.	false	5.16	5.49	23
1673_143397_000001_000005	p. 106, 108.) The Abbe Renaudot drew his materials from the Arabic history of Severus, bishop of Hermopolis Magma, or Ashmunein, in the xth century, who can never be trusted, unless our assent is extorted by the internal evidence of facts.]	p. one hundred six, one hundred eight.) The Abbe Renaudot drew his materials from the Arabic history of Severus, bishop of Hermopolis Magma, or Ashmunein, in the x t h century, who can never be trusted, unless our assent is extorted by the internal evidence of facts.]	false	5.49	20.46	20.699419
1673_143397_000002_000000	Chapter XLVII: Ecclesiastical Discord.--Part II.	Chapter forty seven: Ecclesiastical Discord.--Part two.	false	20.46	25.5	21.124357
1673_143397_000003_000000	The prize was not unworthy of his ambition.	The prize was not unworthy of his ambition.	true	25.5	28	23.270937
1673_143397_000003_000001	At a distance from the court, and at the head of an immense capital, the patriarch, as he was now styled, of Alexandria had gradually usurped the state and authority of a civil magistrate.	At a distance from the court, and at the head of an immense capital, the patriarch, as he was now styled, of Alexandria had gradually usurped the state and authority of a civil magistrate.	true	28.43	38.77	21.17899
1673_143397_000003_000002	The public and private charities of the city were blindly obeyed by his numerous and fanatic parabolani, [24] familiarized in their daily office with scenes of death; and the praefects of Egypt were awed or provoked by the temporal power of these Christian pontiffs. Ardent in the prosecution of heresy, Cyril auspiciously opened his reign by oppressing the Novatians, the most innocent and harmless of the sectaries.	The public and private charities of the city were blindly obeyed by his numerous and fanatic parabolani, [twenty four] familiarized in their daily office with scenes of death; and the praefects of Egypt were awed or provoked by the temporal power of these Christian pontiffs. Ardent in the prosecution of heresy, Cyril auspiciously opened his reign by oppressing the Novatians, the most innocent and harmless of the sectaries.	false	39.14	62.86	22.298557
1673_143397_000003_000003	The interdiction of their religious worship appeared in his eyes a just and meritorious act; and he confiscated their holy vessels, without apprehending the guilt of sacrilege.	The interdiction of their religious worship appeared in his eyes a just and meritorious act; and he confiscated their holy vessels, without apprehending the guilt of sacrilege.	true	63.56	72.46	22
1673_143397_000003_000004	The toleration, and even the privileges of the Jews, who had multiplied to the number of forty thousand, were secured by the laws of the Caesars and Ptolemies, and a long prescription of seven hundred years since the foundation of Alexandria.	The toleration, and even the privileges of the Jews, who had multiplied to the number of forty thousand, were secured by the laws of the Caesars and Ptolemies, and a long prescription of seven hundred years since the foundation of Alexandria.	true	72.98	85.6	20.536045
