1673_143397_000003_000000	The prize was not unworthy of his ambition.	The prize was not unworthy of his ambition.
1673_143397_000003_000001	At a distance from the court, and at the head of an immense capital, the patriarch, as he was now styled, of Alexandria had gradually usurped the state and authority of a civil magistrate.	At a distance from the court, and at the head of an immense capital, the patriarch, as he was now styled, of Alexandria had gradually usurped the state and authority of a civil magistrate.
1673_143397_000003_000003	The interdiction of their religious worship appeared in his eyes a just and meritorious act; and he confiscated their holy vessels, without apprehending the guilt of sacrilege.	The interdiction of their religious worship appeared in his eyes a just and meritorious act; and he confiscated their holy vessels, without apprehending the guilt of sacrilege.
1673_143397_000003_000004	The toleration, and even the privileges of the Jews, who had multiplied to the number of forty thousand, were secured by the laws of the Caesars and Ptolemies, and a long prescription of seven hundred years since the foundation of Alexandria.	The toleration, and even the privileges of the Jews, who had multiplied to the number of forty thousand, were secured by the laws of the Caesars and Ptolemies, and a long prescription of seven hundred years since the foundation of Alexandria.
1673_143397_000003_000006	Unarmed and unprepared, the Jews were incapable of resistance; their houses of prayer were levelled with the ground, and the episcopal warrior, after-rewarding his troops with the plunder of their goods, expelled from the city the remnant of the unbelieving nation.	Unarmed and unprepared, the Jews were incapable of resistance; their houses of prayer were levelled with the ground, and the episcopal warrior, after rewarding his troops with the plunder of their goods, expelled from the city the remnant of the unbelieving nation.
1673_143397_000003_000007	Perhaps he might plead the insolence of their prosperity, and their deadly hatred of the Christians, whose blood they had recently shed in a malicious or accidental tumult.	Perhaps he might plead the insolence of their prosperity, and their deadly hatred of the Christians, whose blood they had recently shed in a malicious or accidental tumult.
1673_143397_000004_000000	Such crimes would have deserved the animadversion of the magistrate; but in this promiscuous outrage, the innocent were confounded with the guilty, and Alexandria was impoverished by the loss of a wealthy and industrious colony.	Such crimes would have deserved the animadversion of the magistrate; but in this promiscuous outrage, the innocent were confounded with the guilty, and Alexandria was impoverished by the loss of a wealthy and industrious colony.
1673_143397_000004_000005	Such honors might incite the faithful to combat and die under the banners of the saint; and he soon prompted, or accepted, the sacrifice of a virgin, who professed the religion of the Greeks, and cultivated the friendship of Orestes.	Such honors might incite the faithful to combat and die under the banners of the saint; and he soon prompted, or accepted, the sacrifice of a virgin, who professed the religion of the Greeks, and cultivated the friendship of Orestes.
1673_143397_000009_000001	When the memory of Chrysostom was restored and consecrated, the nephew of Theophilus, at the head of a dying faction, still maintained the justice of his sentence; nor was it till after a tedious delay and an obstinate resistance, that he yielded to the consent of the Catholic world.	When the memory of Chrysostom was restored and consecrated, the nephew of Theophilus, at the head of a dying faction, still maintained the justice of his sentence; nor was it till after a tedious delay and an obstinate resistance, that he yielded to the consent of the Catholic world.
1673_143397_000009_000004	After the short and troubled reign of Sisinnius, bishop of Constantinople, the factions of the clergy and people were appeased by the choice of the emperor, who, on this occasion, consulted the voice of fame, and invited the merit of a stranger.	After the short and troubled reign of Sisinnius, bishop of Constantinople, the factions of the clergy and people were appeased by the choice of the emperor, who, on this occasion, consulted the voice of fame, and invited the merit of a stranger.
1673_143397_000010_000001	"Give me, O Caesar!" he exclaimed, "give me the earth purged of heretics, and I will give you in exchange the kingdom of heaven.	"Give me, O Caesar!" he exclaimed, "give me the earth purged of heretics, and I will give you in exchange the kingdom of heaven.
1673_143397_000010_000003	On either side of the Hellespont his episcopal vigor imposed a rigid formulary of faith and discipline; a chronological error concerning the festival of Easter was punished as an offence against the church and state.	On either side of the Hellespont his episcopal vigor imposed a rigid formulary of faith and discipline; a chronological error concerning the festival of Easter was punished as an offence against the church and state.
1673_143397_000016_000002	At these blasphemous sounds, the pillars of the sanctuary were shaken.	At these blasphemous sounds, the pillars of the sanctuary were shaken.
1673_143397_000016_000003	The unsuccessful competitors of Nestorius indulged their pious or personal resentment, the Byzantine clergy was secretly displeased with the intrusion of a stranger: whatever is superstitious or absurd, might claim the protection of the monks; and the people were interested in the glory of their virgin patroness.	The unsuccessful competitors of Nestorius indulged their pious or personal resentment, the Byzantine clergy was secretly displeased with the intrusion of a stranger: whatever is superstitious or absurd, might claim the protection of the monks; and the people were interested in the glory of their virgin patroness.
1673_143397_000016_000007	From the East, more especially from Antioch, he obtained the ambiguous counsels of toleration and silence, which were addressed to both parties while they favored the cause of Nestorius.	From the East, more especially from Antioch, he obtained the ambiguous counsels of toleration and silence, which were addressed to both parties while they favored the cause of Nestorius.
1673_143397_000016_000008	But the Vatican received with open arms the messengers of Egypt.	But the Vatican received with open arms the messengers of Egypt.
1673_143397_000025_000010	Nestorius, who depended on the near approach of his Eastern friends, persisted, like his predecessor Chrysostom, to disclaim the jurisdiction, and to disobey the summons, of his enemies: they hastened his trial, and his accuser presided in the seat of judgment.	Nestorius, who depended on the near approach of his Eastern friends, persisted, like his predecessor Chrysostom, to disclaim the jurisdiction, and to disobey the summons, of his enemies: they hastened his trial, and his accuser presided in the seat of judgment.
1673_143397_000025_000011	Sixty-eight bishops, twenty-two of metropolitan rank, defended his cause by a modest and temperate protest: they were excluded from the councils of their brethren.	Sixty eight bishops, twenty two of metropolitan rank, defended his cause by a modest and temperate protest: they were excluded from the councils of their brethren.
1673_143397_000025_000012	Candidian, in the emperor's name, requested a delay of four days; the profane magistrate was driven with outrage and insult from the assembly of the saints.	Candidian, in the emperor's name, requested a delay of four days; the profane magistrate was driven with outrage and insult from the assembly of the saints.
1673_143397_000025_000013	The whole of this momentous transaction was crowded into the compass of a summer's day: the bishops delivered their separate opinions; but the uniformity of style reveals the influence or the hand of a master, who has been accused of corrupting the public evidence of their acts and subscriptions.	The whole of this momentous transaction was crowded into the compass of a summer's day: the bishops delivered their separate opinions; but the uniformity of style reveals the influence or the hand of a master, who has been accused of corrupting the public evidence of their acts and subscriptions.
1673_143397_000031_000000	On the fifth day, the triumph was clouded by the arrival and indignation of the Eastern bishops.	On the fifth day, the triumph was clouded by the arrival and indignation of the Eastern bishops.
1673_143397_000031_000001	In a chamber of the inn, before he had wiped the dust from his shoes, John of Antioch gave audience to Candidian, the Imperial minister; who related his ineffectual efforts to prevent or to annul the hasty violence of the Egyptian.	In a chamber of the inn, before he had wiped the dust from his shoes, john of Antioch gave audience to Candidian, the Imperial minister; who related his ineffectual efforts to prevent or to annul the hasty violence of the Egyptian.
1673_143397_000031_000004	The troops, under the command of Candidian, advanced to the assault; the outguards were routed and put to the sword, but the place was impregnable: the besiegers retired; their retreat was pursued by a vigorous sally; they lost their horses, and many of their soldiers were dangerously wounded with clubs and stones.	The troops, under the command of Candidian, advanced to the assault; the outguards were routed and put to the sword, but the place was impregnable: the besiegers retired; their retreat was pursued by a vigorous sally; they lost their horses, and many of their soldiers were dangerously wounded with clubs and stones.
1673_143397_000031_000005	Ephesus, the city of the Virgin, was defiled with rage and clamor, with sedition and blood; the rival synods darted anathemas and excommunications from their spiritual engines; and the court of Theodosius was perplexed by the adverse and contradictory narratives of the Syrian and Egyptian factions.	Ephesus, the city of the Virgin, was defiled with rage and clamor, with sedition and blood; the rival synods darted anathemas and excommunications from their spiritual engines; and the court of Theodosius was perplexed by the adverse and contradictory narratives of the Syrian and Egyptian factions.
1673_143397_000031_000006	During a busy period of three months, the emperor tried every method, except the most effectual means of indifference and contempt, to reconcile this theological quarrel.	During a busy period of three months, the emperor tried every method, except the most effectual means of indifference and contempt, to reconcile this theological quarrel.
1673_143397_000031_000007	He attempted to remove or intimidate the leaders by a common sentence, of acquittal or condemnation; he invested his representatives at Ephesus with ample power and military force; he summoned from either party eight chosen deputies to a free and candid conference in the neighborhood of the capital, far from the contagion of popular frenzy.	He attempted to remove or intimidate the leaders by a common sentence, of acquittal or condemnation; he invested his representatives at Ephesus with ample power and military force; he summoned from either party eight chosen deputies to a free and candid conference in the neighborhood of the capital, far from the contagion of popular frenzy.
1673_143397_000031_000008	But the Orientals refused to yield, and the Catholics, proud of their numbers and of their Latin allies, rejected all terms of union or toleration.	But the Orientals refused to yield, and the Catholics, proud of their numbers and of their Latin allies, rejected all terms of union or toleration.
1673_143397_000031_000009	The patience of the meek Theodosius was provoked; and he dissolved in anger this episcopal tumult, which at the distance of thirteen centuries assumes the venerable aspect of the third oecumenical council.	The patience of the meek Theodosius was provoked; and he dissolved in anger this episcopal tumult, which at the distance of thirteen centuries assumes the venerable aspect of the third oecumenical council.
1673_143397_000031_000011	His providence will discern and punish the guilty.	His providence will discern and punish the guilty.
1673_143397_000031_000012	Return to your provinces, and may your private virtues repair the mischief and scandal of your meeting." They returned to their provinces; but the same passions which had distracted the synod of Ephesus were diffused over the Eastern world.	Return to your provinces, and may your private virtues repair the mischief and scandal of your meeting." They returned to their provinces; but the same passions which had distracted the synod of Ephesus were diffused over the Eastern world.
