174_168635_000014_000000	CHAPTER III--TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE	CHAPTER three-TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE
174_168635_000016_000000	Some new thing had come into his soul.	Some new thing had come into his soul.
174_168635_000017_000000	Jean Valjean had never loved anything; for twenty-five years he had been alone in the world.	Jean Valjean had never loved anything; for twenty five years he had been alone in the world.
174_168635_000018_000000	When he saw Cosette, when he had taken possession of her, carried her off, and delivered her, he felt his heart moved within him.	When he saw Cosette, when he had taken possession of her, carried her off, and delivered her, he felt his heart moved within him.
174_168635_000019_000001	He approached the bed, where she lay sleeping, and trembled with joy.	He approached the bed, where she lay sleeping, and trembled with joy.
174_168635_000020_000000	Poor old man, with a perfectly new heart!	Poor old man, with a perfectly new heart!
174_168635_000021_000000	Only, as he was five and fifty, and Cosette eight years of age, all that might have been love in the whole course of his life flowed together into a sort of ineffable light.	Only, as he was five and fifty, and Cosette eight years of age, all that might have been love in the whole course of his life flowed together into a sort of ineffable light.
174_168635_000022_000001	The Bishop had caused the dawn of virtue to rise on his horizon; Cosette caused the dawn of love to rise.	The Bishop had caused the dawn of virtue to rise on his horizon; Cosette caused the dawn of love to rise.
174_168635_000023_000000	The early days passed in this dazzled state.	The early days passed in this dazzled state.
174_168635_000024_000000	Cosette, on her side, had also, unknown to herself, become another being, poor little thing!	Cosette, on her side, had also, unknown to herself, become another being, poor little thing!
174_168635_000024_000001	She was so little when her mother left her, that she no longer remembered her.	She was so little when her mother left her, that she no longer remembered her.
174_168635_000024_000002	Like all children, who resemble young shoots of the vine, which cling to everything, she had tried to love; she had not succeeded.	Like all children, who resemble young shoots of the vine, which cling to everything, she had tried to love; she had not succeeded.
174_168635_000024_000004	She had loved the dog, and he had died, after which nothing and nobody would have anything to do with her.	She had loved the dog, and he had died, after which nothing and nobody would have anything to do with her.
174_168635_000024_000005	It is a sad thing to say, and we have already intimated it, that, at eight years of age, her heart was cold.	It is a sad thing to say, and we have already intimated it, that, at eight years of age, her heart was cold.
174_168635_000024_000007	Thus, from the very first day, all her sentient and thinking powers loved this kind man.	Thus, from the very first day, all her sentient and thinking powers loved this kind man.
174_168635_000025_000000	The man no longer produced on her the effect of being old or poor; she thought Jean Valjean handsome, just as she thought the hovel pretty.	The man no longer produced on her the effect of being old or poor; she thought Jean Valjean handsome, just as she thought the hovel pretty.
174_168635_000026_000001	The novelty of the earth and of life counts for something here.	The novelty of the earth and of life counts for something here.
174_168635_000026_000002	Nothing is so charming as the coloring reflection of happiness on a garret.	Nothing is so charming as the coloring reflection of happiness on a garret.
174_168635_000026_000003	We all have in our past a delightful garret.	We all have in our past a delightful garret.
174_168635_000027_000000	Nature, a difference of fifty years, had set a profound gulf between Jean Valjean and Cosette; destiny filled in this gulf.	Nature, a difference of fifty years, had set a profound gulf between Jean Valjean and Cosette; destiny filled in this gulf.
174_168635_000027_000001	Destiny suddenly united and wedded with its irresistible power these two uprooted existences, differing in age, alike in sorrow.	Destiny suddenly united and wedded with its irresistible power these two uprooted existences, differing in age, alike in sorrow.
174_168635_000027_000002	One, in fact, completed the other.	One, in fact, completed the other.
174_168635_000027_000004	To meet was to find each other.	To meet was to find each other.
174_168635_000027_000005	At the mysterious moment when their hands touched, they were welded together. When these two souls perceived each other, they recognized each other as necessary to each other, and embraced each other closely.	At the mysterious moment when their hands touched, they were welded together. When these two souls perceived each other, they recognized each other as necessary to each other, and embraced each other closely.
