174_50561_000000_000000	INTRODUCTION	INTRODUCTION	true	24.06	25.09	20.237133
174_50561_000001_000000	In Adversane in Sussex they still sing the song of The Spring-Green Lady; any fine evening, in the streets or in the meadows, you may come upon a band of children playing the old game that is their heritage, though few of them know its origin, or even that it had one.	In Adversane in Sussex they still sing the song of The Spring Green Lady; any fine evening, in the streets or in the meadows, you may come upon a band of children playing the old game that is their heritage, though few of them know its origin, or even that it had one.	false	26.57	42.64	19.248476
174_50561_000001_000001	It is to them as the daisies in the grass and the stars in the sky.	It is to them as the daisies in the grass and the stars in the sky.	true	43.64	47.26	18
174_50561_000001_000002	Of these things, and such as these, they ask no questions.	Of these things, and such as these, they ask no questions.	true	47.9	51.46	22.812107
174_50561_000001_000003	But there you will still find one child who takes the part of the Emperor's Daughter, and another who is the Wandering Singer, and the remaining group (there should be no more than six in it) becomes the Spring-Green Lady, the Rose-White Lady, the Apple-Gold Lady, of the three parts of the game. Often there are more than six in the group, for the true number of the damsels who guarded their fellow in her prison is as forgotten as their names: Joscelyn, Jane and Jennifer, Jessica, Joyce and Joan.	But there you will still find one child who takes the part of the Emperor's Daughter, and another who is the Wandering Singer, and the remaining group (there should be no more than six in it) becomes the Spring Green Lady, the Rose White Lady, the Apple Gold Lady, of the three parts of the game. Often there are more than six in the group, for the true number of the damsels who guarded their fellow in her prison is as forgotten as their names: Joscelyn, Jane and Jennifer, Jessica, Joyce and Joan.	true	52.55	80.8	19.463354
174_50561_000001_000004	Forgotten, too, the name of Gillian, the lovely captive.	Forgotten, too, the name of Gillian, the lovely captive.	true	81.68	85.03	21.253752
174_50561_000001_000005	And the Wandering Singer is to them but the Wandering Singer, not Martin Pippin the Minstrel. Worse and worse, he is even presumed to be the captive's sweetheart, who wheedles the flower, the ring, and the prison-key out of the strict virgins for his own purposes, and flies with her at last in his shallop across the sea, to live with her happily ever after.	And the Wandering Singer is to them but the Wandering Singer, not Martin Pippin the Minstrel. Worse and worse, he is even presumed to be the captive's sweetheart, who wheedles the flower, the ring, and the prison key out of the strict virgins for his own purposes, and flies with her at last in his shallop across the sea, to live with her happily ever after.	false	85.82	107.29	20.483442
174_50561_000001_000006	But this is a fallacy.	But this is a fallacy.	true	108.17	109.72	20.252508
174_50561_000001_000007	Martin Pippin never wheedled anything out of anybody for his own purposes--in fact, he had none of his own.	Martin Pippin never wheedled anything out of anybody for his own purposes-in fact, he had none of his own.	false	110.24	117.43	20.732006
174_50561_000001_000008	On this adventure he was about the business of young Robin Rue.	On this adventure he was about the business of young Robin Rue.	true	118.01	122.02	20.725077
174_50561_000001_000009	There are further discrepancies; for the Emperor's Daughter was not an emperor's daughter, but a farmer's; nor was the Sea the sea, but a duckpond; nor--	There are further discrepancies; for the Emperor's Daughter was not an emperor's daughter, but a farmer's; nor was the Sea the sea, but a duckpond; nor-	false	122.63	132.46	20.529192
