174_50561_000000_000000	INTRODUCTION	INTRODUCTION
174_50561_000001_000002	Of these things, and such as these, they ask no questions.	Of these things, and such as these, they ask no questions.
174_50561_000001_000004	Forgotten, too, the name of Gillian, the lovely captive.	Forgotten, too, the name of Gillian, the lovely captive.
174_50561_000001_000006	But this is a fallacy.	But this is a fallacy.
174_50561_000001_000008	On this adventure he was about the business of young Robin Rue.	On this adventure he was about the business of young Robin Rue.
174_50561_000004_000001	Around her, with their backs to her, stand six maids in a ring, with joined hands.	Around her, with their backs to her, stand six maids in a ring, with joined hands.
174_50561_000007_000000	THE LADIES	THE LADIES
174_50561_000009_000000	THE WANDERING SINGER	THE WANDERING SINGER
174_50561_000013_000000	THE WANDERING SINGER	THE WANDERING SINGER
174_50561_000015_000000	THE LADIES	THE LADIES
174_50561_000016_000000	(They give him the flower from the hair of the Emperor's Daughter, and sing--)	(They give him the flower from the hair of the Emperor's Daughter, and sing-)
174_50561_000019_000000	THE EMPEROR'S DAUGHTER	THE EMPEROR'S DAUGHTER
174_50561_000022_000000	O dry your eyes, you shall have this other When yours is a thousand leagues over the water, Daughter, daughter, My sweet daughter! Love is not far, my daughter!	O dry your eyes, you shall have this other When yours is a thousand leagues over the water, Daughter, daughter, My sweet daughter! Love is not far, my daughter!
174_50561_000023_000000	The Singer then drops a second flower into the lap of the child in the middle, and goes away, and this ends the first part of the game.	The Singer then drops a second flower into the lap of the child in the middle, and goes away, and this ends the first part of the game.
174_50561_000023_000001	The Emperor's Daughter is not yet released, for the key of her tower is understood to be still in the keeping of the dancing children.	The Emperor's Daughter is not yet released, for the key of her tower is understood to be still in the keeping of the dancing children.
174_50561_000023_000003	But if time is still to spare, the second part of the game is played like this.	But if time is still to spare, the second part of the game is played like this.
174_50561_000023_000004	The dancers once more encircle their weeping comrade, and now they are gowned in white and pink.	The dancers once more encircle their weeping comrade, and now they are gowned in white and pink.
174_50561_000023_000005	They will indicate these changes perhaps by colored ribbons, or by any flower in its season, or by imagining themselves first in green and then in rose, which is really the best way of all.	They will indicate these changes perhaps by colored ribbons, or by any flower in its season, or by imagining themselves first in green and then in rose, which is really the best way of all.
174_50561_000024_000000	(The Ladies, in gowns of white and rose-color, stand around The Emperor's Daughter, weeping in her Tower.	(The Ladies, in gowns of white and rose color, stand around The Emperor's Daughter, weeping in her Tower.
174_50561_000024_000001	To them once more comes The Wandering Singer with his lute.)	To them once more comes The Wandering Singer with his lute.)
174_50561_000027_000000	THE LADIES	THE LADIES
174_50561_000028_000000	You may not come into our orchard, singer, Lest you bear a word to the Emperor's Daughter From one who was sent to banishment Away a thousand leagues over the water, Singer, singer, Wandering singer, O my honey-sweet singer!	You may not come into our orchard, singer, Lest you bear a word to the Emperor's Daughter From one who was sent to banishment Away a thousand leagues over the water, Singer, singer, Wandering singer, O my honey sweet singer!
174_50561_000029_000000	THE WANDERING SINGER	THE WANDERING SINGER
