1919_142785_000000_000000	_Time_.--Altogether, 1/2 hour.	underscore Time underscore.--Altogether, one half hour.	false	63.21	66.58	22.486675
1919_142785_000001_000000	PICKLED CUCUMBERS.	PICKLED CUCUMBERS.	true	68.45	69.76	28.809698
1919_142785_000002_000000	399.	three hundred ninety nine.	false	69.8	71.08	22.934996
1919_142785_000002_000001	INGREDIENTS.--1 oz. of whole pepper, 1 oz. of bruised ginger; sufficient vinegar to cover the cucumbers.	INGREDIENTS.-minus one ounce. of whole pepper, one ounce. of bruised ginger; sufficient vinegar to cover the cucumbers.	false	71.63	79.17	23.661404
1919_142785_000003_000000	_Mode_.--Cut the cucumbers in thick slices, sprinkle salt over them, and let them remain for 24 hours.	underscore Mode underscore.--Cut the cucumbers in thick slices, sprinkle salt over them, and let them remain for twenty four hours.	false	79.17	87.73	23.794565
1919_142785_000003_000001	The next day, drain them well for 6 hours, put them into a jar, pour boiling vinegar over them, and keep them in a warm place.	The next day, drain them well for six hours, put them into a jar, pour boiling vinegar over them, and keep them in a warm place.	true	88.07	96.28	22.594015
1919_142785_000003_000002	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	true	96.86	104.44	24.405033
1919_142785_000003_000003	Tie them down with bladder, and in a few days they will be fit for use.	Tie them down with bladder, and in a few days they will be fit for use.	true	105.35	109.45	23
1919_142785_000004_000000	[Illustration: LONG PEPPER.]	[Illustration: LONG PEPPER.]	true	110.78	112.84	22.32391
1919_142785_000005_000000	LONG PEPPER.--This is the produce of a different plant from that which produces the black, it consisting of the half-ripe flower-heads of what naturalists call _Piper longum_ and _chaba_.	LONG PEPPER.--This is the produce of a different plant from that which produces the black, it consisting of the half ripe flower heads of what naturalists call underscore Piper longum underscore and underscore chaba underscore.	false	113.33	124.5	24.261473
1919_142785_000005_000001	It is the growth, however, of the same countries; indeed, all the spices are the produce of tropical climates only.	It is the growth, however, of the same countries; indeed, all the spices are the produce of tropical climates only.	false	124.5	131.59	23.781487
1919_142785_000005_000002	Originally, the most valuable of these were found in the Spice Islands, or Moluccas, of the Indian Ocean, and were highly prized by the nations of antiquity.	Originally, the most valuable of these were found in the Spice Islands, or Moluccas, of the Indian Ocean, and were highly prized by the nations of antiquity.	true	131.81	141.73	22.848846
1919_142785_000005_000003	The Romans indulged in them to a most extravagant degree.	The romans indulged in them to a most extravagant degree.	true	142.16	145.51	21
1919_142785_000005_000004	The long pepper is less aromatic than the black, but its oil is more pungent.	The long pepper is less aromatic than the black, but its oil is more pungent.	true	146.03	150.85	26.458687
1919_142785_000006_000000	CUCUMBER SAUCE, WHITE.	CUCUMBER SAUCE, WHITE.	true	152.72	154.57	24.047344
1919_142785_000007_000000	400.	four hundred.	true	154.76	155.8	23.299208
1919_142785_000007_000001	INGREDIENTS.--3 or four cucumbers, 1/2 pint of white stock, No. 107, cayenne and salt to taste, the yolks of 3 eggs.	INGREDIENTS.-minus three or four cucumbers, one half pint of white stock, no one hundred seven, cayenne and salt to taste, the yolks of three eggs.	false	156.95	168.57	23.577215
1919_142785_000008_000000	_Mode_.--Cut the cucumbers into small pieces, after peeling them and taking out the seeds.	underscore Mode underscore.--Cut the cucumbers into small pieces, after peeling them and taking out the seeds.	false	168.57	174.82	25.619055
1919_142785_000008_000001	Put them in a stewpan with the white stock and seasoning; simmer gently till the cucumbers are tender, which will be in about 1/4 hour.	Put them in a stewpan with the white stock and seasoning; simmer gently till the cucumbers are tender, which will be in about one quarter hour.	false	175.43	184	24.732883
1919_142785_000008_000002	Then add the yolks of the eggs well beaten; stir them to the sauce, but do not allow it to boil, and serve very hot.	Then add the yolks of the eggs well beaten; stir them to the sauce, but do not allow it to boil, and serve very hot.	true	184.31	191.97	19.687778
1919_142785_000009_000000	_Time_.--Altogether, 1/2 hour.	underscore Time underscore.--Altogether, one half hour.	false	191.97	195.19	24.854284
1919_142785_000010_000000	CUCUMBER VINEGAR (a very nice Addition to Salads).	CUCUMBER VINEGAR (a very nice Addition to Salads).	false	196.28	200.58	23.753092
1919_142785_000011_000000	401.	four hundred one.	false	200.58	201.58	24
1919_142785_000011_000001	INGREDIENTS.--10 large cucumbers, or 12 smaller ones, 1 quart of vinegar, 2 onions, 2 shalots, 1 tablespoonful of salt, 2 tablespoonfuls of pepper, 1/4 teaspoonful of cayenne.	INGREDIENTS.-minus ten large cucumbers, or twelve smaller ones, one quart of vinegar, two onions, two shalots, one tablespoonful of salt, two tablespoonfuls of pepper, one quarter teaspoonful of cayenne.	false	202.28	217.41	25.008797
1919_142785_000012_000000	_Mode_.--Pare and slice the cucumbers, put them in a stone jar or wide-mouthed bottle, with the vinegar; slice the onions and shalots, and add them, with all the other ingredients, to the cucumbers.	underscore Mode underscore.--Pare and slice the cucumbers, put them in a stone jar or wide mouthed bottle, with the vinegar; slice the onions and shalots, and add them, with all the other ingredients, to the cucumbers.	false	217.41	230.92	21.883417
1919_142785_000012_000001	Let it stand 4 or 5 days, boil it all up, and when cold, strain the liquor through a piece of muslin, and store it away in small bottles well sealed.	Let it stand four or five days, boil it all up, and when cold, strain the liquor through a piece of muslin, and store it away in small bottles well sealed.	true	231.2	241.06	23.82464
1919_142785_000012_000002	This vinegar is a very nice addition to gravies, hashes, &e., as well as a great improvement to salads, or to eat with cold meat.	This vinegar is a very nice addition to gravies, hashes, and e., as well as a great improvement to salads, or to eat with cold meat.	false	241.37	250.51	21.073692
1919_142785_000013_000000	GERMAN METHOD OF KEEPING CUCUMBERS FOR WINTER USE.	GERMAN METHOD OF KEEPING CUCUMBERS FOR WINTER USE.	true	251.66	254.55	19
1919_142785_000014_000000	402.	four hundred two.	false	254.55	256.89	25.433134
1919_142785_000014_000001	INGREDIENTS.--Cucumbers, salt.	INGREDIENTS.--Cucumbers, salt.	true	256.89	259.92	23.779676
1919_142785_000015_000000	_Mode_.--Pare and slice the cucumbers (as for the table), sprinkle well with salt, and let them remain for 24 hours; strain off the liquor, pack in jars, a thick layer of cucumbers and salt alternately; tie down closely, and, when wanted for use, take out the quantity required.	underscore Mode underscore.--Pare and slice the cucumbers (as for the table), sprinkle well with salt, and let them remain for twenty four hours; strain off the liquor, pack in jars, a thick layer of cucumbers and salt alternately; tie down closely, and, when wanted for use, take out the quantity required.	false	259.92	279.28	22.741776
1919_142785_000015_000001	Now wash them well in fresh water, and dress as usual with pepper, vinegar, and oil.	Now wash them well in fresh water, and dress as usual with pepper, vinegar, and oil.	true	279.35	284.47	26
1919_142785_000016_000000	[Illustration: THE CUCUMBER.]	[Illustration: THE CUCUMBER.]	true	285.74	287.83	22.64966
1919_142785_000017_000000	THE CUCUMBER.--Though the melon is far superior in point of flavour to this fruit, yet it is allied to the cucumber, which is known to naturalists as _Cucumia sativus_.	THE CUCUMBER.--Though the melon is far superior in point of flavour to this fruit, yet it is allied to the cucumber, which is known to naturalists as underscore Cucumia sativus underscore.	false	288.77	300.66	24.13842
1919_142785_000017_000001	The modern Egyptians, as did their forefathers, still eat it, and others of its class.	The modern Egyptians, as did their forefathers, still eat it, and others of its class.	true	300.66	305.62	19
1919_142785_000017_000002	Cucumbers were observed, too, by Bishop Heber, beyond the Ganges, in India; and Burckhardt noticed them in Palestine. (See No. 127.)	Cucumbers were observed, too, by Bishop Heber, beyond the Ganges, in India; and Burckhardt noticed them in Palestine. (See no one hundred twenty seven.)	false	306.2	316.78	22.10192
1919_142785_000018_000000	AN EXCELLENT WAY OF PRESERVING CUCUMBERS.	AN EXCELLENT WAY OF PRESERVING CUCUMBERS.	true	319.19	321.69	19
1919_142785_000019_000000	403.	four hundred three.	false	321.69	323.05	23.078434
1919_142785_000019_000001	INGREDIENTS.--Salt and water; 1 lb. of lump sugar, the rind of 1 lemon, 1 oz. of ginger, cucumbers.	INGREDIENTS.--Salt and water; one l b of lump sugar, the rind of one lemon, one ounce. of ginger, cucumbers.	false	323.69	332.49	20.73444
1919_142785_000020_000000	_Mode_.--Choose the greenest cucumbers, and those that are most free from seeds; put them in strong salt and water, with a cabbage-leaf to keep them down; tie a paper over them, and put them in a warm place till they are yellow; then wash them and set them over the fire in fresh water, with a very little salt, and another cabbage-leaf over them; cover very closely, but take care they do not boil.	underscore Mode underscore.--Choose the greenest cucumbers, and those that are most free from seeds; put them in strong salt and water, with a cabbage leaf to keep them down; tie a paper over them, and put them in a warm place till they are yellow; then wash them and set them over the fire in fresh water, with a very little salt, and another cabbage leaf over them; cover very closely, but take care they do not boil.	false	332.49	359.53	23.269377
1919_142785_000020_000001	If they are not a fine green, change the water again, cover them as before, and make them hot.	If they are not a fine green, change the water again, cover them as before, and make them hot.	true	360.05	366.88	25.42379
