1919_142785_000001_000000	PICKLED CUCUMBERS.	PICKLED CUCUMBERS.
1919_142785_000003_000001	The next day, drain them well for 6 hours, put them into a jar, pour boiling vinegar over them, and keep them in a warm place.	The next day, drain them well for six hours, put them into a jar, pour boiling vinegar over them, and keep them in a warm place.
1919_142785_000003_000002	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.
1919_142785_000003_000003	Tie them down with bladder, and in a few days they will be fit for use.	Tie them down with bladder, and in a few days they will be fit for use.
1919_142785_000004_000000	[Illustration: LONG PEPPER.]	[Illustration: LONG PEPPER.]
1919_142785_000005_000002	Originally, the most valuable of these were found in the Spice Islands, or Moluccas, of the Indian Ocean, and were highly prized by the nations of antiquity.	Originally, the most valuable of these were found in the Spice Islands, or Moluccas, of the Indian Ocean, and were highly prized by the nations of antiquity.
1919_142785_000005_000003	The Romans indulged in them to a most extravagant degree.	The romans indulged in them to a most extravagant degree.
1919_142785_000005_000004	The long pepper is less aromatic than the black, but its oil is more pungent.	The long pepper is less aromatic than the black, but its oil is more pungent.
1919_142785_000006_000000	CUCUMBER SAUCE, WHITE.	CUCUMBER SAUCE, WHITE.
1919_142785_000007_000000	400.	four hundred.
1919_142785_000012_000001	Let it stand 4 or 5 days, boil it all up, and when cold, strain the liquor through a piece of muslin, and store it away in small bottles well sealed.	Let it stand four or five days, boil it all up, and when cold, strain the liquor through a piece of muslin, and store it away in small bottles well sealed.
1919_142785_000014_000001	INGREDIENTS.--Cucumbers, salt.	INGREDIENTS.--Cucumbers, salt.
1919_142785_000015_000001	Now wash them well in fresh water, and dress as usual with pepper, vinegar, and oil.	Now wash them well in fresh water, and dress as usual with pepper, vinegar, and oil.
1919_142785_000016_000000	[Illustration: THE CUCUMBER.]	[Illustration: THE CUCUMBER.]
1919_142785_000020_000001	If they are not a fine green, change the water again, cover them as before, and make them hot.	If they are not a fine green, change the water again, cover them as before, and make them hot.
1919_142785_000020_000002	When they are a good colour, take them off the fire and let them cool; cut them in quarters, take out the seeds and pulp, and put them into cold water.	When they are a good colour, take them off the fire and let them cool; cut them in quarters, take out the seeds and pulp, and put them into cold water.
1919_142785_000020_000003	Let them remain for 2 days, changing the water twice each day, to draw out the salt.	Let them remain for two days, changing the water twice each day, to draw out the salt.
1919_142785_000020_000005	Boil the syrup once in 2 or 3 days for 3 weeks; strengthen it if required, and let it be quite cold before the cucumbers are put in.	Boil the syrup once in two or three days for three weeks; strengthen it if required, and let it be quite cold before the cucumbers are put in.
1919_142785_000020_000006	Great attention must be paid to the directions in the commencement of this recipe, as, if these are not properly carried out, the result will be far from satisfactory.	Great attention must be paid to the directions in the commencement of this recipe, as, if these are not properly carried out, the result will be far from satisfactory.
1919_142785_000023_000000	COMMON SALT.--By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean.	COMMON SALT.--By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean.
1919_142785_000023_000003	We here give an engraving of a salt-mine at Northwich, Cheshire, where both salt-mines and brine-springs are exceedingly productive, and are believed to have been wrought so far back as during the occupation of Britain by the Romans.	We here give an engraving of a salt mine at Northwich, Cheshire, where both salt mines and brine springs are exceedingly productive, and are believed to have been wrought so far back as during the occupation of Britain by the romans.
1919_142785_000026_000001	Beat the eggs, stir to them the milk and pounded sugar, and put the mixture into a jug.	Beat the eggs, stir to them the milk and pounded sugar, and put the mixture into a jug.
1919_142785_000026_000002	Place the jug in a saucepan of boiling water; keep stirring well until it thickens, but do not allow it to boil, or it will curdle. Serve the sauce in a tureen, stir in the brandy, and grate a little nutmeg over the top.	Place the jug in a saucepan of boiling water; keep stirring well until it thickens, but do not allow it to boil, or it will curdle. Serve the sauce in a tureen, stir in the brandy, and grate a little nutmeg over the top.
1919_142785_000029_000000	DUTCH SAUCE FOR FISH.	DUTCH SAUCE FOR FISH.
1919_142785_000031_000001	When it is sufficiently thick, take it off, as it should not boil.	When it is sufficiently thick, take it off, as it should not boil.
1919_142785_000031_000003	Tarragon vinegar may be used instead of plain, and, by many, is considered far preferable.	Tarragon vinegar may be used instead of plain, and, by many, is considered far preferable.
1919_142785_000033_000000	Note.--This sauce may be poured hot over salad, and left to get quite cold, when it should be thick, smooth, and somewhat stiff.	Note.--This sauce may be poured hot over salad, and left to get quite cold, when it should be thick, smooth, and somewhat stiff.
1919_142785_000033_000001	Excellent salads may be made of hard eggs, or the remains of salt fish flaked nicely from the bone, by pouring over a little of the above mixture when hot, and allowing it to cool.	Excellent salads may be made of hard eggs, or the remains of salt fish flaked nicely from the bone, by pouring over a little of the above mixture when hot, and allowing it to cool.
1919_142785_000035_000001	It is hardier than the orange, and, as one of the citron tribe, was brought into Europe by the Arabians.	It is hardier than the orange, and, as one of the citron tribe, was brought into Europe by the Arabians.
1919_142785_000035_000002	The lemon was first cultivated in England in the beginning of the 17th century, and is now often to be found in our green-houses.	The lemon was first cultivated in England in the beginning of the seventeenth century, and is now often to be found in our green houses.
1919_142785_000035_000003	The kind commonly sold, however, is imported from Portugal, Spain, and the Azores.	The kind commonly sold, however, is imported from Portugal, Spain, and the Azores.
1919_142785_000035_000004	Some also come from St. Helena; but those from Spain are esteemed the best.	Some also come from saint Helena; but those from Spain are esteemed the best.
1919_142785_000036_000000	GREEN DUTCH SAUCE, or HOLLANDAISE VERTE.	GREEN DUTCH SAUCE, or HOLLANDAISE VERTE.
1919_142785_000038_000001	Make a green colouring by pounding some parsley in a mortar, and squeezing all the juice from it.	Make a green colouring by pounding some parsley in a mortar, and squeezing all the juice from it.
1919_142785_000047_000001	It grows somewhat like the lily of the valley, but its height is about three feet.	It grows somewhat like the lily of the valley, but its height is about three feet.
1919_142785_000047_000002	In Jamaica it flowers about August or September, fading about the end of the year.	In Jamaica it flowers about August or September, fading about the end of the year.
1919_142785_000047_000003	The fleshy creeping roots, which form the ginger of commerce, are in a proper state to be dug when the stalks are entirely withered.	The fleshy creeping roots, which form the ginger of commerce, are in a proper state to be dug when the stalks are entirely withered.
1919_142785_000048_000000	EGG BALLS FOR SOUPS AND MADE DISHES.	EGG BALLS FOR SOUPS AND MADE DISHES.
1919_142785_000050_000001	Beat the yolks of the other 2 eggs; add them, with a little flour and salt, to those pounded; mix all well together, and roll into balls.	Beat the yolks of the other two eggs; add them, with a little flour and salt, to those pounded; mix all well together, and roll into balls.
1919_142785_000050_000002	Boil them before they are put into the soup or other dish they may be intended for.	Boil them before they are put into the soup or other dish they may be intended for.
1919_142785_000053_000000	EGG SAUCE FOR SALT FISH.	EGG SAUCE FOR SALT FISH.
1919_142785_000055_000001	Strip off the shells, chop the eggs into small pieces, not, however, too fine.	Strip off the shells, chop the eggs into small pieces, not, however, too fine.
1919_142785_000055_000003	Lemon-juice may be added at pleasure.	Lemon juice may be added at pleasure.
1919_142785_000059_000000	EPICUREAN SAUCE FOR STEAKS, CHOPS, GRAVIES, OR FISH.	EPICUREAN SAUCE FOR STEAKS, CHOPS, GRAVIES, o r FISH.
1919_142785_000061_000001	Strain, and bottle off for use.	Strain, and bottle off for use.
1919_142785_000063_000000	[Illustration: SHALOT.]	[Illustration: SHALOT.]
1919_142785_000064_000001	It is a bulbous root, and when full grown, its leaves wither in July.	It is a bulbous root, and when full grown, its leaves wither in July.
1919_142785_000064_000003	It is called by old authors the "barren onion," and is used in sauces and pickles, soups and made dishes, and as an accompaniment to chops and steaks.	It is called by old authors the "barren onion," and is used in sauces and pickles, soups and made dishes, and as an accompaniment to chops and steaks.
1919_142785_000065_000000	ESPAGNOLE, OR BROWN SPANISH SAUCE.	ESPAGNOLE, o r BROWN SPANISH SAUCE.
1919_142785_000067_000003	Strain and skim off every particle of fat, and when required for use, thicken with butter and flour, or with a little roux.	Strain and skim off every particle of fat, and when required for use, thicken with butter and flour, or with a little roux.
1919_142785_000067_000004	Add the wine, and, if necessary, a seasoning of cayenne; when it will be ready to serve.	Add the wine, and, if necessary, a seasoning of cayenne; when it will be ready to serve.
