1988_147956_000000_000000	III	three	false	4.08	28.38	20.16851
1988_147956_000001_000000	ON Sunday morning Otto Fuchs was to drive us over to make the acquaintance of our new Bohemian neighbors.	ON Sunday morning Otto Fuchs was to drive us over to make the acquaintance of our new Bohemian neighbors.	true	28.38	34.99	21
1988_147956_000001_000001	We were taking them some provisions, as they had come to live on a wild place where there was no garden or chicken-house, and very little broken land.	We were taking them some provisions, as they had come to live on a wild place where there was no garden or chicken house, and very little broken land.	true	35.69	45.34	20.712051
1988_147956_000001_000002	Fuchs brought up a sack of potatoes and a piece of cured pork from the cellar, and grandmother packed some loaves of Saturday's bread, a jar of butter, and several pumpkin pies in the straw of the wagon-box.	Fuchs brought up a sack of potatoes and a piece of cured pork from the cellar, and grandmother packed some loaves of Saturday's bread, a jar of butter, and several pumpkin pies in the straw of the wagon box.	false	46.46	60.61	21.360632
1988_147956_000001_000003	We clambered up to the front seat and jolted off past the little pond and along the road that climbed to the big cornfield.	We clambered up to the front seat and jolted off past the little pond and along the road that climbed to the big cornfield.	true	61.73	69.67	22.274044
1988_147956_000002_000000	I could hardly wait to see what lay beyond that cornfield; but there was only red grass like ours, and nothing else, though from the high wagon-seat one could look off a long way.	I could hardly wait to see what lay beyond that cornfield; but there was only red grass like ours, and nothing else, though from the high wagon seat one could look off a long way.	true	70.73	81.61	21.428005
1988_147956_000002_000001	The road ran about like a wild thing, avoiding the deep draws, crossing them where they were wide and shallow.	The road ran about like a wild thing, avoiding the deep draws, crossing them where they were wide and shallow.	true	82.31	89.53	20.92967
1988_147956_000002_000002	And all along it, wherever it looped or ran, the sunflowers grew; some of them were as big as little trees, with great rough leaves and many branches which bore dozens of blossoms.	And all along it, wherever it looped or ran, the sunflowers grew; some of them were as big as little trees, with great rough leaves and many branches which bore dozens of blossoms.	true	90.71	103.78	17.726637
1988_147956_000002_000003	They made a gold ribbon across the prairie.	They made a gold ribbon across the prairie.	true	104.81	107.29	20.33806
1988_147956_000002_000004	Occasionally one of the horses would tear off with his teeth a plant full of blossoms, and walk along munching it, the flowers nodding in time to his bites as he ate down toward them.	Occasionally one of the horses would tear off with his teeth a plant full of blossoms, and walk along munching it, the flowers nodding in time to his bites as he ate down toward them.	true	108.02	122.955	20.720911
1988_147956_000003_000000	The Bohemian family, grandmother told me as we drove along, had bought the homestead of a fellow-countryman, Peter Krajiek, and had paid him more than it was worth.	The Bohemian family, grandmother told me as we drove along, had bought the homestead of a fellow countryman, peter Krajiek, and had paid him more than it was worth.	false	122.955	134.2	20.445084
1988_147956_000003_000001	Their agreement with him was made before they left the old country, through a cousin of his, who was also a relative of Mrs. Shimerda.	Their agreement with him was made before they left the old country, through a cousin of his, who was also a relative of mrs Shimerda.	true	134.72	142.51	20
1988_147956_000003_000002	The Shimerdas were the first Bohemian family to come to this part of the county.	The Shimerdas were the first Bohemian family to come to this part of the county.	false	143.48	147.96	20
1988_147956_000003_000003	Krajiek was their only interpreter, and could tell them anything he chose.	Krajiek was their only interpreter, and could tell them anything he chose.	false	147.96	152.83	21.328875
1988_147956_000003_000004	They could not speak enough English to ask for advice, or even to make their most pressing wants known.	They could not speak enough English to ask for advice, or even to make their most pressing wants known.	true	153.41	159.55	20.195435
1988_147956_000003_000005	One son, Fuchs said, was well-grown, and strong enough to work the land; but the father was old and frail and knew nothing about farming.	One son, Fuchs said, was well grown, and strong enough to work the land; but the father was old and frail and knew nothing about farming.	true	160.22	169.99	20.741196
