1993_147965_000000_000000	XII	twelve	true	33.345	34.15	18
1993_147965_000001_000000	ON Christmas morning, when I got down to the kitchen, the men were just coming in from their morning chores--the horses and pigs always had their breakfast before we did.	ON Christmas morning, when I got down to the kitchen, the men were just coming in from their morning chores-the horses and pigs always had their breakfast before we did.	false	36.53	45.16	21.131159
1993_147965_000001_000001	Jake and Otto shouted "Merry Christmas"! to me, and winked at each other when they saw the waffle-irons on the stove. Grandfather came down, wearing a white shirt and his Sunday coat.	Jake and Otto shouted "Merry Christmas"! to me, and winked at each other when they saw the waffle irons on the stove. Grandfather came down, wearing a white shirt and his Sunday coat.	true	45.53	56.74	22.427166
1993_147965_000001_000002	Morning prayers were longer than usual.	Morning prayers were longer than usual.	true	57.26	59.47	21
1993_147965_000001_000003	He read the chapters from St. Matthew about the birth of Christ, and as we listened it all seemed like something that had happened lately, and near at hand.	He read the chapters from saint Matthew about the birth of Christ, and as we listened it all seemed like something that had happened lately, and near at hand.	true	59.81	68.83	23.839695
1993_147965_000001_000004	In his prayer he thanked the Lord for the first Christmas, and for all that it had meant to the world ever since.	In his prayer he thanked the Lord for the first Christmas, and for all that it had meant to the world ever since.	true	69.77	76.33	21.790762
1993_147965_000001_000005	He gave thanks for our food and comfort, and prayed for the poor and destitute in great cities, where the struggle for life was harder than it was here with us.	He gave thanks for our food and comfort, and prayed for the poor and destitute in great cities, where the struggle for life was harder than it was here with us.	true	77.45	86.11	21.620058
1993_147965_000001_000006	Grandfather's prayers were often very interesting.	Grandfather's prayers were often very interesting.	true	86.69	89.56	20
1993_147965_000001_000007	He had the gift of simple and moving expression.	He had the gift of simple and moving expression.	true	90.11	93.58	27.184195
1993_147965_000001_000008	Because he talked so little, his words had a peculiar force; they were not worn dull from constant use.	Because he talked so little, his words had a peculiar force; they were not worn dull from constant use.	true	94.22	101.11	23.175928
1993_147965_000001_000009	His prayers reflected what he was thinking about at the time, and it was chiefly through them that we got to know his feelings and his views about things.	His prayers reflected what he was thinking about at the time, and it was chiefly through them that we got to know his feelings and his views about things.	true	101.42	109.78	22.426702
1993_147965_000002_000000	After we sat down to our waffles and sausage, Jake told us how pleased the Shimerdas had been with their presents; even Ambrosch was friendly and went to the creek with him to cut the Christmas tree.	After we sat down to our waffles and sausage, Jake told us how pleased the Shimerdas had been with their presents; even Ambrosch was friendly and went to the creek with him to cut the Christmas tree.	true	111.32	122.86	23.82327
1993_147965_000002_000001	It was a soft gray day outside, with heavy clouds working across the sky, and occasional squalls of snow.	It was a soft gray day outside, with heavy clouds working across the sky, and occasional squalls of snow.	true	122.96	129.58	21
1993_147965_000002_000002	There were always odd jobs to be done about the barn on holidays, and the men were busy until afternoon.	There were always odd jobs to be done about the barn on holidays, and the men were busy until afternoon.	true	130.46	136.27	21.69109
1993_147965_000002_000003	Then Jake and I played dominoes, while Otto wrote a long letter home to his mother.	Then Jake and I played dominoes, while Otto wrote a long letter home to his mother.	true	136.43	141.4	22.984838
1993_147965_000002_000004	He always wrote to her on Christmas Day, he said, no matter where he was, and no matter how long it had been since his last letter.	He always wrote to her on Christmas Day, he said, no matter where he was, and no matter how long it had been since his last letter.	true	141.62	148.48	20.418724
1993_147965_000002_000005	All afternoon he sat in the dining-room.	All afternoon he sat in the dining room.	true	149.72	152.05	22.974674
