1993_147966_000000_000000	We persuaded our guest to stay for supper with us.	We persuaded our guest to stay for supper with us.	false	0	7.89	16.168774
1993_147966_000000_000001	He needed little urging.	He needed little urging.	false	7.89	9.99	23.446552
1993_147966_000000_000002	As we sat down to the table, it occurred to me that he liked to look at us, and that our faces were open books to him.	As we sat down to the table, it occurred to me that he liked to look at us, and that our faces were open books to him.	false	9.99	12.72	23.448198
1993_147966_000000_000003	When his deep-seeing eyes rested on me, I felt as if he were looking far ahead into the future for me, down the road I would have to travel.	When his deep seeing eyes rested on me, I felt as if he were looking far ahead into the future for me, down the road I would have to travel.	false	12.72	15.18	23
1993_147966_000001_000000	At nine o'clock Mr. Shimerda lighted one of our lanterns and put on his overcoat and fur collar.	At nine o'clock mr Shimerda lighted one of our lanterns and put on his overcoat and fur collar.	false	15.18	16.14	11
1993_147966_000001_000001	He stood in the little entry hall, the lantern and his fur cap under his arm, shaking hands with us.	He stood in the little entry hall, the lantern and his fur cap under his arm, shaking hands with us.	false	16.14	19.29	24.459253
1993_147966_000001_000002	When he took grandmother's hand, he bent over it as he always did, and said slowly, "Good wo-man!" He made the sign of the cross over me, put on his cap and went off in the dark.	When he took grandmother's hand, he bent over it as he always did, and said slowly, "Good wo man!" He made the sign of the cross over me, put on his cap and went off in the dark.	false	19.29	20.43	-20
1993_147966_000001_000003	As we turned back to the sitting-room, grandfather looked at me searchingly.	As we turned back to the sitting room, grandfather looked at me searchingly.	false	20.43	25.065	23.37528
1993_147966_000001_000004	"The prayers of all good people are good," he said quietly.	"The prayers of all good people are good," he said quietly.	false	25.065	26.385	16
1993_147966_000002_000000	XIII	thirteen	true	26.385	27.19	22.384274
1993_147966_000003_000000	THE week following Christmas brought in a thaw, and by New Year's Day all the world about us was a broth of gray slush, and the guttered slope between the windmill and the barn was running black water.	THE week following Christmas brought in a thaw, and by New Year's Day all the world about us was a broth of gray slush, and the guttered slope between the windmill and the barn was running black water.	true	29.06	39.55	19
1993_147966_000003_000001	The soft black earth stood out in patches along the roadsides.	The soft black earth stood out in patches along the roadsides.	true	40.13	43.72	20
1993_147966_000003_000002	I resumed all my chores, carried in the cobs and wood and water, and spent the afternoons at the barn, watching Jake shell corn with a hand-sheller.	I resumed all my chores, carried in the cobs and wood and water, and spent the afternoons at the barn, watching Jake shell corn with a hand sheller.	true	44.09	52.93	19
1993_147966_000004_000000	One morning, during this interval of fine weather, Antonia and her mother rode over on one of their shaggy old horses to pay us a visit.	One morning, during this interval of fine weather, Antonia and her mother rode over on one of their shaggy old horses to pay us a visit.	true	53.96	60.82	17
1993_147966_000004_000001	It was the first time Mrs. Shimerda had been to our house, and she ran about examining our carpets and curtains and furniture, all the while commenting upon them to her daughter in an envious, complaining tone.	It was the first time mrs Shimerda had been to our house, and she ran about examining our carpets and curtains and furniture, all the while commenting upon them to her daughter in an envious, complaining tone.	true	61.34	73.39	18
1993_147966_000004_000002	In the kitchen she caught up an iron pot that stood on the back of the stove and said: "You got many, Shimerdas no got." I thought it weak-minded of grandmother to give the pot to her.	In the kitchen she caught up an iron pot that stood on the back of the stove and said: "You got many, Shimerdas no got." I thought it weak minded of grandmother to give the pot to her.	true	73.82	84.55	21.11882
1993_147966_000005_000000	After dinner, when she was helping to wash the dishes, she said, tossing her head: "You got many things for cook.	After dinner, when she was helping to wash the dishes, she said, tossing her head: "You got many things for cook.	true	85.43	91.14	21.520647
1993_147966_000005_000001	If I got all things like you, I make much better."	If I got all things like you, I make much better."	true	91.14	93.73	22
1993_147966_000006_000000	She was a conceited, boastful old thing, and even misfortune could not humble her.	She was a conceited, boastful old thing, and even misfortune could not humble her.	true	94.49	98.98	19
1993_147966_000006_000001	I was so annoyed that I felt coldly even toward Antonia and listened unsympathetically when she told me her father was not well.	I was so annoyed that I felt coldly even toward Antonia and listened unsympathetically when she told me her father was not well.	true	99.74	107.05	21.503492
1993_147966_000007_000000	"My papa sad for the old country.	"My papa sad for the old country.	true	108.11	110.29	18
1993_147966_000007_000001	He not look good.	He not look good.	true	110.33	111.64	21.507597
1993_147966_000007_000002	He never make music any more.	He never make music any more.	true	111.95	113.83	24
1993_147966_000007_000003	At home he play violin all the time; for weddings and for dance. Here never.	At home he play violin all the time; for weddings and for dance. Here never.	true	114.38	120.01	25.10452
1993_147966_000007_000004	When I beg him for play, he shake his head no.	When I beg him for play, he shake his head no	true	120.65	123.07	23
