2035_152373_000001_000000	CHAPTER VI.	CHAPTER six.
2035_152373_000004_000001	The last armed struggle of Druidism, and the only invasion of Ireland by the Anglo-Saxons, are also events of the civil history of the seventh century.	The last armed struggle of Druidism, and the only invasion of Ireland by the Anglo Saxons, are also events of the civil history of the seventh century.
2035_152373_000006_000000	The cause of the battle was the pretension of the petty Prince of Ulidia, which comprised little more than the present county of Down, to be recognised as Prince of all Ulster.	The cause of the battle was the pretension of the petty Prince of Ulidia, which comprised little more than the present county of Down, to be recognised as Prince of all Ulster.
2035_152373_000006_000002	It is pretty clear also that the last rally of Druidism against Christianity took place behind his banner, on the plain of Moira.	It is pretty clear also that the last rally of Druidism against Christianity took place behind his banner, on the plain of Moira.
2035_152373_000006_000004	Congal had recruited numerous bands of Saxons, Britons, Picts and Argyle Scots, who poured into the Larbours of Down for months, and were marshalled on the banks of the Lagan, to sustain his cause.	Congal had recruited numerous bands of Saxons, Britons, Picts and Argyle Scots, who poured into the Larbours of Down for months, and were marshalled on the banks of the Lagan, to sustain his cause.
2035_152373_000006_000007	King Donald was accompanied by his Bard, who described to him, as they came in sight, the several standards of Congal's host, and who served under them.	King Donald was accompanied by his Bard, who described to him, as they came in sight, the several standards of Congal's host, and who served under them.
2035_152373_000007_000001	Like the two kings of Sparta they reigned jointly, dividing between them the labours and cares of State.	Like the two kings of Sparta they reigned jointly, dividing between them the labours and cares of State.
2035_152373_000007_000003	To heighten the awful sense of inevitable doom, an eclipse of the sun occurred concurrently with the appearance of the pestilence on the first Sunday in May.	To heighten the awful sense of inevitable doom, an eclipse of the sun occurred concurrently with the appearance of the pestilence on the first Sunday in May.
2035_152373_000007_000006	The Munster King, and many of the chieftain class shared the common lot.	The Munster King, and many of the chieftain class shared the common lot.
2035_152373_000007_000007	Lastly, the royal brothers fell themselves victims to the epidemic, which so sadly signalizes their reign.	Lastly, the royal brothers fell themselves victims to the epidemic, which so sadly signalizes their reign.
2035_152373_000008_000000	The only conflicts that occurred on Irish soil with a Pictish or an Anglo-Saxon force--if we except those who formed a contingent of Congal's army at Moira--occurred in the time of the hospitable Finnacta.	The only conflicts that occurred on Irish soil with a Pictish or an Anglo Saxon force-if we except those who formed a contingent of Congal's army at Moira-occurred in the time of the hospitable Finnacta.
