2412_153954_000001_000000	CHAPTER VII: FIRST IMPRESSIONS	CHAPTER seven: FIRST IMPRESSIONS
2412_153954_000002_000000	We followed an Alpine path for some four miles, now hundreds of feet above a brawling stream which descended from the glaciers, and now nearly alongside it.	We followed an Alpine path for some four miles, now hundreds of feet above a brawling stream which descended from the glaciers, and now nearly alongside it.
2412_153954_000002_000001	The morning was cold and somewhat foggy, for the autumn had made great strides latterly.	The morning was cold and somewhat foggy, for the autumn had made great strides latterly.
2412_153954_000002_000002	Sometimes we went through forests of pine, or rather yew trees, though they looked like pine; and I remember that now and again we passed a little wayside shrine, wherein there would be a statue of great beauty, representing some figure, male or female, in the very heyday of youth, strength, and beauty, or of the most dignified maturity and old age.	Sometimes we went through forests of pine, or rather yew trees, though they looked like pine; and I remember that now and again we passed a little wayside shrine, wherein there would be a statue of great beauty, representing some figure, male or female, in the very heyday of youth, strength, and beauty, or of the most dignified maturity and old age.
2412_153954_000002_000003	My hosts always bowed their heads as they passed one of these shrines, and it shocked me to see statues that had no apparent object, beyond the chronicling of some unusual individual excellence or beauty, receive so serious a homage.	My hosts always bowed their heads as they passed one of these shrines, and it shocked me to see statues that had no apparent object, beyond the chronicling of some unusual individual excellence or beauty, receive so serious a homage.
2412_153954_000002_000004	However, I showed no sign of wonder or disapproval; for I remembered that to be all things to all men was one of the injunctions of the Gentile Apostle, which for the present I should do well to heed.	However, I showed no sign of wonder or disapproval; for I remembered that to be all things to all men was one of the injunctions of the Gentile Apostle, which for the present I should do well to heed.
2412_153954_000002_000006	But it was not so.	But it was not so.
2412_153954_000002_000007	My guides spoke to many in passing, and those spoken to showed much amazement.	My guides spoke to many in passing, and those spoken to showed much amazement.
2412_153954_000002_000009	I may as well say at once what my after-experience taught me--namely, that with all their faults and extraordinary obliquity of mental vision upon many subjects, they are the very best-bred people that I ever fell in with.	I may as well say at once what my after experience taught me-namely, that with all their faults and extraordinary obliquity of mental vision upon many subjects, they are the very best bred people that I ever fell in with.
2412_153954_000003_000000	The village was just like the one we had left, only rather larger.	The village was just like the one we had left, only rather larger.
2412_153954_000003_000003	It was here as hitherto: all things were generically the same as in Europe, the differences being of species only; and I was amused at seeing in a window some bottles with barley-sugar and sweetmeats for children, as at home; but the barley-sugar was in plates, not in twisted sticks, and was coloured blue.	It was here as hitherto: all things were generically the same as in Europe, the differences being of species only; and I was amused at seeing in a window some bottles with barley sugar and sweetmeats for children, as at home; but the barley sugar was in plates, not in twisted sticks, and was coloured blue.
2412_153954_000003_000004	Glass was plentiful in the better houses.	Glass was plentiful in the better houses.
2412_153954_000004_000000	Lastly, I should say that the people were of a physical beauty which was simply amazing.	Lastly, I should say that the people were of a physical beauty which was simply amazing.
2412_153954_000004_000001	I never saw anything in the least comparable to them. The women were vigorous, and had a most majestic gait, their heads being set upon their shoulders with a grace beyond all power of expression. Each feature was finished, eyelids, eyelashes, and ears being almost invariably perfect.	I never saw anything in the least comparable to them. The women were vigorous, and had a most majestic gait, their heads being set upon their shoulders with a grace beyond all power of expression. Each feature was finished, eyelids, eyelashes, and ears being almost invariably perfect.
2412_153954_000004_000002	Their colour was equal to that of the finest Italian paintings; being of the clearest olive, and yet ruddy with a glow of perfect health.	Their colour was equal to that of the finest Italian paintings; being of the clearest olive, and yet ruddy with a glow of perfect health.
2412_153954_000004_000003	Their expression was divine; and as they glanced at me timidly but with parted lips in great bewilderment, I forgot all thoughts of their conversion in feelings that were far more earthly.	Their expression was divine; and as they glanced at me timidly but with parted lips in great bewilderment, I forgot all thoughts of their conversion in feelings that were far more earthly.
