251_118436_000002_000000	THE PEOPLE OF THE BLACK CIRCLE	THE PEOPLE OF THE BLACK CIRCLE
251_118436_000005_000000	1 Death Strikes a King	one Death Strikes a King
251_118436_000006_000001	Through the hot, stifling night the temple gongs boomed and the conchs roared.	Through the hot, stifling night the temple gongs boomed and the conchs roared.
251_118436_000006_000003	Beads of sweat glistened on his dark skin; his fingers twisted the gold-worked fabric beneath him.	Beads of sweat glistened on his dark skin; his fingers twisted the gold worked fabric beneath him.
251_118436_000006_000004	He was young; no spear had touched him, no poison lurked in his wine.	He was young; no spear had touched him, no poison lurked in his wine.
251_118436_000007_000000	She threw up her head in a gusty gesture of wrath and despair as the thunder of the distant drums reached her ears.	She threw up her head in a gusty gesture of wrath and despair as the thunder of the distant drums reached her ears.
251_118436_000008_000000	'The priests and their clamor!' she exclaimed.	'The priests and their clamor!' she exclaimed.
251_118436_000008_000002	Nay, he dies and none can say why.	Nay, he dies and none can say why.
251_118436_000008_000003	He is dying now--and I stand here helpless, who would burn the whole city and spill the blood of thousands to save him.'	He is dying now-and I stand here helpless, who would burn the whole city and spill the blood of thousands to save him.'
251_118436_000010_000000	'I tell you it is not poison!' she cried.	'I tell you it is not poison!' she cried.
251_118436_000010_000001	'Since his birth he has been guarded so closely that the cleverest poisoners of the East could not reach him.	'Since his birth he has been guarded so closely that the cleverest poisoners of the East could not reach him.
251_118436_000010_000002	Five skulls bleaching on the Tower of the Kites can testify to attempts which were made--and which failed.	Five skulls bleaching on the Tower of the Kites can testify to attempts which were made-and which failed.
251_118436_000011_000000	She ceased as the king spoke; his livid lips did not move, and there was no recognition in his glassy eyes.	She ceased as the king spoke; his livid lips did not move, and there was no recognition in his glassy eyes.
251_118436_000011_000001	But his voice rose in an eery call, indistinct and far away, as if called to her from beyond vast, wind-blown gulfs.	But his voice rose in an eery call, indistinct and far away, as if called to her from beyond vast, wind blown gulfs.
251_118436_000012_000002	My sister, where are you?	My sister, where are you?
251_118436_000012_000003	I can not find you.	I can not find you.
251_118436_000012_000004	All is darkness, and the roaring of great winds!'	All is darkness, and the roaring of great winds!'
251_118436_000013_000000	'Brother!' cried Yasmina, catching his limp hand in a convulsive grasp. 'I am here!	'Brother!' cried Yasmina, catching his limp hand in a convulsive grasp. 'I am here!
251_118436_000013_000001	Do you not know me--'	Do you not know me-'
251_118436_000014_000000	Her voice died at the utter vacancy of his face.	Her voice died at the utter vacancy of his face.
251_118436_000014_000001	A low confused moan waned from his mouth.	A low confused moan waned from his mouth.
251_118436_000014_000002	The slave-girls at the foot of the dais whimpered with fear, and Yasmina beat her breast in anguish.	The slave girls at the foot of the dais whimpered with fear, and Yasmina beat her breast in anguish.
251_118436_000015_000000	In another part of the city a man stood in a latticed balcony overlooking a long street in which torches tossed luridly, smokily revealing upturned dark faces and the whites of gleaming eyes.	In another part of the city a man stood in a latticed balcony overlooking a long street in which torches tossed luridly, smokily revealing upturned dark faces and the whites of gleaming eyes.
251_118436_000015_000001	A long-drawn wailing rose from the multitude.	A long drawn wailing rose from the multitude.
251_118436_000016_000000	The man shrugged his broad shoulders and turned back into the arabesque chamber.	The man shrugged his broad shoulders and turned back into the arabesque chamber.
251_118436_000016_000001	He was a tall man, compactly built, and richly clad.	He was a tall man, compactly built, and richly clad.
251_118436_000017_000000	'The king is not yet dead, but the dirge is sounded,' he said to another man who sat cross-legged on a mat in a corner.	'The king is not yet dead, but the dirge is sounded,' he said to another man who sat cross legged on a mat in a corner.
251_118436_000017_000001	This man was clad in a brown camel-hair robe and sandals, and a green turban was on his head. His expression was tranquil, his gaze impersonal.	This man was clad in a brown camel hair robe and sandals, and a green turban was on his head. His expression was tranquil, his gaze impersonal.
251_118436_000018_000000	'The people know he will never see another dawn,' this man answered.	'The people know he will never see another dawn,' this man answered.
251_118436_000019_000000	The first speaker favored him with a long, searching stare.	The first speaker favored him with a long, searching stare.
251_118436_000020_000001	If they have slain the king now, why could they not have slain him months ago?'	If they have slain the king now, why could they not have slain him months ago?'
251_118436_000021_000000	'Even the arts you call sorcery are governed by cosmic laws,' answered the man in the green turban.	'Even the arts you call sorcery are governed by cosmic laws,' answered the man in the green turban.
251_118436_000021_000001	'The stars direct these actions, as in other affairs.	'The stars direct these actions, as in other affairs.
251_118436_000021_000002	Not even my masters can alter the stars.	Not even my masters can alter the stars.
251_118436_000021_000003	Not until the heavens were in the proper order could they perform this necromancy.' With a long, stained fingernail he mapped the constellations on the marble-tiled floor.	Not until the heavens were in the proper order could they perform this necromancy.' With a long, stained fingernail he mapped the constellations on the marble tiled floor.
251_118436_000021_000004	'The slant of the moon presaged evil for the king of Vendhya; the stars are in turmoil, the Serpent in the House of the Elephant.	'The slant of the moon presaged evil for the king of Vendhya; the stars are in turmoil, the Serpent in the House of the Elephant.
251_118436_000021_000006	A path is opened in the unseen realms, and once a point of contact was established, mighty powers were put in play along that path.'	A path is opened in the unseen realms, and once a point of contact was established, mighty powers were put in play along that path.'
