251_136532_000000_000000	Ivan Fitzgerald finally isolated the germ that had caused the Finchley girl's undiagnosed illness.	Ivan Fitzgerald finally isolated the germ that had caused the Finchley girl's undiagnosed illness.	true	41.445	48.16	17
251_136532_000000_000001	Shortly afterward, the malady turned into a mild fever, from which she recovered.	Shortly afterward, the malady turned into a mild fever, from which she recovered.	true	48.65	53.98	24.682077
251_136532_000000_000002	Nobody else seemed to have caught it.	Nobody else seemed to have caught it.	true	54.47	56.47	24.546562
251_136532_000000_000003	Fitzgerald was still trying to find out how the germ had been transmitted.	Fitzgerald was still trying to find out how the germ had been transmitted.	true	56.9	61.39	20.489351
251_136532_000001_000000	They found a globe of Mars, made when the city had been a seaport.	They found a globe of Mars, made when the city had been a seaport.	true	62.12	66.82	19.63699
251_136532_000001_000001	They located the city, and learned that its name had been Kukan--or something with a similar vowel-consonant ratio.	They located the city, and learned that its name had been Kukan-or something with a similar vowel consonant ratio.	true	67.28	75.19	22.1197
251_136532_000001_000002	Immediately, Sid Chamberlain and Gloria Standish began giving their telecasts a Kukan dateline, and Hubert Penrose used the name in his official reports.	Immediately, Sid Chamberlain and Gloria Standish began giving their telecasts a Kukan dateline, and Hubert Penrose used the name in his official reports.	true	75.62	86.41	23
251_136532_000001_000003	They also found a Martian calendar; the year had been divided into ten more or less equal months, and one of them had been Doma.	They also found a Martian calendar; the year had been divided into ten more or less equal months, and one of them had been Doma.	true	86.96	96.55	19.506794
251_136532_000001_000004	Another month was Nor, and that was a part of the name of the scientific journal Martha had found.	Another month was Nor, and that was a part of the name of the scientific journal Martha had found.	false	97.07	103.06	24.239824
251_136532_000002_000000	Bill Chandler, the zoologist, had been going deeper and deeper into the old sea bottom of Syrtis.	Bill Chandler, the zoologist, had been going deeper and deeper into the old sea bottom of Syrtis.	true	103.97	110.17	19.036932
251_136532_000002_000001	Four hundred miles from Kukan, and at fifteen thousand feet lower altitude, he shot a bird.	Four hundred miles from Kukan, and at fifteen thousand feet lower altitude, he shot a bird.	true	110.78	117.73	23.05262
251_136532_000002_000002	At least, it was a something with wings and what were almost but not quite feathers, though it was more reptilian than avian in general characteristics.	At least, it was a something with wings and what were almost but not quite feathers, though it was more reptilian than avian in general characteristics.	true	118.01	128.32	22.042465
251_136532_000002_000003	He and Ivan Fitzgerald skinned and mounted it, and then dissected the carcass almost tissue by tissue.	He and Ivan Fitzgerald skinned and mounted it, and then dissected the carcass almost tissue by tissue.	true	128.81	136.12	23.178295
251_136532_000002_000004	About seven-eighths of its body capacity was lungs; it certainly breathed air containing at least half enough oxygen to support human life, or five times as much as the air around Kukan.	About seven eighths of its body capacity was lungs; it certainly breathed air containing at least half enough oxygen to support human life, or five times as much as the air around Kukan.	true	136.7	150.16	20.930437
251_136532_000003_000000	That took the center of interest away from archaeology, and started a new burst of activity.	That took the center of interest away from archaeology, and started a new burst of activity.	true	151.43	157.27	23.570023
251_136532_000003_000001	All the expedition's aircraft--four jetticopters and three wingless airdyne reconnaissance fighters--were thrown into intensified exploration of the lower sea bottoms, and the bio-science boys and girls were wild with excitement and making new discoveries on each flight.	All the expedition's aircraft-four jetticopters and three wingless airdyne reconnaissance fighters-were thrown into intensified exploration of the lower sea bottoms, and the bio science boys and girls were wild with excitement and making new discoveries on each flight.	false	158.03	175.15	22.200298
251_136532_000004_000000	The University was left to Selim and Martha and Tony Lattimer, the latter keeping to himself while she and the old Turco-German worked together.	The University was left to Selim and Martha and Tony Lattimer, the latter keeping to himself while she and the old Turco German worked together.	false	176.15	185.83	22.27474
251_136532_000004_000001	The civilian specialists in other fields, and the Space Force people who had been holding tape lines and making sketches and snapping cameras, were all flying to lower Syrtis to find out how much oxygen there was and what kind of life it supported.	The civilian specialists in other fields, and the Space Force people who had been holding tape lines and making sketches and snapping cameras, were all flying to lower Syrtis to find out how much oxygen there was and what kind of life it supported.	true	186.41	202.24	24.692213
251_136532_000005_000000	Sometimes Sachiko dropped in; most of the time she was busy helping Ivan Fitzgerald dissect specimens.	Sometimes Sachiko dropped in; most of the time she was busy helping Ivan Fitzgerald dissect specimens.	true	202.94	210.25	23.167606
251_136532_000005_000001	They had four or five species of what might loosely be called birds, and something that could easily be classed as a reptile, and a carnivorous mammal the size of a cat with birdlike claws, and a herbivore almost identical with the piglike thing in the big _Darfhulva_ mural, and another like a gazelle with a single horn in the middle of its forehead.	They had four or five species of what might loosely be called birds, and something that could easily be classed as a reptile, and a carnivorous mammal the size of a cat with birdlike claws, and a herbivore almost identical with the piglike thing in the big underscore Darfhulva underscore mural, and another like a gazelle with a single horn in the middle of its forehead.	false	211.04	235.24	22.406364
251_136532_000006_000000	The high point came when one party, at thirty thousand feet below the level of Kukan, found breathable air.	The high point came when one party, at thirty thousand feet below the level of Kukan, found breathable air.	true	236.21	244.51	22.69046
251_136532_000006_000001	One of them had a mild attack of _sorroche_ and had to be flown back for treatment in a hurry, but the others showed no ill effects.	One of them had a mild attack of underscore sorroche underscore and had to be flown back for treatment in a hurry, but the others showed no ill effects.	false	244.91	253.54	22.837494
251_136532_000007_000000	The daily newscasts from Terra showed a corresponding shift in interest at home.	The daily newscasts from Terra showed a corresponding shift in interest at home.	true	254.69	259.99	25
251_136532_000007_000001	The discovery of the University had focused attention on the dead past of Mars; now the public was interested in Mars as a possible home for humanity.	The discovery of the University had focused attention on the dead past of Mars; now the public was interested in Mars as a possible home for humanity.	true	260.39	271.39	21.06025
251_136532_000007_000002	It was Tony Lattimer who brought archaeology back into the activities of the expedition and the news at home.	It was Tony Lattimer who brought archaeology back into the activities of the expedition and the news at home.	true	272.18	279.22	20.418715
251_136532_000008_000000	Martha and Selim were working in the museum on the second floor, scrubbing the grime from the glass cases, noting contents, and grease-penciling numbers; Lattimer and a couple of Space Force officers were going through what had been the administrative offices on the other side.	Martha and Selim were working in the museum on the second floor, scrubbing the grime from the glass cases, noting contents, and grease penciling numbers; Lattimer and a couple of Space Force officers were going through what had been the administrative offices on the other side.	true	279.5	298.54	21.620775
251_136532_000008_000001	It was one of these, a young second lieutenant, who came hurrying in from the mezzanine, almost bursting with excitement.	It was one of these, a young second lieutenant, who came hurrying in from the mezzanine, almost bursting with excitement.	true	299.18	307.15	23.820547
251_136532_000009_000000	"Hey, Martha!	"Hey, Martha!	true	307.31	308.97	23.922115
