251_136532_000000_000001	Shortly afterward, the malady turned into a mild fever, from which she recovered.	Shortly afterward, the malady turned into a mild fever, from which she recovered.
251_136532_000000_000002	Nobody else seemed to have caught it.	Nobody else seemed to have caught it.
251_136532_000000_000003	Fitzgerald was still trying to find out how the germ had been transmitted.	Fitzgerald was still trying to find out how the germ had been transmitted.
251_136532_000001_000001	They located the city, and learned that its name had been Kukan--or something with a similar vowel-consonant ratio.	They located the city, and learned that its name had been Kukan-or something with a similar vowel consonant ratio.
251_136532_000001_000002	Immediately, Sid Chamberlain and Gloria Standish began giving their telecasts a Kukan dateline, and Hubert Penrose used the name in his official reports.	Immediately, Sid Chamberlain and Gloria Standish began giving their telecasts a Kukan dateline, and Hubert Penrose used the name in his official reports.
251_136532_000002_000001	Four hundred miles from Kukan, and at fifteen thousand feet lower altitude, he shot a bird.	Four hundred miles from Kukan, and at fifteen thousand feet lower altitude, he shot a bird.
251_136532_000002_000002	At least, it was a something with wings and what were almost but not quite feathers, though it was more reptilian than avian in general characteristics.	At least, it was a something with wings and what were almost but not quite feathers, though it was more reptilian than avian in general characteristics.
251_136532_000002_000003	He and Ivan Fitzgerald skinned and mounted it, and then dissected the carcass almost tissue by tissue.	He and Ivan Fitzgerald skinned and mounted it, and then dissected the carcass almost tissue by tissue.
251_136532_000002_000004	About seven-eighths of its body capacity was lungs; it certainly breathed air containing at least half enough oxygen to support human life, or five times as much as the air around Kukan.	About seven eighths of its body capacity was lungs; it certainly breathed air containing at least half enough oxygen to support human life, or five times as much as the air around Kukan.
251_136532_000003_000000	That took the center of interest away from archaeology, and started a new burst of activity.	That took the center of interest away from archaeology, and started a new burst of activity.
251_136532_000004_000001	The civilian specialists in other fields, and the Space Force people who had been holding tape lines and making sketches and snapping cameras, were all flying to lower Syrtis to find out how much oxygen there was and what kind of life it supported.	The civilian specialists in other fields, and the Space Force people who had been holding tape lines and making sketches and snapping cameras, were all flying to lower Syrtis to find out how much oxygen there was and what kind of life it supported.
251_136532_000005_000000	Sometimes Sachiko dropped in; most of the time she was busy helping Ivan Fitzgerald dissect specimens.	Sometimes Sachiko dropped in; most of the time she was busy helping Ivan Fitzgerald dissect specimens.
251_136532_000006_000000	The high point came when one party, at thirty thousand feet below the level of Kukan, found breathable air.	The high point came when one party, at thirty thousand feet below the level of Kukan, found breathable air.
251_136532_000007_000000	The daily newscasts from Terra showed a corresponding shift in interest at home.	The daily newscasts from Terra showed a corresponding shift in interest at home.
251_136532_000007_000001	The discovery of the University had focused attention on the dead past of Mars; now the public was interested in Mars as a possible home for humanity.	The discovery of the University had focused attention on the dead past of Mars; now the public was interested in Mars as a possible home for humanity.
251_136532_000007_000002	It was Tony Lattimer who brought archaeology back into the activities of the expedition and the news at home.	It was Tony Lattimer who brought archaeology back into the activities of the expedition and the news at home.
251_136532_000008_000000	Martha and Selim were working in the museum on the second floor, scrubbing the grime from the glass cases, noting contents, and grease-penciling numbers; Lattimer and a couple of Space Force officers were going through what had been the administrative offices on the other side.	Martha and Selim were working in the museum on the second floor, scrubbing the grime from the glass cases, noting contents, and grease penciling numbers; Lattimer and a couple of Space Force officers were going through what had been the administrative offices on the other side.
251_136532_000008_000001	It was one of these, a young second lieutenant, who came hurrying in from the mezzanine, almost bursting with excitement.	It was one of these, a young second lieutenant, who came hurrying in from the mezzanine, almost bursting with excitement.
251_136532_000009_000000	"Hey, Martha!	"Hey, Martha!
251_136532_000009_000001	Dr. von Ohlmhorst!" he was shouting.	dr von Ohlmhorst!" he was shouting.
251_136532_000010_000000	Selim dropped his rag back in the bucket; she laid her clipboard on top of the case beside her.	Selim dropped his rag back in the bucket; she laid her clipboard on top of the case beside her.
251_136532_000011_000000	"Where?" they asked together.	"Where?" they asked together.
251_136532_000012_000000	"Over on the north side." The lieutenant took hold of himself and spoke more deliberately.	"Over on the north side." The lieutenant took hold of himself and spoke more deliberately.
251_136532_000012_000001	"Little room, back of one of the old faculty offices--conference room.	"Little room, back of one of the old faculty offices-conference room.
251_136532_000012_000003	That's where they are.	That's where they are.
251_136532_000012_000004	Eighteen of them, around a long table--"	Eighteen of them, around a long table-"
251_136532_000013_000000	Gloria Standish, who had dropped in for lunch, was on the mezzanine, fairly screaming into a radiophone extension:	Gloria Standish, who had dropped in for lunch, was on the mezzanine, fairly screaming into a radiophone extension:
251_136532_000014_000000	" ... Dozen and a half of them!	" ... Dozen and a half of them!
251_136532_000014_000001	Well, of course they're dead.	Well, of course they're dead.
251_136532_000014_000002	What a question!	What a question!
251_136532_000014_000003	They look like skeletons covered with leather.	They look like skeletons covered with leather.
251_136532_000014_000004	No, I do not know what they died of.	No, I do not know what they died of.
251_136532_000014_000005	Well, forget it; I don't care if Bill Chandler's found a three-headed hippopotamus.	Well, forget it; I don't care if Bill Chandler's found a three headed hippopotamus.
251_136532_000014_000006	Sid, don't you get it?	Sid, don't you get it?
251_136532_000015_000000	She slammed the phone back on its hook, rushing away ahead of them.	She slammed the phone back on its hook, rushing away ahead of them.
251_136532_000016_000000	Martha remembered the closed door; on the first survey, they hadn't attempted opening it.	Martha remembered the closed door; on the first survey, they hadn't attempted opening it.
251_136532_000016_000001	Now it was burned away at both sides and lay, still hot along the edges, on the floor of the big office room in front. A floodlight was on in the room inside, and Lattimer was going around looking at things while a Space Force officer stood by the door.	Now it was burned away at both sides and lay, still hot along the edges, on the floor of the big office room in front. A floodlight was on in the room inside, and Lattimer was going around looking at things while a Space Force officer stood by the door.
251_136532_000016_000002	The center of the room was filled by a long table; in armchairs around it sat the eighteen men and women who had occupied the room for the last fifty millennia.	The center of the room was filled by a long table; in armchairs around it sat the eighteen men and women who had occupied the room for the last fifty millennia.
251_136532_000016_000005	Another had fallen forward onto the table, arms extended, the emerald set of a ring twinkling dully on one finger.	Another had fallen forward onto the table, arms extended, the emerald set of a ring twinkling dully on one finger.
251_136532_000016_000006	Skeletons covered with leather, Gloria Standish had called them, and so they were--faces like skulls, arms and legs like sticks, the flesh shrunken onto the bones under it.	Skeletons covered with leather, Gloria Standish had called them, and so they were-faces like skulls, arms and legs like sticks, the flesh shrunken onto the bones under it.
251_136532_000017_000000	"Isn't this something!" Lattimer was exulting.	"Isn't this something!" Lattimer was exulting.
251_136532_000017_000001	"Mass suicide, that's what it was.	"Mass suicide, that's what it was.
251_136532_000017_000002	Notice what's in the corners?"	Notice what's in the corners?"
251_136532_000018_000000	Braziers, made of perforated two-gallon-odd metal cans, the white walls smudged with smoke above them.	Braziers, made of perforated two gallon odd metal cans, the white walls smudged with smoke above them.
251_136532_000018_000001	Von Ohlmhorst had noticed them at once, and was poking into one of them with his flashlight.	Von Ohlmhorst had noticed them at once, and was poking into one of them with his flashlight.
251_136532_000019_000000	"Yes; charcoal.	"Yes; charcoal.
251_136532_000019_000002	That's why you had so much trouble breaking in; they'd sealed the room on the inside." He straightened and went around the room, until he found a ventilator, and peered into it.	That's why you had so much trouble breaking in; they'd sealed the room on the inside." He straightened and went around the room, until he found a ventilator, and peered into it.
251_136532_000019_000004	They must have been all that were left, here.	They must have been all that were left, here.
251_136532_000019_000006	So they just came in here and lit the charcoal, and sat drinking together till they all fell asleep.	So they just came in here and lit the charcoal, and sat drinking together till they all fell asleep.
251_136532_000020_000000	Sid and Gloria made the most of it.	Sid and Gloria made the most of it.
251_136532_000020_000001	The Terran public wanted to hear about Martians, and if live Martians couldn't be found, a room full of dead ones was the next best thing.	The Terran public wanted to hear about Martians, and if live Martians couldn't be found, a room full of dead ones was the next best thing.
251_136532_000020_000002	Maybe an even better thing; it had been only sixty-odd years since the Orson Welles invasion-scare.	Maybe an even better thing; it had been only sixty odd years since the Orson Welles invasion scare.
251_136532_000020_000004	Without question, he had become, overnight, the most widely known archaeologist in history.	Without question, he had become, overnight, the most widely known archaeologist in history.
251_136532_000021_000000	"Not that I'm interested in all this, for myself," he disclaimed, after listening to the telecast from Terra two days after his discovery.	"Not that I'm interested in all this, for myself," he disclaimed, after listening to the telecast from Terra two days after his discovery.
251_136532_000021_000002	Bring it to the public attention; dramatize it.	Bring it to the public attention; dramatize it.
251_136532_000022_000000	"In 1923?	"In nineteen twenty three?
251_136532_000022_000004	And, for a while, it was easier to get financial support for new excavations.	And, for a while, it was easier to get financial support for new excavations.
251_136532_000023_000001	"I'd hoped it would be you; your voice would carry the most weight.	"I'd hoped it would be you; your voice would carry the most weight.
251_136532_000023_000002	But I think it's important that one of us go back, to present the story of our work, and what we have accomplished and what we hope to accomplish, to the public and to the universities and the learned societies, and to the Federation Government.	But I think it's important that one of us go back, to present the story of our work, and what we have accomplished and what we hope to accomplish, to the public and to the universities and the learned societies, and to the Federation Government.
251_136532_000023_000004	We must not allow the other scientific fields and the so-called practical interests to monopolize public and academic support.	We must not allow the other scientific fields and the so-called practical interests to monopolize public and academic support.
251_136532_000023_000005	So, I believe I shall go back at least for a while, and see what I can do--"	So, I believe I shall go back at least for a while, and see what I can do-"
251_136532_000024_000000	Lectures.	Lectures.
251_136532_000024_000001	The organization of a Society of Martian Archaeology, with Anthony Lattimer, Ph.D., the logical candidate for the chair.	The organization of a Society of Martian Archaeology, with Anthony Lattimer, p h d, the logical candidate for the chair.
251_136532_000024_000002	Degrees, honors; the deference of the learned, and the adulation of the lay public.	Degrees, honors; the deference of the learned, and the adulation of the lay public.
251_136532_000024_000003	Positions, with impressive titles and salaries.	Positions, with impressive titles and salaries.
251_136532_000024_000004	Sweet are the uses of publicity.	Sweet are the uses of publicity.
251_136532_000025_000000	She crushed out her cigarette and got to her feet.	She crushed out her cigarette and got to her feet.
251_136532_000026_000001	Let the infantry do the slogging through the mud; the brass-hats got the medals.	Let the infantry do the slogging through the mud; the brass hats got the medals.
