2803_154328_000002_000000	CHAPTER XII STRANGELY LIBERATED	CHAPTER twelve STRANGELY LIBERATED
2803_154328_000004_000000	They had one night in which to prepare for death.	They had one night in which to prepare for death.
2803_154328_000004_000001	Overcome as they were with horror and fatigue, they took their last meal together.	Overcome as they were with horror and fatigue, they took their last meal together.
2803_154328_000005_000001	We must show these savages how Europeans can die."	We must show these savages how Europeans can die."
2803_154328_000006_000000	The meal ended.	The meal ended.
2803_154328_000006_000001	Lady Helena repeated the evening prayer aloud, her companions, bare-headed, repeated it after her.	Lady Helena repeated the evening prayer aloud, her companions, bare headed, repeated it after her.
2803_154328_000006_000002	Who does not turn his thoughts toward God in the hour of death?	Who does not turn his thoughts toward God in the hour of death?
2803_154328_000006_000003	This done, the prisoners embraced each other.	This done, the prisoners embraced each other.
2803_154328_000006_000005	Sleep, which keeps all sorrow in abeyance, soon weighed down their eyelids; they slept in each other's arms, overcome by exhaustion and prolonged watching.	Sleep, which keeps all sorrow in abeyance, soon weighed down their eyelids; they slept in each other's arms, overcome by exhaustion and prolonged watching.
2803_154328_000007_000000	Then Glenarvan, taking his friends aside, said: "My dear friends, our lives and the lives of these poor women are in God's hands.	Then Glenarvan, taking his friends aside, said: "My dear friends, our lives and the lives of these poor women are in God's hands.
2803_154328_000007_000001	If it is decreed that we die to-morrow, let us die bravely, like Christian men, ready to appear without terror before the Supreme Judge.	If it is decreed that we die to morrow, let us die bravely, like Christian men, ready to appear without terror before the Supreme Judge.
2803_154328_000007_000002	God, who reads our hearts, knows that we had a noble end in view.	God, who reads our hearts, knows that we had a noble end in view.
2803_154328_000007_000004	Stern as the decree may seem, I will not repine.	Stern as the decree may seem, I will not repine.
2803_154328_000007_000005	But death here, means not death only, it means torture, insult, perhaps, and here are two ladies--"	But death here, means not death only, it means torture, insult, perhaps, and here are two ladies-"
2803_154328_000008_000000	Glenarvan's voice, firm till now, faltered.	Glenarvan's voice, firm till now, faltered.
2803_154328_000008_000001	He was silent a moment, and having overcome his emotion, he said, addressing the young captain:	He was silent a moment, and having overcome his emotion, he said, addressing the young captain:
2803_154328_000009_000000	"John, you have promised Mary what I promised Lady Helena.	"john, you have promised Mary what I promised Lady Helena.
2803_154328_000010_000000	"I believe," said John, "that in the sight of God I have a right to fulfill that promise."	"I believe," said john, "that in the sight of God I have a right to fulfill that promise."
2803_154328_000011_000000	"Yes, John; but we are unarmed."	"Yes, john; but we are unarmed."
