2902_9006_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
2902_9006_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
2902_9006_000003_000000	HYPATIA	HYPATIA
2902_9006_000006_000000	By Charles Kingsley	By Charles Kingsley
2902_9006_000007_000000	PREFACE	PREFACE
2902_9006_000008_000000	A picture of life in the fifth century must needs contain much which will be painful to any reader, and which the young and innocent will do well to leave altogether unread.	A picture of life in the fifth century must needs contain much which will be painful to any reader, and which the young and innocent will do well to leave altogether unread.
2902_9006_000008_000001	It has to represent a very hideous, though a very great, age; one of those critical and cardinal eras in the history of the human race, in which virtues and vices manifest themselves side by side--even, at times, in the same person--with the most startling openness and power.	It has to represent a very hideous, though a very great, age; one of those critical and cardinal eras in the history of the human race, in which virtues and vices manifest themselves side by side-even, at times, in the same person-with the most startling openness and power.
2902_9006_000008_000003	He dare not tell how evil people were; he will not be believed if he tells how good they were.	He dare not tell how evil people were; he will not be believed if he tells how good they were.
2902_9006_000008_000004	In the present case that disadvantage is doubled; for while the sins of the Church, however heinous, were still such as admit of being expressed in words, the sins of the heathen world, against which she fought, were utterly indescribable; and the Christian apologist is thus compelled, for the sake of decency, to state the Church's case far more weakly than the facts deserve.	In the present case that disadvantage is doubled; for while the sins of the Church, however heinous, were still such as admit of being expressed in words, the sins of the heathen world, against which she fought, were utterly indescribable; and the Christian apologist is thus compelled, for the sake of decency, to state the Church's case far more weakly than the facts deserve.
2902_9006_000010_000000	For a time had arrived, in which no teacher who did not put forth the most lofty pretensions to righteousness could expect a hearing.	For a time had arrived, in which no teacher who did not put forth the most lofty pretensions to righteousness could expect a hearing.
2902_9006_000010_000003	And He who excited the craving, was also furnishing that which would satisfy it; and was teaching mankind, by a long and painful education, to distinguish the truth from its innumerable counterfeits, and to find, for the first time in the world's life, a good news not merely for the select few, but for all mankind without respect of rank or race.	And He who excited the craving, was also furnishing that which would satisfy it; and was teaching mankind, by a long and painful education, to distinguish the truth from its innumerable counterfeits, and to find, for the first time in the world's life, a good news not merely for the select few, but for all mankind without respect of rank or race.
2902_9006_000011_000000	For somewhat more than four hundred years, the Roman Empire and the Christian Church, born into the world almost at the same moment, had been developing themselves side by side as two great rival powers, in deadly struggle for the possession of the human race.	For somewhat more than four hundred years, the Roman Empire and the Christian Church, born into the world almost at the same moment, had been developing themselves side by side as two great rival powers, in deadly struggle for the possession of the human race.
2902_9006_000014_000001	Here and there an abuse was lopped off; or an edict was passed for the visitation of prisons and for the welfare of prisoners; or a Theodosius was recalled to justice and humanity for a while by the stern rebukes of an Ambrose.	Here and there an abuse was lopped off; or an edict was passed for the visitation of prisons and for the welfare of prisoners; or a Theodosius was recalled to justice and humanity for a while by the stern rebukes of an Ambrose.
2902_9006_000014_000005	So thought many then, and, as I believe, not unwisely.	So thought many then, and, as I believe, not unwisely.
2902_9006_000017_000001	They brought before the minds of churchmen a thousand new questions which must be solved, unless the Church was to relinquish for ever her claims as the great teacher and satisfier of the human soul.	They brought before the minds of churchmen a thousand new questions which must be solved, unless the Church was to relinquish for ever her claims as the great teacher and satisfier of the human soul.
2902_9006_000019_000000	And the new blood, at the era of this story, was at hand.	And the new blood, at the era of this story, was at hand.
