2902_9008_000000_000000	CHAPTER II: THE DYING WORLD	CHAPTER two: THE DYING WORLD	false	0.72	25.29	20.06729
2902_9008_000001_000000	In the upper story of a house in the Museum Street of Alexandria, built and fitted up on the old Athenian model, was a small room.	In the upper story of a house in the Museum Street of Alexandria, built and fitted up on the old Athenian model, was a small room.	true	25.29	34.03	19.595308
2902_9008_000001_000001	It had been chosen by its occupant, not merely on account of its quiet; for though it was tolerably out of hearing of the female slaves who worked, and chattered, and quarrelled under the cloisters of the women's court on the south side, yet it was exposed to the rattle of carriages and the voices of passengers in the fashionable street below, and to strange bursts of roaring, squealing, trumpeting from the Menagerie, a short way off, on the opposite side of the street.	It had been chosen by its occupant, not merely on account of its quiet; for though it was tolerably out of hearing of the female slaves who worked, and chattered, and quarrelled under the cloisters of the women's court on the south side, yet it was exposed to the rattle of carriages and the voices of passengers in the fashionable street below, and to strange bursts of roaring, squealing, trumpeting from the Menagerie, a short way off, on the opposite side of the street.	true	34.31	62.68	19.906584
2902_9008_000001_000002	The attraction of the situation lay, perhaps, in the view which it commanded over the wall of the Museum gardens, of flower-beds, shrubberies, fountains, statues, walks, and alcoves, which had echoed for nearly seven hundred years to the wisdom of the Alexandrian sages and poets.	The attraction of the situation lay, perhaps, in the view which it commanded over the wall of the Museum gardens, of flower beds, shrubberies, fountains, statues, walks, and alcoves, which had echoed for nearly seven hundred years to the wisdom of the Alexandrian sages and poets.	true	63.32	81.25	19.9195
2902_9008_000001_000003	School after school, they had all walked, and taught, and sung there, beneath the spreading planes and chestnuts, figs and palm-trees.	School after school, they had all walked, and taught, and sung there, beneath the spreading planes and chestnuts, figs and palm trees.	true	81.77	90.7	21.227564
2902_9008_000001_000004	The place seemed fragrant with all the riches of Greek thought and song, since the days when Ptolemy Philadelphus walked there with Euclid and Theocritus, Callimachus and Lycophron.	The place seemed fragrant with all the riches of Greek thought and song, since the days when Ptolemy Philadelphus walked there with Euclid and Theocritus, Callimachus and Lycophron.	true	91.07	102.37	20.359804
2902_9008_000002_000000	On the left of the garden stretched the lofty eastern front of the Museum itself, with its picture galleries, halls of statuary, dining-halls, and lecture-rooms; one huge wing containing that famous library, founded by the father of Philadelphus, which hold in the time of Seneca, even after the destruction of a great part of it in Caesar's siege, four hundred thousand manuscripts.	On the left of the garden stretched the lofty eastern front of the Museum itself, with its picture galleries, halls of statuary, dining halls, and lecture rooms; one huge wing containing that famous library, founded by the father of Philadelphus, which hold in the time of Seneca, even after the destruction of a great part of it in Caesar's siege, four hundred thousand manuscripts.	true	103.79	127.9	20.083763
2902_9008_000002_000001	There it towered up, the wonder of the world, its white roof bright against the rainless blue; and beyond it, among the ridges and pediments of noble buildings, a broad glimpse of the bright blue sea.	There it towered up, the wonder of the world, its white roof bright against the rainless blue; and beyond it, among the ridges and pediments of noble buildings, a broad glimpse of the bright blue sea.	true	128.36	141.07	21.607885
2902_9008_000003_000000	The room was fitted up in the purest Greek style, not without an affectation of archaism, in the severe forms and subdued half-tints of the frescoes which ornamented the walls with scenes from the old myths of Athene.	The room was fitted up in the purest Greek style, not without an affectation of archaism, in the severe forms and subdued half tints of the frescoes which ornamented the walls with scenes from the old myths of Athene.	true	142.4	155.28	19.439863
2902_9008_000003_000001	Yet the general effect, even under the blazing sun which poured in through the mosquito nets of the courtyard windows, was one of exquisite coolness, and cleanliness, and repose.	Yet the general effect, even under the blazing sun which poured in through the mosquito nets of the courtyard windows, was one of exquisite coolness, and cleanliness, and repose.	false	155.28	166.78	19.210312
2902_9008_000003_000002	The room had neither carpet nor fireplace; and the only movables in it were a sofa-bed, a table, and an arm-chair, all of such delicate and graceful forms as may be seen on ancient vases of a far earlier period than that whereof we write.	The room had neither carpet nor fireplace; and the only movables in it were a sofa bed, a table, and an arm chair, all of such delicate and graceful forms as may be seen on ancient vases of a far earlier period than that whereof we write.	false	167.27	183.58	19.543913
