2902_9008_000001_000003	School after school, they had all walked, and taught, and sung there, beneath the spreading planes and chestnuts, figs and palm-trees.	School after school, they had all walked, and taught, and sung there, beneath the spreading planes and chestnuts, figs and palm trees.
2902_9008_000001_000004	The place seemed fragrant with all the riches of Greek thought and song, since the days when Ptolemy Philadelphus walked there with Euclid and Theocritus, Callimachus and Lycophron.	The place seemed fragrant with all the riches of Greek thought and song, since the days when Ptolemy Philadelphus walked there with Euclid and Theocritus, Callimachus and Lycophron.
2902_9008_000002_000000	On the left of the garden stretched the lofty eastern front of the Museum itself, with its picture galleries, halls of statuary, dining-halls, and lecture-rooms; one huge wing containing that famous library, founded by the father of Philadelphus, which hold in the time of Seneca, even after the destruction of a great part of it in Caesar's siege, four hundred thousand manuscripts.	On the left of the garden stretched the lofty eastern front of the Museum itself, with its picture galleries, halls of statuary, dining halls, and lecture rooms; one huge wing containing that famous library, founded by the father of Philadelphus, which hold in the time of Seneca, even after the destruction of a great part of it in Caesar's siege, four hundred thousand manuscripts.
2902_9008_000002_000001	There it towered up, the wonder of the world, its white roof bright against the rainless blue; and beyond it, among the ridges and pediments of noble buildings, a broad glimpse of the bright blue sea.	There it towered up, the wonder of the world, its white roof bright against the rainless blue; and beyond it, among the ridges and pediments of noble buildings, a broad glimpse of the bright blue sea.
2902_9008_000004_000002	Listen!	Listen!
2902_9008_000005_000000	'Yes.	'Yes.
2902_9008_000005_000001	The statues there are broken.	The statues there are broken.
2902_9008_000005_000003	The alcoves are silent.	The alcoves are silent.
2902_9008_000005_000004	The oracles are dumb.	The oracles are dumb.
2902_9008_000005_000007	If the gods have deserted their oracles, they have not deserted the souls who aspire to them.	If the gods have deserted their oracles, they have not deserted the souls who aspire to them.
2902_9008_000005_000008	If they have ceased to guide nations, they have not ceased to speak to their own elect.	If they have ceased to guide nations, they have not ceased to speak to their own elect.
2902_9008_000006_000004	To show oneself superior to the herd, by seeing boundless depths of living glory in myths which have become dark and dead to them....	To show oneself superior to the herd, by seeing boundless depths of living glory in myths which have become dark and dead to them....
2902_9008_000008_000001	I see her everywhere--till the last month at least--and here she is again!	I see her everywhere-till the last month at least-and here she is again!
2902_9008_000008_000002	I will ask the prefect to find out who she is, and get rid of her, before she fascinates me with that evil eye.	I will ask the prefect to find out who she is, and get rid of her, before she fascinates me with that evil eye.
2902_9008_000008_000003	Thank the gods, there she moves away!	Thank the gods, there she moves away!
2902_9008_000008_000004	Foolish!--foolish of me, a philosopher.	Foolish!--foolish of me, a philosopher.
2902_9008_000008_000005	I, to believe, against the authority of Porphyry himself, too, in evil eyes and magic!	I, to believe, against the authority of Porphyry himself, too, in evil eyes and magic!
2902_9008_000008_000006	But there is my father, pacing up and down in the library.'	But there is my father, pacing up and down in the library.'
2902_9008_000009_000001	He was a Greek, also, but of a more common, and, perhaps, lower type; dark and fiery, thin and graceful; his delicate figure and cheeks, wasted by meditation, harmonised well with the staid and simple philosophic cloak which he wore as a sign of his profession.	He was a Greek, also, but of a more common, and, perhaps, lower type; dark and fiery, thin and graceful; his delicate figure and cheeks, wasted by meditation, harmonised well with the staid and simple philosophic cloak which he wore as a sign of his profession.
2902_9008_000009_000002	He paced impatiently up and down the chamber, while his keen, glittering eyes and restless gestures betokened intense inward thought.... 'I have it....	He paced impatiently up and down the chamber, while his keen, glittering eyes and restless gestures betokened intense inward thought.... 'I have it....
2902_9008_000009_000005	If there is faith in Pythagoras, the symbol should be an expanding series of the powers of three; and yet that accursed binary factor will introduce itself.	If there is faith in Pythagoras, the symbol should be an expanding series of the powers of three; and yet that accursed binary factor will introduce itself.
2902_9008_000009_000006	Did not you work the sum out once, Hypatia?'	Did not you work the sum out once, Hypatia?'
2902_9008_000010_000001	You have tasted no food yet this day.'	You have tasted no food yet this day.'
2902_9008_000011_000000	'What do I care for food!	'What do I care for food!
2902_9008_000011_000001	The inexpressible must be expressed, the work must be done if it cost me the squaring of the circle.	The inexpressible must be expressed, the work must be done if it cost me the squaring of the circle.
2902_9008_000011_000002	How can he, whose sphere lies above the stars, stoop every moment to earth?	How can he, whose sphere lies above the stars, stoop every moment to earth?
2902_9008_000012_000001	But while we are in this prison-house of matter, we must wear our chain; even wear it gracefully, if we have the good taste; and make the base necessities of this body of shame symbolic of the divine food of the reason.	But while we are in this prison house of matter, we must wear our chain; even wear it gracefully, if we have the good taste; and make the base necessities of this body of shame symbolic of the divine food of the reason.
2902_9008_000012_000002	There is fruit, with lentils and rice, waiting for you in the next room; and bread, unless you despise it too much.'	There is fruit, with lentils and rice, waiting for you in the next room; and bread, unless you despise it too much.'
2902_9008_000013_000001	'Well, I will eat, and be ashamed of eating.	'Well, I will eat, and be ashamed of eating.
2902_9008_000013_000002	Stay, did I tell you?	Stay, did I tell you?
2902_9008_000013_000003	Six new pupils in the mathematical school this morning.	Six new pupils in the mathematical school this morning.
2902_9008_000013_000004	It grows!	It grows!
2902_9008_000013_000005	It spreads!	It spreads!
2902_9008_000013_000006	We shall conquer yet!'	We shall conquer yet!'
2902_9008_000014_000002	Strange! that men should be content to grovel, and be men, when they might rise to the rank of gods!	Strange! that men should be content to grovel, and be men, when they might rise to the rank of gods!
2902_9008_000014_000004	That is my bitterest grief! to see those who have been pretending in the morning lecture-room to worship every word of mine as an oracle, lounging in the afternoon round Pelagia's litter; and then at night--for I know that they do it--the dice, and the wine, and worse.	That is my bitterest grief! to see those who have been pretending in the morning lecture room to worship every word of mine as an oracle, lounging in the afternoon round Pelagia's litter; and then at night-for I know that they do it-the dice, and the wine, and worse.
2902_9008_000017_000000	'His excellency, madam, the prefect!	'His excellency, madam, the prefect!
2902_9008_000018_000001	'And why should that disturb me?	'And why should that disturb me?
2902_9008_000018_000002	Let him enter.'	Let him enter.'
2902_9008_000022_000000	'Ah, so they say--Your excellent father has vanished.	'Ah, so they say-Your excellent father has vanished.
2902_9008_000024_000000	'And multiplying, I don't doubt.	'And multiplying, I don't doubt.
2902_9008_000024_000001	Well, there will be less loss to the empire if I have to crucify a dozen or two, as I positively will, the next riot.	Well, there will be less loss to the empire if I have to crucify a dozen or two, as I positively will, the next riot.
2902_9008_000024_000002	It is really a great comfort to a statesman that the masses are so well aware that they deserve hanging, and therefore so careful to prevent any danger of public justice depopulating the province.	It is really a great comfort to a statesman that the masses are so well aware that they deserve hanging, and therefore so careful to prevent any danger of public justice depopulating the province.
2902_9008_000024_000003	But how go on the schools?'	But how go on the schools?'
2902_9008_000026_000001	I plead guilty myself.	I plead guilty myself.
2902_9008_000026_000003	You must not be hard on us....	You must not be hard on us....
