3000_15664_000000_000000	In the afternoon we reached Strawberry Valley and fell asleep.	In the afternoon we reached Strawberry Valley and fell asleep.	false	0	2.43	21.97168
3000_15664_000000_000001	Next morning we seemed to have risen from the dead.	Next morning we seemed to have risen from the dead.	false	2.43	4.86	19.378054
3000_15664_000000_000002	My bedroom was flooded with sunshine, and from the window I saw the great white Shasta cone clad in forests and clouds and bearing them loftily in the sky. Everything seemed full and radiant with the freshness and beauty and enthusiasm of youth.	My bedroom was flooded with sunshine, and from the window I saw the great white Shasta cone clad in forests and clouds and bearing them loftily in the sky. Everything seemed full and radiant with the freshness and beauty and enthusiasm of youth.	false	4.86	13.44	24.121473
3000_15664_000000_000003	Sisson's children came in with flowers and covered my bed, and the storm on the mountaintop banished like a dream.	Sisson's children came in with flowers and covered my bed, and the storm on the mountaintop banished like a dream.	false	13.44	19.14	21.96752
3000_15664_000001_000000	V. Shasta Rambles and Modoc Memories	V. Shasta Rambles and Modoc Memories	false	19.14	22.03	23.440119
3000_15664_000002_000000	Arctic beauty and desolation, with their blessings and dangers, all may be found here, to test the endurance and skill of adventurous climbers; but far better than climbing the mountain is going around its warm, fertile base, enjoying its bounties like a bee circling around a bank of flowers.	Arctic beauty and desolation, with their blessings and dangers, all may be found here, to test the endurance and skill of adventurous climbers; but far better than climbing the mountain is going around its warm, fertile base, enjoying its bounties like a bee circling around a bank of flowers.	true	23.39	43.6	22.819008
3000_15664_000002_000001	The distance is about a hundred miles, and will take some of the time we hear so much about--a week or two--but the benefits will compensate for any number of weeks.	The distance is about a hundred miles, and will take some of the time we hear so much about-a week or two-but the benefits will compensate for any number of weeks.	true	44.3	55	22.976347
3000_15664_000002_000002	Perhaps the profession of doing good may be full, but every body should be kind at least to himself.	Perhaps the profession of doing good may be full, but every body should be kind at least to himself.	true	55.46	62.35	21.89591
3000_15664_000002_000003	Take a course of good water and air, and in the eternal youth of Nature you may renew your own.	Take a course of good water and air, and in the eternal youth of Nature you may renew your own.	true	62.6	68.86	21.29528
3000_15664_000002_000004	Go quietly, alone; no harm will befall you.	Go quietly, alone; no harm will befall you.	true	69.38	73.57	19.79282
3000_15664_000002_000005	Some have strange, morbid fears as soon as they find themselves with Nature, even in the kindest and wildest of her solitudes, like very sick children afraid of their mother--as if God were dead and the devil were king.	Some have strange, morbid fears as soon as they find themselves with Nature, even in the kindest and wildest of her solitudes, like very sick children afraid of their mother-as if God were dead and the devil were king.	true	74	89.29	21.658754
3000_15664_000003_000000	One may make the trip on horseback, or in a carriage, even; for a good level road may be found all the way round, by Shasta Valley, Sheep Rock, Elk Flat, Huckleberry Valley, Squaw Valley, following for a considerable portion of the way the old Emigrant Road, which lies along the east disk of the mountain, and is deeply worn by the wagons of the early gold-seekers, many of whom chose this northern route as perhaps being safer and easier, the pass here being only about six thousand feet above sea level.	One may make the trip on horseback, or in a carriage, even; for a good level road may be found all the way round, by Shasta Valley, Sheep Rock, Elk Flat, Huckleberry Valley, Squaw Valley, following for a considerable portion of the way the old Emigrant Road, which lies along the east disk of the mountain, and is deeply worn by the wagons of the early gold seekers, many of whom chose this northern route as perhaps being safer and easier, the pass here being only about six thousand feet above sea level.	true	90.47	124.93	21.766287
3000_15664_000003_000001	But it is far better to go afoot.	But it is far better to go afoot.	true	125.36	127.96	21.63747
3000_15664_000003_000002	Then you are free to make wide waverings and zigzags away from the roads to visit the great fountain streams of the rivers, the glaciers also, and the wildest retreats in the primeval forests, where the best plants and animals dwell, and where many a flower-bell will ring against your knees, and friendly trees will reach out their fronded branches and touch you as you pass.	Then you are free to make wide waverings and zigzags away from the roads to visit the great fountain streams of the rivers, the glaciers also, and the wildest retreats in the primeval forests, where the best plants and animals dwell, and where many a flower bell will ring against your knees, and friendly trees will reach out their fronded branches and touch you as you pass.	true	128.21	152.71	22.475895
3000_15664_000003_000003	One blanket will be enough to carry, or you may forego the pleasure and burden altogether, as wood for fires is everywhere abundant.	One blanket will be enough to carry, or you may forego the pleasure and burden altogether, as wood for fires is everywhere abundant.	true	153.17	161.2	23.389494
3000_15664_000003_000004	Only a little food will be required.	Only a little food will be required.	true	161.63	163.93	23.359991
3000_15664_000003_000005	Berries and plums abound in season, and quail and grouse and deer--the magnificent shaggy mule deer as well as the common species.	Berries and plums abound in season, and quail and grouse and deer-the magnificent shaggy mule deer as well as the common species.	true	164.06	173.17	22.912273
3000_15664_000004_000000	As you sweep around so grand a center, the mountain itself seems to turn, displaying its riches like the revolving pyramids in jewelers' windows.	As you sweep around so grand a center, the mountain itself seems to turn, displaying its riches like the revolving pyramids in jewelers' windows.	true	173.54	184.18	22.867922
3000_15664_000004_000001	One glacier after another comes into view, and the outlines of the mountain are ever changing, though all the way around, from whatever point of view, the form is maintained of a grand, simple cone with a gently sloping base and rugged, crumbling ridges separating the glaciers and the snowfields more or less completely.	One glacier after another comes into view, and the outlines of the mountain are ever changing, though all the way around, from whatever point of view, the form is maintained of a grand, simple cone with a gently sloping base and rugged, crumbling ridges separating the glaciers and the snowfields more or less completely.	true	184.55	206.32	22.990862
3000_15664_000004_000002	The play of colors, from the first touches of the morning sun on the summit, down the snowfields and the ice and lava until the forests are aglow, is a never-ending delight, the rosy lava and the fine flushings of the snow being ineffably lovely. Thus one saunters on and on in the glorious radiance in utter peace and forgetfulness of time.	The play of colors, from the first touches of the morning sun on the summit, down the snowfields and the ice and lava until the forests are aglow, is a never ending delight, the rosy lava and the fine flushings of the snow being ineffably lovely. Thus one saunters on and on in the glorious radiance in utter peace and forgetfulness of time.	false	206.6	230.26	21.545813
3000_15664_000005_000000	Yet, strange to say, there are days even here somewhat dull-looking, when the mountain seems uncommunicative, sending out no appreciable invitation, as if not at home.	Yet, strange to say, there are days even here somewhat dull looking, when the mountain seems uncommunicative, sending out no appreciable invitation, as if not at home.	true	230.54	243.78	23.073133
3000_15664_000005_000001	At such time its height seems much less, as if, crouching and weary, it were taking rest.	At such time its height seems much less, as if, crouching and weary, it were taking rest.	false	243.78	251.17	23.359224
3000_15664_000005_000002	But Shasta is always at home to those who love her, and is ever in a thrill of enthusiastic activity--burning fires within, grinding glaciers without, and fountains ever flowing.	But Shasta is always at home to those who love her, and is ever in a thrill of enthusiastic activity-burning fires within, grinding glaciers without, and fountains ever flowing.	true	251.63	264.25	22.598597
3000_15664_000005_000003	Every crystal dances responsive to the touches of the sun, and currents of sap in the growing cells of all the vegetation are ever in a vital whirl and rush, and though many feet and wings are folded, how many are astir!	Every crystal dances responsive to the touches of the sun, and currents of sap in the growing cells of all the vegetation are ever in a vital whirl and rush, and though many feet and wings are folded, how many are astir!	false	264.62	279.64	21.95058
3000_15664_000005_000004	And the wandering winds, how busy they are, and what a breadth of sound and motion they make, glinting and bubbling about the crags of the summit, sifting through the woods, feeling their way from grove to grove, ruffling the loose hair on the shoulders of the bears, fanning and rocking young birds in their cradles, making a trumpet of every corolla, and carrying their fragrance around the world.	And the wandering winds, how busy they are, and what a breadth of sound and motion they make, glinting and bubbling about the crags of the summit, sifting through the woods, feeling their way from grove to grove, ruffling the loose hair on the shoulders of the bears, fanning and rocking young birds in their cradles, making a trumpet of every corolla, and carrying their fragrance around the world.	true	280.31	307.03	21.42436
3000_15664_000006_000000	In unsettled weather, when storms are growing, the mountain looms immensely higher, and its miles of height become apparent to all, especially in the gloom of the gathering clouds, or when the storm is done and they are rolling away, torn on the edges and melting while in the sunshine.	In unsettled weather, when storms are growing, the mountain looms immensely higher, and its miles of height become apparent to all, especially in the gloom of the gathering clouds, or when the storm is done and they are rolling away, torn on the edges and melting while in the sunshine.	false	307.97	327.67	21.680304
3000_15664_000006_000001	Slight rainstorms are likely to be encountered in a trip round the mountain, but one may easily find shelter beneath well-thatched trees that shed the rain like a roof.	Slight rainstorms are likely to be encountered in a trip round the mountain, but one may easily find shelter beneath well thatched trees that shed the rain like a roof.	true	328.25	338.62	22.26523
3000_15664_000006_000002	Then the shining of the wet leaves is delightful, and the steamy fragrance, and the burst of bird song from a multitude of thrushes and finches and warblers that have nests in the chaparral.	Then the shining of the wet leaves is delightful, and the steamy fragrance, and the burst of bird song from a multitude of thrushes and finches and warblers that have nests in the chaparral.	true	338.9	350.47	23.424492
3000_15664_000007_000000	The nights, too, are delightful, watching with Shasta beneath the great starry dome.	The nights, too, are delightful, watching with Shasta beneath the great starry dome.	true	351.11	356.86	24.802013
3000_15664_000007_000001	A thousand thousand voices are heard, but so finely blended they seem a part of the night itself, and make a deeper silence.	A thousand thousand voices are heard, but so finely blended they seem a part of the night itself, and make a deeper silence.	true	357.14	365.86	22.537287
3000_15664_000007_000002	And how grandly do the great logs and branches of your campfire give forth the heat and light that during their long century-lives they have so slowly gathered from the sun, storing it away in beautiful dotted cells and beads of amber gum!	And how grandly do the great logs and branches of your campfire give forth the heat and light that during their long century lives they have so slowly gathered from the sun, storing it away in beautiful dotted cells and beads of amber gum!	true	366.35	382.63	21.543425
3000_15664_000007_000003	The neighboring trees look into the charmed circle as if the noon of another day had come, familiar flowers and grasses that chance to be near seem far more beautiful and impressive than by day, and as the dead trees give forth their light all the other riches of their lives seem to be set free and with the rejoicing flames rise again to the sky.	The neighboring trees look into the charmed circle as if the noon of another day had come, familiar flowers and grasses that chance to be near seem far more beautiful and impressive than by day, and as the dead trees give forth their light all the other riches of their lives seem to be set free and with the rejoicing flames rise again to the sky.	true	383.15	405.15	21.96614
3000_15664_000007_000004	In setting out from Strawberry Valley, by bearing off to the northwestward a few miles you may see	In setting out from Strawberry Valley, by bearing off to the northwestward a few miles you may see	false	405.15	412.42	20.846758
3000_15664_000008_000000	"...beneath dim aisles, in odorous beds, The slight Linnaea hang its twin-born heads, And [bless] the monument of the man of flowers, Which breathes his sweet fame through the northern bowers."	"...beneath dim aisles, in odorous beds, The slight Linnaea hang its twin born heads, And [bless] the monument of the man of flowers, Which breathes his sweet fame through the northern bowers."	true	413	427.12	20.226221
3000_15664_000009_000000	This is one of the few places in California where the charming linnaea is found, though it is common to the northward through Oregon and Washington.	This is one of the few places in California where the charming linnaea is found, though it is common to the northward through Oregon and Washington.	true	427.61	436.69	21.152538
3000_15664_000009_000001	Here, too, you may find the curious but unlovable darlingtonia, a carnivorous plant that devours bumblebees, grasshoppers, ants, moths, and other insects, with insatiable appetite.	Here, too, you may find the curious but unlovable darlingtonia, a carnivorous plant that devours bumblebees, grasshoppers, ants, moths, and other insects, with insatiable appetite.	true	437.21	451.6	23.265087
3000_15664_000009_000002	In approaching it, its suspicious-looking yellow-spotted hood and watchful attitude will be likely to make you go cautiously through the bog where it stands, as if you were approaching a dangerous snake.	In approaching it, its suspicious looking yellow spotted hood and watchful attitude will be likely to make you go cautiously through the bog where it stands, as if you were approaching a dangerous snake.	true	452	464.89	24.437239
3000_15664_000009_000003	It also occurs in a bog near Sothern's Station on the stage road, where I first saw it, and in other similar bogs throughout the mountains hereabouts.	It also occurs in a bog near Sothern's Station on the stage road, where I first saw it, and in other similar bogs throughout the mountains hereabouts.	false	465.35	475.24	22.50696
3000_15664_000010_000000	The "Big Spring" of the Sacramento is about a mile and a half above Sisson's, issuing from the base of a drift-covered hill.	The "Big Spring" of the Sacramento is about a mile and a half above Sisson's, issuing from the base of a drift covered hill.	false	475.91	485.41	23.31888
3000_15664_000010_000001	It is lined with emerald algae and mosses, and shaded with alder, willow, and thorn bushes, which give it a fine setting.	It is lined with emerald algae and mosses, and shaded with alder, willow, and thorn bushes, which give it a fine setting.	true	485.9	494.26	22.272928
3000_15664_000010_000002	Its waters, apparently unaffected by flood or drouth, heat or cold, fall at once into white rapids with a rush and dash, as if glad to escape from the darkness to begin their wild course down the canyon to the plain.	Its waters, apparently unaffected by flood or drouth, heat or cold, fall at once into white rapids with a rush and dash, as if glad to escape from the darkness to begin their wild course down the canyon to the plain.	true	494.51	509.62	23.619556
3000_15664_000011_000000	Muir's Peak, a few miles to the north of the spring, rises about three thousand feet above the plain on which it stands, and is easily climbed. The view is very fine and well repays the slight walk to its summit, from which much of your way about the mountain may be studied and chosen.	Muir's Peak, a few miles to the north of the spring, rises about three thousand feet above the plain on which it stands, and is easily climbed. The view is very fine and well repays the slight walk to its summit, from which much of your way about the mountain may be studied and chosen.	true	510.29	527.86	24.2558
3000_15664_000011_000001	The view obtained of the Whitney Glacier should tempt you to visit it, since it is the largest of the Shasta glaciers and its lower portion abounds in beautiful and interesting cascades and crevasses.	The view obtained of the Whitney Glacier should tempt you to visit it, since it is the largest of the Shasta glaciers and its lower portion abounds in beautiful and interesting cascades and crevasses.	true	528.38	540.85	23.410353
3000_15664_000011_000002	It is three or four miles long and terminates at an elevation of about nine thousand five hundred feet above sea level, in moraine-sprinkled ice cliffs sixty feet high.	It is three or four miles long and terminates at an elevation of about nine thousand five hundred feet above sea level, in moraine sprinkled ice cliffs sixty feet high.	true	541.34	555.13	22.593336
3000_15664_000011_000003	The long gray slopes leading up to the glacier seem remarkably smooth and unbroken.	The long gray slopes leading up to the glacier seem remarkably smooth and unbroken.	true	555.32	560.46	23.770327
3000_15664_000011_000004	They are much interrupted, nevertheless, with abrupt, jagged precipitous gorges, which though offering instructive sections of the lavas for examination, would better be shunned by most people.	They are much interrupted, nevertheless, with abrupt, jagged precipitous gorges, which though offering instructive sections of the lavas for examination, would better be shunned by most people.	false	560.46	573.43	23.36974
3000_15664_000011_000005	This may be done by keeping well down on the base until fronting the glacier before beginning the ascent.	This may be done by keeping well down on the base until fronting the glacier before beginning the ascent.	true	573.83	580.27	23
3000_15664_000012_000000	The gorge through which the glacier is drained is raw-looking, deep and narrow, and indescribably jagged.	The gorge through which the glacier is drained is raw looking, deep and narrow, and indescribably jagged.	true	581	588.91	23.962984
3000_15664_000012_000001	The walls in many places overhang; in others they are beveled, loose, and shifting where the channel has been eroded by cinders, ashes, strata of firm lavas, and glacial drift, telling of many a change from frost to fire and their attendant floods of mud and water.	The walls in many places overhang; in others they are beveled, loose, and shifting where the channel has been eroded by cinders, ashes, strata of firm lavas, and glacial drift, telling of many a change from frost to fire and their attendant floods of mud and water.	true	589.1	609.82	20.996664
3000_15664_000012_000002	Most of the drainage of the glacier vanishes at once in the porous rocks to reappear in springs in the distant valley, and it is only in time of flood that the channel carries much water; then there are several fine falls in the gorge, six hundred feet or more in height. Snow lies in it the year round at an elevation of eight thousand five hundred feet, and in sheltered spots a thousand feet lower.	Most of the drainage of the glacier vanishes at once in the porous rocks to reappear in springs in the distant valley, and it is only in time of flood that the channel carries much water; then there are several fine falls in the gorge, six hundred feet or more in height. Snow lies in it the year round at an elevation of eight thousand five hundred feet, and in sheltered spots a thousand feet lower.	false	610.25	635.5	21.132292
3000_15664_000012_000003	Tracing this wild changing channel-gorge, gully, or canyon, the sections will show Mount Shasta as a huge palimpsest, containing the records, layer upon layer, of strangely contrasted events in its fiery-icy history.	Tracing this wild changing channel gorge, gully, or canyon, the sections will show Mount Shasta as a huge palimpsest, containing the records, layer upon layer, of strangely contrasted events in its fiery icy history.	true	635.57	651.34	24.217958
3000_15664_000012_000004	But look well to your footing, for the way will test the skill of the most cautious mountaineers.	But look well to your footing, for the way will test the skill of the most cautious mountaineers.	true	651.74	657.49	24.570324
