3170_137482_000000_000000	CHAPTER XVII	CHAPTER seventeen	false	2.43	28.95	21.062904
3170_137482_000001_000000	I Turn Out A Worthless Fellow--My Good Fortune--I Become A Rich Nobleman	I Turn Out A Worthless Fellow-My Good Fortune-I Become A Rich Nobleman	true	28.95	35.14	20.968336
3170_137482_000002_000000	With an education which ought to have ensured me an honourable standing in the world, with some intelligence, wit, good literary and scientific knowledge, and endowed with those accidental physical qualities which are such a good passport into society, I found myself, at the age of twenty, the mean follower of a sublime art, in which, if great talent is rightly admired, mediocrity is as rightly despised.	With an education which ought to have ensured me an honourable standing in the world, with some intelligence, wit, good literary and scientific knowledge, and endowed with those accidental physical qualities which are such a good passport into society, I found myself, at the age of twenty, the mean follower of a sublime art, in which, if great talent is rightly admired, mediocrity is as rightly despised.	true	37.97	65.44	21.21981
3170_137482_000002_000001	I was compelled by poverty to become a member of a musical band, in which I could expect neither esteem nor consideration, and I was well aware that I should be the laughing-stock of the persons who had known me as a doctor in divinity, as an ecclesiastic, and as an officer in the army, and had welcomed me in the highest society.	I was compelled by poverty to become a member of a musical band, in which I could expect neither esteem nor consideration, and I was well aware that I should be the laughing stock of the persons who had known me as a doctor in divinity, as an ecclesiastic, and as an officer in the army, and had welcomed me in the highest society.	true	65.84	86.41	20.523926
3170_137482_000003_000000	I knew all that, for I was not blind to my position; but contempt, the only thing to which I could not have remained indifferent, never shewed itself anywhere under a form tangible enough for me to have no doubt of my being despised, and I set it at defiance, because I was satisfied that contempt is due only to cowardly, mean actions, and I was conscious that I had never been guilty of any.	I knew all that, for I was not blind to my position; but contempt, the only thing to which I could not have remained indifferent, never shewed itself anywhere under a form tangible enough for me to have no doubt of my being despised, and I set it at defiance, because I was satisfied that contempt is due only to cowardly, mean actions, and I was conscious that I had never been guilty of any.	false	87.8	112.27	21.356932
3170_137482_000003_000001	As to public esteem, which I had ever been anxious to secure, my ambition was slumbering, and satisfied with being my own master I enjoyed my independence without puzzling my head about the future.	As to public esteem, which I had ever been anxious to secure, my ambition was slumbering, and satisfied with being my own master I enjoyed my independence without puzzling my head about the future.	false	112.94	125.62	20.256224
3170_137482_000003_000002	I felt that in my first profession, as I was not blessed with the vocation necessary to it, I should have succeeded only by dint of hypocrisy, and I should have been despicable in my own estimation, even if I had seen the purple mantle on my shoulders, for the greatest dignities cannot silence a man's own conscience.	I felt that in my first profession, as I was not blessed with the vocation necessary to it, I should have succeeded only by dint of hypocrisy, and I should have been despicable in my own estimation, even if I had seen the purple mantle on my shoulders, for the greatest dignities cannot silence a man's own conscience.	true	125.99	145.21	20.77303
3170_137482_000003_000003	If, on the other hand, I had continued to seek fortune in a military career, which is surrounded by a halo of glory, but is otherwise the worst of professions for the constant self-abnegation, for the complete surrender of one's will which passive obedience demands, I should have required a patience to which I could not lay any claim, as every kind of injustice was revolting to me, and as I could not bear to feel myself dependent. Besides, I was of opinion that a man's profession, whatever it might be, ought to supply him with enough money to satisfy all his wants; and the very poor pay of an officer would never have been sufficient to cover my expenses, because my education had given me greater wants than those of officers in general.	If, on the other hand, I had continued to seek fortune in a military career, which is surrounded by a halo of glory, but is otherwise the worst of professions for the constant self abnegation, for the complete surrender of one's will which passive obedience demands, I should have required a patience to which I could not lay any claim, as every kind of injustice was revolting to me, and as I could not bear to feel myself dependent. Besides, I was of opinion that a man's profession, whatever it might be, ought to supply him with enough money to satisfy all his wants; and the very poor pay of an officer would never have been sufficient to cover my expenses, because my education had given me greater wants than those of officers in general.	false	145.7	192.07	21.39179
3170_137482_000003_000004	By scraping my violin I earned enough to keep myself without requiring anybody's assistance, and I have always thought that the man who can support himself is happy.	By scraping my violin I earned enough to keep myself without requiring anybody's assistance, and I have always thought that the man who can support himself is happy.	true	192.53	201.82	21.704851
3170_137482_000003_000005	I grant that my profession was not a brilliant one, but I did not mind it, and, calling prejudices all the feelings which rose in my breast against myself, I was not long in sharing all the habits of my degraded comrades.	I grant that my profession was not a brilliant one, but I did not mind it, and, calling prejudices all the feelings which rose in my breast against myself, I was not long in sharing all the habits of my degraded comrades.	true	202.28	215.83	21.160162
3170_137482_000003_000006	When the play was over, I went with them to the drinking-booth, which we often left intoxicated to spend the night in houses of ill-fame.	When the play was over, I went with them to the drinking booth, which we often left intoxicated to spend the night in houses of ill fame.	true	216.38	224.62	21.42093
