3170_137482_000001_000000	I Turn Out A Worthless Fellow--My Good Fortune--I Become A Rich Nobleman	I Turn Out A Worthless Fellow-My Good Fortune-I Become A Rich Nobleman
3170_137482_000002_000000	With an education which ought to have ensured me an honourable standing in the world, with some intelligence, wit, good literary and scientific knowledge, and endowed with those accidental physical qualities which are such a good passport into society, I found myself, at the age of twenty, the mean follower of a sublime art, in which, if great talent is rightly admired, mediocrity is as rightly despised.	With an education which ought to have ensured me an honourable standing in the world, with some intelligence, wit, good literary and scientific knowledge, and endowed with those accidental physical qualities which are such a good passport into society, I found myself, at the age of twenty, the mean follower of a sublime art, in which, if great talent is rightly admired, mediocrity is as rightly despised.
3170_137482_000002_000001	I was compelled by poverty to become a member of a musical band, in which I could expect neither esteem nor consideration, and I was well aware that I should be the laughing-stock of the persons who had known me as a doctor in divinity, as an ecclesiastic, and as an officer in the army, and had welcomed me in the highest society.	I was compelled by poverty to become a member of a musical band, in which I could expect neither esteem nor consideration, and I was well aware that I should be the laughing stock of the persons who had known me as a doctor in divinity, as an ecclesiastic, and as an officer in the army, and had welcomed me in the highest society.
3170_137482_000003_000002	I felt that in my first profession, as I was not blessed with the vocation necessary to it, I should have succeeded only by dint of hypocrisy, and I should have been despicable in my own estimation, even if I had seen the purple mantle on my shoulders, for the greatest dignities cannot silence a man's own conscience.	I felt that in my first profession, as I was not blessed with the vocation necessary to it, I should have succeeded only by dint of hypocrisy, and I should have been despicable in my own estimation, even if I had seen the purple mantle on my shoulders, for the greatest dignities cannot silence a man's own conscience.
3170_137482_000003_000004	By scraping my violin I earned enough to keep myself without requiring anybody's assistance, and I have always thought that the man who can support himself is happy.	By scraping my violin I earned enough to keep myself without requiring anybody's assistance, and I have always thought that the man who can support himself is happy.
3170_137482_000003_000005	I grant that my profession was not a brilliant one, but I did not mind it, and, calling prejudices all the feelings which rose in my breast against myself, I was not long in sharing all the habits of my degraded comrades.	I grant that my profession was not a brilliant one, but I did not mind it, and, calling prejudices all the feelings which rose in my breast against myself, I was not long in sharing all the habits of my degraded comrades.
3170_137482_000003_000006	When the play was over, I went with them to the drinking-booth, which we often left intoxicated to spend the night in houses of ill-fame.	When the play was over, I went with them to the drinking booth, which we often left intoxicated to spend the night in houses of ill fame.
3170_137482_000003_000008	Our scandalous proceedings often exposed us to the greatest danger.	Our scandalous proceedings often exposed us to the greatest danger.
3170_137482_000004_000000	We would very often spend the whole night rambling about the city, inventing and carrying into execution the most impertinent, practical jokes.	We would very often spend the whole night rambling about the city, inventing and carrying into execution the most impertinent, practical jokes.
3170_137482_000004_000003	We did the same with physicians, whom we often sent half dressed to some nobleman who was enjoying excellent health.	We did the same with physicians, whom we often sent half dressed to some nobleman who was enjoying excellent health.
3170_137482_000007_000000	Whenever we could contrive to get into a church tower we thought it great fun to frighten all the parish by ringing the alarm bell, as if some fire had broken out; but that was not all, we always cut the bell ropes, so that in the morning the churchwardens had no means of summoning the faithful to early mass.	Whenever we could contrive to get into a church tower we thought it great fun to frighten all the parish by ringing the alarm bell, as if some fire had broken out; but that was not all, we always cut the bell ropes, so that in the morning the churchwardens had no means of summoning the faithful to early mass.
3170_137482_000008_000000	The city was alive with complaints, and we laughed at the useless search made by the police to find out those who disturbed the peace of the inhabitants.	The city was alive with complaints, and we laughed at the useless search made by the police to find out those who disturbed the peace of the inhabitants.
3170_137482_000008_000001	We took good care to be careful, for if we had been discovered we stood a very fair chance of being sent to practice rowing at the expense of the Council of Ten.	We took good care to be careful, for if we had been discovered we stood a very fair chance of being sent to practice rowing at the expense of the Council of Ten.
3170_137482_000010_000000	In every one of the seventy-two parishes of the city of Venice, there is a large public-house called 'magazzino'.	In every one of the seventy two parishes of the city of Venice, there is a large public house called 'magazzino'.
3170_137482_000010_000002	People can likewise eat in the 'magazzino', but they must obtain what they want from the pork butcher near by, who has the exclusive sale of eatables, and likewise keeps his shop open throughout the night.	People can likewise eat in the 'magazzino', but they must obtain what they want from the pork butcher near by, who has the exclusive sale of eatables, and likewise keeps his shop open throughout the night.
3170_137482_000010_000004	The nobility, the merchants, even workmen in good circumstances, are never seen in the 'magazzino', for cleanliness is not exactly worshipped in such places.	The nobility, the merchants, even workmen in good circumstances, are never seen in the 'magazzino', for cleanliness is not exactly worshipped in such places.
3170_137482_000010_000005	Yet there are a few private rooms which contain a table surrounded with benches, in which a respectable family or a few friends can enjoy themselves in a decent way.	Yet there are a few private rooms which contain a table surrounded with benches, in which a respectable family or a few friends can enjoy themselves in a decent way.
3170_137482_000011_000000	It was during the Carnival of 1745, after midnight; we were, all the eight of us, rambling about together with our masks on, in quest of some new sort of mischief to amuse us, and we went into the magazzino of the parish of the Holy Cross to get something to drink.	It was during the Carnival of seventeen forty five, after midnight; we were, all the eight of us, rambling about together with our masks on, in quest of some new sort of mischief to amuse us, and we went into the magazzino of the parish of the Holy Cross to get something to drink.
3170_137482_000012_000000	Our chief, a noble Venetian belonging to the Balbi family, said to us, "It would be a good joke to carry off those three blockheads, and to keep the pretty woman in our possession." He immediately explained his plan, and under cover of our masks we entered their room, Balbi at the head of us.	Our chief, a noble Venetian belonging to the Balbi family, said to us, "It would be a good joke to carry off those three blockheads, and to keep the pretty woman in our possession." He immediately explained his plan, and under cover of our masks we entered their room, Balbi at the head of us.
3170_137482_000013_000000	The waiter of the magazzino came to be paid, and our chief gave him what was due, enjoining silence under penalty of death.	The waiter of the magazzino came to be paid, and our chief gave him what was due, enjoining silence under penalty of death.
3170_137482_000013_000001	We took our three prisoners to a large boat.	We took our three prisoners to a large boat.
3170_137482_000013_000003	Not one of us knew where Balbi wanted to take the three poor devils.	Not one of us knew where Balbi wanted to take the three poor devils.
3170_137482_000014_000000	He sails all along the canal, gets out of it, takes several turnings, and in a quarter of an hour, we reach Saint George where Balbi lands our prisoners, who are delighted to find themselves at liberty.	He sails all along the canal, gets out of it, takes several turnings, and in a quarter of an hour, we reach Saint George where Balbi lands our prisoners, who are delighted to find themselves at liberty.
3170_137482_000014_000001	After this, the boatman is ordered to take us to Saint Genevieve, where we land, after paying for the boat.	After this, the boatman is ordered to take us to Saint Genevieve, where we land, after paying for the boat.
3170_137482_000016_000000	"Do not weep, my beauty," says Balbi to her, "we will not hurt you.	"Do not weep, my beauty," says Balbi to her, "we will not hurt you.
3170_137482_000016_000001	We intend only to take some refreshment at the Rialto, and then we will take you home in safety."	We intend only to take some refreshment at the Rialto, and then we will take you home in safety."
3170_137482_000017_000000	"Where is my husband?"	"Where is my husband?"
