3536_23268_000000_000000	CHAPTER VII.	CHAPTER seven.	false	1.59	23.16	18.810715
3536_23268_000001_000000	Sir Edward, not wholly discouraged by the denial with which Dorriforth had, with delicacy, acquainted him, still hoped for a kind reception, and was so often at the house of Mrs. Horton, that Lord Frederick's jealousy was excited, and the tortures he suffered in consequence, convinced him, beyond a doubt, of the sincerity of his affection.	Sir Edward, not wholly discouraged by the denial with which Dorriforth had, with delicacy, acquainted him, still hoped for a kind reception, and was so often at the house of mrs Horton, that Lord Frederick's jealousy was excited, and the tortures he suffered in consequence, convinced him, beyond a doubt, of the sincerity of his affection.	true	23.16	42.46	17
3536_23268_000001_000001	Every time he beheld the object of his passion, (for he still continued his visits, though not so frequently as heretofore) he pleaded his cause with such ardour, that Miss Woodley, who was sometimes present, and ever compassionate, could not resist wishing him success.	Every time he beheld the object of his passion, (for he still continued his visits, though not so frequently as heretofore) he pleaded his cause with such ardour, that Miss Woodley, who was sometimes present, and ever compassionate, could not resist wishing him success.	false	42.83	58.42	19
3536_23268_000001_000002	He now unequivocally offered marriage, and entreated that he might lay his proposals before Mr. Dorriforth, but this was positively forbidden.	He now unequivocally offered marriage, and entreated that he might lay his proposals before mr Dorriforth, but this was positively forbidden.	true	58.73	67.06	19
3536_23268_000002_000000	Her reluctance he imputed, however, more to the known partiality of her guardian for the addresses of Sir Edward, than to any motive which depended upon herself; and to Mr. Dorriforth he conceived a greater dislike than ever; believing that through his interposition, in spite of his ward's attachment, he might yet be deprived of her.	Her reluctance he imputed, however, more to the known partiality of her guardian for the addresses of Sir Edward, than to any motive which depended upon herself; and to mr Dorriforth he conceived a greater dislike than ever; believing that through his interposition, in spite of his ward's attachment, he might yet be deprived of her.	false	67.79	86.32	19
3536_23268_000002_000001	But Miss Milner declared both to him and to her friend, that love had, at present, gained no influence over her mind.	But Miss Milner declared both to him and to her friend, that love had, at present, gained no influence over her mind.	true	86.66	93.55	16
3536_23268_000002_000002	Yet did the watchful Miss Woodley oftentimes hear a sigh escape from her unknown to herself, till she was reminded of it, and then a sudden blush would instantly overspread her face.	Yet did the watchful Miss Woodley oftentimes hear a sigh escape from her unknown to herself, till she was reminded of it, and then a sudden blush would instantly overspread her face.	true	93.98	104.05	16
3536_23268_000002_000003	This seeming struggle with her passion, endeared her more than ever to Miss Woodley, and she would even risk the displeasure of Dorriforth by her compliance with every new pursuit that might amuse the time, which else her friend passed in heaviness of heart.	This seeming struggle with her passion, endeared her more than ever to Miss Woodley, and she would even risk the displeasure of Dorriforth by her compliance with every new pursuit that might amuse the time, which else her friend passed in heaviness of heart.	true	104.39	118.3	16
3536_23268_000003_000000	Balls, plays, incessant company, at length roused her guardian from that mildness with which he had been accustomed to treat her.	Balls, plays, incessant company, at length roused her guardian from that mildness with which he had been accustomed to treat her.	false	118.82	126.04	17
3536_23268_000003_000001	Night after night his sleep had been disturbed by fears for her when abroad; morning after morning it had been broken by the clamour of her return.	Night after night his sleep had been disturbed by fears for her when abroad; morning after morning it had been broken by the clamour of her return.	true	126.26	133.93	15
3536_23268_000003_000002	He therefore gravely said to her one forenoon as he met her accidentally upon the staircase,	He therefore gravely said to her one forenoon as he met her accidentally upon the staircase,	true	134.36	139	13
3536_23268_000004_000000	"I hope, Miss Milner, you pass this evening at home?"	"I hope, Miss Milner, you pass this evening at home?"	true	139.34	142.03	16
3536_23268_000005_000000	Unprepared for the sudden question, she blushed and replied, "Yes."--Though she knew she was engaged to a brilliant assembly, for which her milliner had been consulted a whole week.	Unprepared for the sudden question, she blushed and replied, "Yes."--Though she knew she was engaged to a brilliant assembly, for which her milliner had been consulted a whole week.	true	142.67	151.99	17.281336
3536_23268_000006_000000	She, however, flattered herself that what she had said might be excused as a mistake, the lapse of memory, or some other trifling fault, when he should know the truth.	She, however, flattered herself that what she had said might be excused as a mistake, the lapse of memory, or some other trifling fault, when he should know the truth.	true	152.48	161.05	20.910622
3536_23268_000006_000001	The truth was earlier divulged than she expected--for just as dinner was removed, her footman delivered a message to her from her milliner concerning a new dress for the evening--the _present evening_ particularly marked.	The truth was earlier divulged than she expected-for just as dinner was removed, her footman delivered a message to her from her milliner concerning a new dress for the evening-the underscore present evening underscore particularly marked.	false	161.18	172.87	16
3536_23268_000006_000002	Her guardian looked astonished.	Her guardian looked astonished.	true	172.94	174.79	22.585629
3536_23268_000007_000000	"I thought, Miss Milner, you gave me your word that you would pass this evening at home?"	"I thought, Miss Milner, you gave me your word that you would pass this evening at home?"	true	175.4	179.77	19.567114
3536_23268_000008_000000	"I mistook--for I had before given my word that I should pass it abroad."	"I mistook-for I had before given my word that I should pass it abroad."	true	180.35	184.54	21.112572
3536_23268_000009_000000	"Indeed!" cried he.	"Indeed!" cried he.	true	184.73	186.34	17.889563
3536_23268_000010_000000	"Yes, indeed; and I believe it is right that I should keep my first promise; is it not?"	"Yes, indeed; and I believe it is right that I should keep my first promise; is it not?"	true	186.74	191.47	17
3536_23268_000011_000000	"The promise you gave me then, you do not think of any consequence?"	"The promise you gave me then, you do not think of any consequence?"	true	192.41	195.73	17.610641
3536_23268_000012_000000	"Yes, certainly, if you do."	"Yes, certainly, if you do."	true	196.07	198.22	19
3536_23268_000013_000000	"I do."	"I do."	true	198.56	199.48	22.984512
