3536_8226_000000_000000	"Not changed in the least, mother; but the sun has opened the bud, and now we see the fruit."	"Not changed in the least, mother; but the sun has opened the bud, and now we see the fruit."	false	4.08	9.15	20
3536_8226_000001_000000	CHAPTER LIX.	CHAPTER fifty nine.	true	9.15	10.56	15
3536_8226_000002_000000	MR.	mr	true	10.56	11.07	20
3536_8226_000002_000001	BOZZLE AT HOME.	b o z z l e AT HOME.	false	11.07	12.39	21.398792
3536_8226_000003_000000	[Illustration]	[Illustration]	false	12.39	13.92	-20
3536_8226_000004_000000	It had now come to pass that Trevelyan had not a friend in the world to whom he could apply in the matter of his wife and family.	It had now come to pass that Trevelyan had not a friend in the world to whom he could apply in the matter of his wife and family.	true	13.92	20.89	17
3536_8226_000004_000001	In the last communication which he had received from Lady Milborough she had scolded him, in terms that were for her severe, because he had not returned to his wife and taken her off with him to Naples.	In the last communication which he had received from Lady Milborough she had scolded him, in terms that were for her severe, because he had not returned to his wife and taken her off with him to Naples.	true	21.26	31.87	17
3536_8226_000004_000002	Mr. Bideawhile had found himself obliged to decline to move in the matter at all.	mr Bideawhile had found himself obliged to decline to move in the matter at all.	false	32.09	36.61	18.941532
3536_8226_000004_000003	With Hugh Stanbury, Trevelyan had had a direct quarrel.	With Hugh Stanbury, Trevelyan had had a direct quarrel.	true	36.83	40.42	20.333698
3536_8226_000004_000004	Mr. and Mrs. Outhouse he regarded as bitter enemies, who had taken the part of his wife without any regard to the decencies of life.	mr and mrs Outhouse he regarded as bitter enemies, who had taken the part of his wife without any regard to the decencies of life.	true	40.61	47.86	19
3536_8226_000004_000005	And now it had come to pass that his sole remaining ally, Mr. Samuel Bozzle, the ex-policeman, was becoming weary of his service.	And now it had come to pass that his sole remaining ally, mr Samuel Bozzle, the ex policeman, was becoming weary of his service.	true	48.02	56.35	19
3536_8226_000004_000006	Trevelyan remained in the north of Italy up to the middle of March, spending a fortune in sending telegrams to Bozzle, instigating Bozzle by all the means in his power to obtain possession of the child, desiring him at one time to pounce down upon the parsonage of St. Diddulph's with a battalion of policemen armed to the teeth with the law's authority, and at another time suggesting to him to find his way by stratagem into Mr. Outhouse's castle and carry off the child in his arms.	Trevelyan remained in the north of Italy up to the middle of March, spending a fortune in sending telegrams to Bozzle, instigating Bozzle by all the means in his power to obtain possession of the child, desiring him at one time to pounce down upon the parsonage of st Diddulph's with a battalion of policemen armed to the teeth with the law's authority, and at another time suggesting to him to find his way by stratagem into mr Outhouse's castle and carry off the child in his arms.	false	57.74	85.45	19
3536_8226_000004_000007	At last he sent word to say that he himself would be in England before the end of March, and would see that the majesty of the law should be vindicated in his favour.	At last he sent word to say that he himself would be in England before the end of March, and would see that the majesty of the law should be vindicated in his favour.	true	85.7	94.78	17
