3576_138058_000000_000000	They asked him whither he meant to direct his steps.	They asked him whither he meant to direct his steps.	false	0	0.36	9
3576_138058_000000_000001	He replied, to Saragossa, to take part in the harness jousts which were held in that city every year.	He replied, to Saragossa, to take part in the harness jousts which were held in that city every year.	false	0.36	1.05	15.374742
3576_138058_000000_000002	Don Juan told him that the new history described how Don Quixote, let him be who he might, took part there in a tilting at the ring, utterly devoid of invention, poor in mottoes, very poor in costume, though rich in sillinesses.	Don Juan told him that the new history described how Don Quixote, let him be who he might, took part there in a tilting at the ring, utterly devoid of invention, poor in mottoes, very poor in costume, though rich in sillinesses.	false	1.05	2.4	22.024067
3576_138058_000001_000000	"For that very reason," said Don Quixote, "I will not set foot in Saragossa; and by that means I shall expose to the world the lie of this new history writer, and people will see that I am not the Don Quixote he speaks of."	"For that very reason," said Don Quixote, "I will not set foot in Saragossa; and by that means I shall expose to the world the lie of this new history writer, and people will see that I am not the Don Quixote he speaks of."	false	2.4	6.87	19.843103
3576_138058_000002_000000	"You will do quite right," said Don Jeronimo; "and there are other jousts at Barcelona in which Senor Don Quixote may display his prowess."	"You will do quite right," said Don Jeronimo; "and there are other jousts at Barcelona in which Senor Don Quixote may display his prowess."	false	6.87	7.98	11
3576_138058_000003_000000	"That is what I mean to do," said Don Quixote; "and as it is now time, I pray your worships to give me leave to retire to bed, and to place and retain me among the number of your greatest friends and servants."	"That is what I mean to do," said Don Quixote; "and as it is now time, I pray your worships to give me leave to retire to bed, and to place and retain me among the number of your greatest friends and servants."	false	7.98	13.32	19
3576_138058_000004_000000	"And me too," said Sancho; "maybe I'll be good for something."	"And me too," said Sancho; "maybe I'll be good for something."	false	13.32	14.49	46
3576_138058_000005_000000	With this they exchanged farewells, and Don Quixote and Sancho retired to their room, leaving Don Juan and Don Jeronimo amazed to see the medley he made of his good sense and his craziness; and they felt thoroughly convinced that these, and not those their Aragonese author described, were the genuine Don Quixote and Sancho.	With this they exchanged farewells, and Don Quixote and Sancho retired to their room, leaving Don Juan and Don Jeronimo amazed to see the medley he made of his good sense and his craziness; and they felt thoroughly convinced that these, and not those their Aragonese author described, were the genuine Don Quixote and Sancho.	false	14.49	24.57	21.255716
3576_138058_000005_000001	Don Quixote rose betimes, and bade adieu to his hosts by knocking at the partition of the other room. Sancho paid the landlord magnificently, and recommended him either to say less about the providing of his inn or to keep it better provided.	Don Quixote rose betimes, and bade adieu to his hosts by knocking at the partition of the other room. Sancho paid the landlord magnificently, and recommended him either to say less about the providing of his inn or to keep it better provided.	false	24.57	33.72	20.597067
3576_138058_000006_000000	CHAPTER LX.	CHAPTER sixty.	true	33.72	34.81	14
3576_138058_000007_000000	OF WHAT HAPPENED DON QUIXOTE ON HIS WAY TO BARCELONA	OF WHAT HAPPENED DON QUIXOTE ON HIS WAY TO BARCELONA	true	35.78	39.37	15
3576_138058_000008_000000	It was a fresh morning giving promise of a cool day as Don Quixote quitted the inn, first of all taking care to ascertain the most direct road to Barcelona without touching upon Saragossa; so anxious was he to make out this new historian, who they said abused him so, to be a liar. Well, as it fell out, nothing worthy of being recorded happened him for six days, at the end of which, having turned aside out of the road, he was overtaken by night in a thicket of oak or cork trees; for on this point Cide Hamete is not as precise as he usually is on other matters.	It was a fresh morning giving promise of a cool day as Don Quixote quitted the inn, first of all taking care to ascertain the most direct road to Barcelona without touching upon Saragossa; so anxious was he to make out this new historian, who they said abused him so, to be a liar. Well, as it fell out, nothing worthy of being recorded happened him for six days, at the end of which, having turned aside out of the road, he was overtaken by night in a thicket of oak or cork trees; for on this point Cide Hamete is not as precise as he usually is on other matters.	false	40.73	81.13	14
3576_138058_000009_000000	Master and man dismounted from their beasts, and as soon as they had settled themselves at the foot of the trees, Sancho, who had had a good noontide meal that day, let himself, without more ado, pass the gates of sleep.	Master and man dismounted from their beasts, and as soon as they had settled themselves at the foot of the trees, Sancho, who had had a good noontide meal that day, let himself, without more ado, pass the gates of sleep.	true	81.89	95.65	15
3576_138058_000009_000001	But Don Quixote, whom his thoughts, far more than hunger, kept awake, could not close an eye, and roamed in fancy to and fro through all sorts of places.	But Don Quixote, whom his thoughts, far more than hunger, kept awake, could not close an eye, and roamed in fancy to and fro through all sorts of places.	false	95.9	106.18	14
3576_138058_000009_000002	At one moment it seemed to him that he was in the cave of Montesinos and saw Dulcinea, transformed into a country wench, skipping and mounting upon her she-ass; again that the words of the sage Merlin were sounding in his ears, setting forth the conditions to be observed and the exertions to be made for the disenchantment of Dulcinea. He lost all patience when he considered the laziness and want of charity of his squire Sancho; for to the best of his belief he had only given himself five lashes, a number paltry and disproportioned to the vast number required.	At one moment it seemed to him that he was in the cave of Montesinos and saw Dulcinea, transformed into a country wench, skipping and mounting upon her she ass; again that the words of the sage Merlin were sounding in his ears, setting forth the conditions to be observed and the exertions to be made for the disenchantment of Dulcinea. He lost all patience when he considered the laziness and want of charity of his squire Sancho; for to the best of his belief he had only given himself five lashes, a number paltry and disproportioned to the vast number required.	true	106.7	144.73	16
3576_138058_000009_000003	At this thought he felt such vexation and anger that he reasoned the matter thus: "If Alexander the Great cut the Gordian knot, saying, 'To cut comes to the same thing as to untie,' and yet did not fail to become lord paramount of all Asia, neither more nor less could happen now in Dulcinea's disenchantment if I scourge Sancho against his will; for, if it is the condition of the remedy that Sancho shall receive three thousand and odd lashes, what does it matter to me whether he inflicts them himself, or some one else inflicts them, when the essential point is that he receives them, let them come from whatever quarter they may?"	At this thought he felt such vexation and anger that he reasoned the matter thus: "If Alexander the Great cut the Gordian knot, saying, 'To cut comes to the same thing as to untie,' and yet did not fail to become lord paramount of all Asia, neither more nor less could happen now in Dulcinea's disenchantment if I scourge Sancho against his will; for, if it is the condition of the remedy that Sancho shall receive three thousand and odd lashes, what does it matter to me whether he inflicts them himself, or some one else inflicts them, when the essential point is that he receives them, let them come from whatever quarter they may?"	false	145.28	185.71	18
3576_138058_000010_000000	With this idea he went over to Sancho, having first taken Rocinante's reins and arranged them so as to be able to flog him with them, and began to untie the points (the common belief is he had but one in front) by which his breeches were held up; but the instant he approached him Sancho woke up in his full senses and cried out, "What is this?	With this idea he went over to Sancho, having first taken Rocinante's reins and arranged them so as to be able to flog him with them, and began to untie the points (the common belief is he had but one in front) by which his breeches were held up; but the instant he approached him Sancho woke up in his full senses and cried out, "What is this?	false	186.98	208.6	20
3576_138058_000010_000001	Who is touching me and untrussing me?"	Who is touching me and untrussing me?"	true	208.64	210.82	22
3576_138058_000011_000000	"It is I," said Don Quixote, "and I come to make good thy shortcomings and relieve my own distresses; I come to whip thee, Sancho, and wipe off some portion of the debt thou hast undertaken.	"It is I," said Don Quixote, "and I come to make good thy shortcomings and relieve my own distresses; I come to whip thee, Sancho, and wipe off some portion of the debt thou hast undertaken.	false	211.88	223.72	21
