3576_138058_000010_000001	Who is touching me and untrussing me?"	Who is touching me and untrussing me?"
3576_138058_000013_000000	"It will not do to leave it to thy courtesy, Sancho," said Don Quixote, "for thou art hard of heart and, though a clown, tender of flesh;" and at the same time he strove and struggled to untie him.	"It will not do to leave it to thy courtesy, Sancho," said Don Quixote, "for thou art hard of heart and, though a clown, tender of flesh;" and at the same time he strove and struggled to untie him.
3576_138058_000018_000001	He trembled with fear and made for another tree, where the very same thing happened to him, and he fell a-shouting, calling upon Don Quixote to come and protect him.	He trembled with fear and made for another tree, where the very same thing happened to him, and he fell a shouting, calling upon Don Quixote to come and protect him.
3576_138058_000018_000002	Don Quixote did so, and asked him what had happened to him, and what he was afraid of.	Don Quixote did so, and asked him what had happened to him, and what he was afraid of.
3576_138058_000019_000002	He saw that his squires (for so they call those who follow that trade) were about to rifle Sancho Panza, but he ordered them to desist and was at once obeyed, so the girdle escaped.	He saw that his squires (for so they call those who follow that trade) were about to rifle Sancho Panza, but he ordered them to desist and was at once obeyed, so the girdle escaped.
3576_138058_000019_000003	He wondered to see the lance leaning against the tree, the shield on the ground, and Don Quixote in armour and dejected, with the saddest and most melancholy face that sadness itself could produce; and going up to him he said, "Be not so cast down, good man, for you have not fallen into the hands of any inhuman Busiris, but into Roque Guinart's, which are more merciful than cruel."	He wondered to see the lance leaning against the tree, the shield on the ground, and Don Quixote in armour and dejected, with the saddest and most melancholy face that sadness itself could produce; and going up to him he said, "Be not so cast down, good man, for you have not fallen into the hands of any inhuman Busiris, but into Roque Guinart's, which are more merciful than cruel."
3576_138058_000024_000001	Give me my horse and arms, and wait for me here; I will go in quest of this knight, and dead or alive I will make him keep his word plighted to so great beauty."	Give me my horse and arms, and wait for me here; I will go in quest of this knight, and dead or alive I will make him keep his word plighted to so great beauty."
3576_138058_000033_000000	"What are you talking about, man?" said one of the bystanders; "I have got them, and they are not worth three reals."	"What are you talking about, man?" said one of the bystanders; "I have got them, and they are not worth three reals."
3576_138058_000037_000000	Upon this Sancho remarked, "From what I have seen here, justice is such a good thing that there is no doing without it, even among the thieves themselves."	Upon this Sancho remarked, "From what I have seen here, justice is such a good thing that there is no doing without it, even among the thieves themselves."
3576_138058_000039_000000	At this instant one or two of those squires who were posted as sentinels on the roads, to watch who came along them and report what passed to their chief, came up and said, "Senor, there is a great troop of people not far off coming along the road to Barcelona."	At this instant one or two of those squires who were posted as sentinels on the roads, to watch who came along them and report what passed to their chief, came up and said, "Senor, there is a great troop of people not far off coming along the road to Barcelona."
3576_138058_000042_000000	"Well then, away with you all," said Roque, "and bring them here to me at once without letting one of them escape."	"Well then, away with you all," said Roque, "and bring them here to me at once without letting one of them escape."
3576_138058_000044_000001	And if you have any desire to shorten the journey and put yourself easily in the way of salvation, come with me, and I will show you how to become a knight-errant, a calling wherein so many hardships and mishaps are encountered that if they be taken as penances they will lodge you in heaven in a trice."	And if you have any desire to shorten the journey and put yourself easily in the way of salvation, come with me, and I will show you how to become a knight errant, a calling wherein so many hardships and mishaps are encountered that if they be taken as penances they will lodge you in heaven in a trice."
3576_138058_000046_000000	And now the squires despatched to make the prize came up, bringing with them two gentlemen on horseback, two pilgrims on foot, and a coach full of women with some six servants on foot and on horseback in attendance on them, and a couple of muleteers whom the gentlemen had with them.	And now the squires despatched to make the prize came up, bringing with them two gentlemen on horseback, two pilgrims on foot, and a coach full of women with some six servants on foot and on horseback in attendance on them, and a couple of muleteers whom the gentlemen had with them.
3576_138058_000048_000000	"So then," said Roque Guinart, "we have got here nine hundred crowns and sixty reals; my soldiers must number some sixty; see how much there falls to each, for I am a bad arithmetician." As soon as the robbers heard this they raised a shout of "Long life to Roque Guinart, in spite of the lladres that seek his ruin!"	"So then," said Roque Guinart, "we have got here nine hundred crowns and sixty reals; my soldiers must number some sixty; see how much there falls to each, for I am a bad arithmetician." As soon as the robbers heard this they raised a shout of "Long life to Roque Guinart, in spite of the lladres that seek his ruin!"
3576_138058_000051_000000	One of the squires observed in his mixture of Gascon and Catalan, "This captain of ours would make a better friar than highwayman; if he wants to be so generous another time, let it be with his own property and not ours."	One of the squires observed in his mixture of Gascon and Catalan, "This captain of ours would make a better friar than highwayman; if he wants to be so generous another time, let it be with his own property and not ours."
