3752_4944_000002_000000	CHAPTER XIV.	CHAPTER fourteen.
3752_4944_000002_000001	Mr. NORTH'S DISPOSITION.	mr NORTH'S DISPOSITION.
3752_4944_000003_000001	"It has made me heartsick."	"It has made me heartsick."
3752_4944_000004_000000	"I thought it was a little paradise," said Meekin.	"I thought it was a little paradise," said Meekin.
3752_4944_000004_000001	"Captain Frere says that the scenery is delightful." "So it is," returned North, looking askance, "but the prisoners are not delightful."	"Captain Frere says that the scenery is delightful." "So it is," returned North, looking askance, "but the prisoners are not delightful."
3752_4944_000005_000001	How sweet the moonlight sleeps upon that bank!	How sweet the moonlight sleeps upon that bank!
3752_4944_000006_000000	"Abandoned, indeed, by God and man--almost."	"Abandoned, indeed, by God and man-almost."
3752_4944_000007_000002	His staff, you know, Mr. North.	His staff, you know, mr North.
3752_4944_000008_000000	Mr. North sighed again.	mr North sighed again.
3752_4944_000008_000001	"You have not been long in the colony, Mr. Meekin.	"You have not been long in the colony, mr Meekin.
3752_4944_000008_000002	I doubt--forgive me for expressing myself so freely--if you quite know of our convict system."	I doubt-forgive me for expressing myself so freely-if you quite know of our convict system."
3752_4944_000009_000000	"An admirable one!	"An admirable one!
3752_4944_000009_000002	"There were a few matters I noticed in Hobart Town that did not quite please me--the frequent use of profane language for instance--but on the whole I was delighted with the scheme.	"There were a few matters I noticed in Hobart Town that did not quite please me-the frequent use of profane language for instance-but on the whole I was delighted with the scheme.
3752_4944_000009_000003	It is so complete."	It is so complete."
3752_4944_000010_000000	North pursed up his lips.	North pursed up his lips.
3752_4944_000010_000001	"Yes, it is very complete," he said; "almost too complete.	"Yes, it is very complete," he said; "almost too complete.
3752_4944_000011_000000	"If you please," said Meekin gravely.	"If you please," said Meekin gravely.
3752_4944_000011_000002	The dinner went off successfully.	The dinner went off successfully.
3752_4944_000011_000003	Burgess--desirous, perhaps, of favourably impressing the chaplain whom the Bishop delighted to honour--shut off his blasphemy for a while, and was urbane enough.	Burgess-desirous, perhaps, of favourably impressing the chaplain whom the Bishop delighted to honour-shut off his blasphemy for a while, and was urbane enough.
3752_4944_000011_000004	"You'll find us rough, Mr. Meekin," he said, "but you'll find us 'all there' when we're wanted. This is a little kingdom in itself."	"You'll find us rough, mr Meekin," he said, "but you'll find us 'all there' when we're wanted. This is a little kingdom in itself."
3752_4944_000013_000000	"Or like Sancho Panza's island," said North.	"Or like Sancho Panza's island," said North.
3752_4944_000014_000000	"Not at this moment, sir," said Burgess, with dignity.	"Not at this moment, sir," said Burgess, with dignity.
3752_4944_000014_000002	"Pray help yourself to wine."	"Pray help yourself to wine."
3752_4944_000015_000000	"Thank you, none," said North, filling a tumbler with water.	"Thank you, none," said North, filling a tumbler with water.
3752_4944_000015_000001	"I have a headache." His manner of speech and action was so awkward that a silence fell upon the party, caused by each one wondering why Mr. North should grow confused, and drum his fingers on the table, and stare everywhere but at the decanter.	"I have a headache." His manner of speech and action was so awkward that a silence fell upon the party, caused by each one wondering why mr North should grow confused, and drum his fingers on the table, and stare everywhere but at the decanter.
3752_4944_000015_000002	Meekin--ever softly at his ease--was the first to speak.	Meekin-ever softly at his ease-was the first to speak.
3752_4944_000016_000000	"Very few.	"Very few.
3752_4944_000016_000001	Sometimes a party comes over with a recommendation from the Governor, and I show them over the place; but, as a rule, we see no one but ourselves."	Sometimes a party comes over with a recommendation from the Governor, and I show them over the place; but, as a rule, we see no one but ourselves."
3752_4944_000019_000000	"Do you know Captain Frere?"	"Do you know Captain Frere?"
3752_4944_000020_000000	"Frere!	"Frere!
3752_4944_000020_000001	I should say so!" returned Burgess, with a laugh, modelled upon Maurice Frere's own.	I should say so!" returned Burgess, with a laugh, modelled upon Maurice Frere's own.
3752_4944_000020_000002	"I was quartered with him at Sarah Island.	"I was quartered with him at Sarah Island.
3752_4944_000021_000001	He is just married, you know."	He is just married, you know."
3752_4944_000022_000001	"The devil he is!	"The devil he is!
3752_4944_000022_000002	I heard something about it, too."	I heard something about it, too."
3752_4944_000023_000000	"Miss Vickers, a charming young person.	"Miss Vickers, a charming young person.
3752_4944_000023_000001	They are going to Sydney, where Captain Frere has some interest, and Frere thinks of taking Port Arthur on his way down."	They are going to Sydney, where Captain Frere has some interest, and Frere thinks of taking Port Arthur on his way down."
3752_4944_000025_000000	"Captain Frere takes a deep interest in all relating to convict discipline," went on Meekin, unheeding the interruption, "and is anxious that Mrs. Frere should see this place."	"Captain Frere takes a deep interest in all relating to convict discipline," went on Meekin, unheeding the interruption, "and is anxious that mrs Frere should see this place."
3752_4944_000027_000000	"So Captain Frere thinks.	"So Captain Frere thinks.
3752_4944_000027_000001	A romantic story, Captain Burgess.	A romantic story, Captain Burgess.
3752_4944_000027_000002	He saved her life, you know."	He saved her life, you know."
3752_4944_000028_000001	"We've got the fellows here, you know."	"We've got the fellows here, you know."
3752_4944_000029_000000	"I saw them tried at Hobart Town," said Meekin.	"I saw them tried at Hobart Town," said Meekin.
3752_4944_000030_000000	"A great rascal," put in North.	"A great rascal," put in North.
3752_4944_000031_000000	"Well now!" said Meekin, with asperity, "I don't agree with you. Everybody seems to be against that poor fellow--Captain Frere tried to make me think that his letters contained a hidden meaning, but I don't believe they did.	"Well now!" said Meekin, with asperity, "I don't agree with you. Everybody seems to be against that poor fellow-Captain Frere tried to make me think that his letters contained a hidden meaning, but I don't believe they did.
3752_4944_000031_000001	He seems to me to be truly penitent for his offences--a misguided, but not a hypocritical man, if my knowledge of human nature goes for anything."	He seems to me to be truly penitent for his offences-a misguided, but not a hypocritical man, if my knowledge of human nature goes for anything."
3752_4944_000032_000000	"I hope he is," said North.	"I hope he is," said North.
3752_4944_000032_000001	"I wouldn't trust him."	"I wouldn't trust him."
3752_4944_000033_000000	"Oh! there's no fear of him," said Burgess cheerily; "if he grows uproarious, we'll soon give him a touch of the cat."	"Oh! there's no fear of him," said Burgess cheerily; "if he grows uproarious, we'll soon give him a touch of the cat."
3752_4944_000034_000000	"I suppose severity is necessary," returned Meekin; "though to my ears a flogging sounds a little distasteful.	"I suppose severity is necessary," returned Meekin; "though to my ears a flogging sounds a little distasteful.
3752_4944_000034_000001	It is a brutal punishment."	It is a brutal punishment."
3752_4944_000035_000000	"It's a punishment for brutes," said Burgess, and laughed, pleased with the nearest approach to an epigram he ever made in his life.	"It's a punishment for brutes," said Burgess, and laughed, pleased with the nearest approach to an epigram he ever made in his life.
3752_4944_000036_000000	Here attention was called by the strange behaviour of Mr. North.	Here attention was called by the strange behaviour of mr North.
3752_4944_000036_000002	"Hullo, North! what's the matter?"	"Hullo, North! what's the matter?"
3752_4944_000037_000000	"Nothing," said North, recovering himself with an effort.	"Nothing," said North, recovering himself with an effort.
3752_4944_000037_000001	"A spasm.	"A spasm.
3752_4944_000038_000000	"No, no, it will pass.	"No, no, it will pass.
3752_4944_000038_000001	No, I say.	No, I say.
3752_4944_000039_000000	The Reverend Meekin eyed his clerical brother with horror.	The Reverend Meekin eyed his clerical brother with horror.
3752_4944_000039_000001	The Reverend Meekin was not accustomed to clergymen who wore black neckties, smoked clay pipes, chewed tobacco, and drank neat brandy out of tumblers.	The Reverend Meekin was not accustomed to clergymen who wore black neckties, smoked clay pipes, chewed tobacco, and drank neat brandy out of tumblers.
3752_4944_000040_000000	"Ha!" said North, looking wildly round upon them.	"Ha!" said North, looking wildly round upon them.
3752_4944_000040_000001	"That's better."	"That's better."
3752_4944_000042_000000	So they went on to the verandah, and looked down upon the lights of the prison, and listened to the sea lapping the shore.	So they went on to the verandah, and looked down upon the lights of the prison, and listened to the sea lapping the shore.
