3853_163249_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	19.05	20.295	12
3853_163249_000001_000000	MUSTERED IN.	MUSTERED IN.	true	20.295	21.31	14
3853_163249_000002_000000	CHRISTIE'S return was a very happy one, and could not well be otherwise with a mother, sister, and lover to welcome her back.	CHRISTIE'S return was a very happy one, and could not well be otherwise with a mother, sister, and lover to welcome her back.	true	22.34	29.29	13
3853_163249_000002_000001	Her meeting with Letty was indescribably tender, and the days that followed were pretty equally divided between her and her brother, in nursing the one and loving the other.	Her meeting with Letty was indescribably tender, and the days that followed were pretty equally divided between her and her brother, in nursing the one and loving the other.	true	29.48	38.77	12
3853_163249_000002_000002	There was no cloud now in Christie's sky, and all the world seemed in bloom.	There was no cloud now in Christie's sky, and all the world seemed in bloom.	true	38.93	43.42	15
3853_163249_000002_000003	But even while she enjoyed every hour of life, and begrudged the time given to sleep, she felt as if the dream was too beautiful to last, and often said:	But even while she enjoyed every hour of life, and begrudged the time given to sleep, she felt as if the dream was too beautiful to last, and often said:	true	43.55	52.06	13
3853_163249_000003_000000	"Something will happen: such perfect happiness is not possible in this world."	"Something will happen: such perfect happiness is not possible in this world."	true	52.25	56.74	16
3853_163249_000004_000000	"Then let us make the most of it," David would reply, wisely bent on getting his honey while he could, and not borrowing trouble for the morrow.	"Then let us make the most of it," David would reply, wisely bent on getting his honey while he could, and not borrowing trouble for the morrow.	true	56.84	64	14
3853_163249_000005_000000	So Christie turned a deaf ear to her "prophetic soul," and gave herself up to the blissful holiday that had come at last.	So Christie turned a deaf ear to her "prophetic soul," and gave herself up to the blissful holiday that had come at last.	true	64.64	71.8	14
3853_163249_000005_000001	Even while March winds were howling outside, she blissfully "poked in the dirt" with David in the green-house, put up the curly lock as often as she liked, and told him she loved him a dozen times a day, not in words, but in silent ways, that touched him to the heart, and made his future look so bright he hardly dared believe in it.	Even while March winds were howling outside, she blissfully "poked in the dirt" with David in the green house, put up the curly lock as often as she liked, and told him she loved him a dozen times a day, not in words, but in silent ways, that touched him to the heart, and made his future look so bright he hardly dared believe in it.	true	71.96	89.68	13
3853_163249_000006_000000	A happier man it would have been difficult to find just then; all his burdens seemed to have fallen off, and his spirits rose again with an elasticity which surprised even those who knew him best. Christie often stopped to watch and wonder if the blithe young man who went whistling and singing about the house, often stopping to kiss somebody, to joke, or to exclaim with a beaming face like a child at a party: "Isn't every thing beautiful?" could be the sober, steady David, who used to plod to and fro with his shoulders a little bent, and the absent look in his eyes that told of thoughts above or beyond the daily task.	A happier man it would have been difficult to find just then; all his burdens seemed to have fallen off, and his spirits rose again with an elasticity which surprised even those who knew him best. Christie often stopped to watch and wonder if the blithe young man who went whistling and singing about the house, often stopping to kiss somebody, to joke, or to exclaim with a beaming face like a child at a party: "Isn't every thing beautiful?" could be the sober, steady David, who used to plod to and fro with his shoulders a little bent, and the absent look in his eyes that told of thoughts above or beyond the daily task.	true	90.29	125.2	13
3853_163249_000007_000000	It was good to see his mother rejoice over him with an exceeding great joy; it was better still to see Letty's eyes follow him with unspeakable love and gratitude in their soft depths; but it was best of all to see Christie marvel and exult over the discoveries she made: for, though she had known David for a year, she had never seen the real man till now.	It was good to see his mother rejoice over him with an exceeding great joy; it was better still to see Letty's eyes follow him with unspeakable love and gratitude in their soft depths; but it was best of all to see Christie marvel and exult over the discoveries she made: for, though she had known David for a year, she had never seen the real man till now.	true	125.66	145.3	12
3853_163249_000008_000000	"Davy, you are a humbug," she said one day when they were making up a bridal order in the greenhouse.	"Davy, you are a humbug," she said one day when they were making up a bridal order in the greenhouse.	true	147.23	152.53	13
3853_163249_000009_000000	"I told you so, but you wouldn't believe it," he answered, using long stemmed rose-buds with as prodigal a hand as if the wedding was to be his own.	"I told you so, but you wouldn't believe it," he answered, using long stemmed rose buds with as prodigal a hand as if the wedding was to be his own.	true	152.66	160.87	12
