3853_163249_000015_000002	What shall you choose, Davy?"	What shall you choose, Davy?"
3853_163249_000024_000000	"How terrible!	"How terrible!
3853_163249_000032_000000	"Yes, David," sister and sweetheart answered, bravely forgetting in the fervor of the moment what heavy consequences God might see fit to send.	"Yes, David," sister and sweetheart answered, bravely forgetting in the fervor of the moment what heavy consequences God might see fit to send.
3853_163249_000033_000000	"Good!	"Good!
3853_163249_000033_000004	He's a kind, neighborly man, and his boy will take my place about the house and protect you faithfully.	He's a kind, neighborly man, and his boy will take my place about the house and protect you faithfully.
3853_163249_000035_000000	"You mean it?"	"You mean it?"
3853_163249_000036_000000	"I mean it as honestly as you do.	"I mean it as honestly as you do.
3853_163249_000036_000002	I, too, have prepared for it, and even spoken to Mrs. Amory.	I, too, have prepared for it, and even spoken to mrs Amory.
3853_163249_000043_000002	She never had yet, and now resolved to ask nothing, but to earn her blessing by doing her share in the great work.	She never had yet, and now resolved to ask nothing, but to earn her blessing by doing her share in the great work.
3853_163249_000044_000000	"I shall remember that," was all David answered to that last promise of hers, and three months later he took her at her word.	"I shall remember that," was all David answered to that last promise of hers, and three months later he took her at her word.
3853_163249_000048_000000	"Come and walk a little in the lane."	"Come and walk a little in the lane."
3853_163249_000049_000000	She put her arm in his, and answered quickly:	She put her arm in his, and answered quickly:
3853_163249_000050_000000	"You've something to tell me: I see it in your face."	"You've something to tell me: I see it in your face."
3853_163249_000051_000000	"Dear, I must go."	"Dear, I must go."
3853_163249_000052_000000	"Yes, David."	"Yes, David."
3853_163249_000054_000000	"I go too."	"I go too."
3853_163249_000055_000000	"Yes, Christie."	"Yes, Christie."
3853_163249_000056_000000	That was all: she did not offer to detain him now; he did not deny her right to follow.	That was all: she did not offer to detain him now; he did not deny her right to follow.
3853_163249_000058_000000	"I've done it, mother: tell me you're not sorry."	"I've done it, mother: tell me you're not sorry."
3853_163249_000060_000000	When Mr. Power presently came in, followed by the others, they found their soldier standing very erect in his old place on the rug, with the firelight gleaming on his bright buttons, and Bran staring at him with a perplexed aspect; for the uniform, shorn hair, trimmed beard, and a certain lofty carriage of the head so changed his master that the sagacious beast was disturbed.	When mr Power presently came in, followed by the others, they found their soldier standing very erect in his old place on the rug, with the firelight gleaming on his bright buttons, and Bran staring at him with a perplexed aspect; for the uniform, shorn hair, trimmed beard, and a certain lofty carriage of the head so changed his master that the sagacious beast was disturbed.
3853_163249_000061_000000	Letty smiled at him approvingly, then went to comfort her mother who could not recover her tranquillity so soon.	Letty smiled at him approvingly, then went to comfort her mother who could not recover her tranquillity so soon.
