422_122949_000000_000000	--Is this our mode?--From German heart came this vexed ululating?	--Is this our mode?--From German heart came this vexed ululating?	false	0	4.41	23.433294
422_122949_000000_000001	From German body, this self-lacerating?	From German body, this self lacerating?	false	4.41	6.48	20
422_122949_000000_000002	Is ours this priestly hand-dilation, This incense-fuming exaltation?	Is ours this priestly hand dilation, This incense fuming exaltation?	false	6.48	9.96	16
422_122949_000000_000003	Is ours this faltering, falling, shambling, This quite uncertain ding-dong-dangling?	Is ours this faltering, falling, shambling, This quite uncertain ding dong dangling?	false	9.96	14.13	21.098091
422_122949_000000_000004	This sly nun-ogling, Ave-hour-bell ringing, This wholly false enraptured heaven-o'erspringing?--Is this our mode?--Think well!--ye still wait for admission--For what ye hear is ROME--ROME'S FAITH BY INTUITION!	This sly nun ogling, Ave hour bell ringing, This wholly false enraptured heaven o'erspringing?--Is this our mode?--Think well!--ye still wait for admission-For what ye hear is ROME-ROME'S FAITH BY INTUITION!	false	14.13	27.3	20.155102
422_122949_000001_000000	CHAPTER IX.	CHAPTER nine.	true	27.3	28.6	24.619213
422_122949_000001_000001	WHAT IS NOBLE?	WHAT IS NOBLE?	false	28.61	30.66	22.641336
422_122949_000002_000000	257.	two hundred fifty seven.	false	30.66	32.35	21
422_122949_000002_000001	EVERY elevation of the type "man," has hitherto been the work of an aristocratic society and so it will always be--a society believing in a long scale of gradations of rank and differences of worth among human beings, and requiring slavery in some form or other.	EVERY elevation of the type "man," has hitherto been the work of an aristocratic society and so it will always be-a society believing in a long scale of gradations of rank and differences of worth among human beings, and requiring slavery in some form or other.	true	33.32	53.11	17
422_122949_000002_000002	Without the PATHOS OF DISTANCE, such as grows out of the incarnated difference of classes, out of the constant out-looking and down-looking of the ruling caste on subordinates and instruments, and out of their equally constant practice of obeying and commanding, of keeping down and keeping at a distance--that other more mysterious pathos could never have arisen, the longing for an ever new widening of distance within the soul itself, the formation of ever higher, rarer, further, more extended, more comprehensive states, in short, just the elevation of the type "man," the continued "self-surmounting of man," to use a moral formula in a supermoral sense.	Without the PATHOS OF DISTANCE, such as grows out of the incarnated difference of classes, out of the constant out looking and down looking of the ruling caste on subordinates and instruments, and out of their equally constant practice of obeying and commanding, of keeping down and keeping at a distance-that other more mysterious pathos could never have arisen, the longing for an ever new widening of distance within the soul itself, the formation of ever higher, rarer, further, more extended, more comprehensive states, in short, just the elevation of the type "man," the continued "self surmounting of man," to use a moral formula in a supermoral sense.	false	53.6	97.45	17
422_122949_000002_000003	To be sure, one must not resign oneself to any humanitarian illusions about the history of the origin of an aristocratic society (that is to say, of the preliminary condition for the elevation of the type "man"): the truth is hard.	To be sure, one must not resign oneself to any humanitarian illusions about the history of the origin of an aristocratic society (that is to say, of the preliminary condition for the elevation of the type "man"): the truth is hard.	true	97.88	114.07	18
422_122949_000002_000004	Let us acknowledge unprejudicedly how every higher civilization hitherto has ORIGINATED! Men with a still natural nature, barbarians in every terrible sense of the word, men of prey, still in possession of unbroken strength of will and desire for power, threw themselves upon weaker, more moral, more peaceful races (perhaps trading or cattle-rearing communities), or upon old mellow civilizations in which the final vital force was flickering out in brilliant fireworks of wit and depravity.	Let us acknowledge unprejudicedly how every higher civilization hitherto has ORIGINATED! Men with a still natural nature, barbarians in every terrible sense of the word, men of prey, still in possession of unbroken strength of will and desire for power, threw themselves upon weaker, more moral, more peaceful races (perhaps trading or cattle rearing communities), or upon old mellow civilizations in which the final vital force was flickering out in brilliant fireworks of wit and depravity.	true	114.11	147.58	16
422_122949_000002_000005	At the commencement, the noble caste was always the barbarian caste: their superiority did not consist first of all in their physical, but in their psychical power--they were more COMPLETE men (which at every point also implies the same as "more complete beasts").	At the commencement, the noble caste was always the barbarian caste: their superiority did not consist first of all in their physical, but in their psychical power-they were more COMPLETE men (which at every point also implies the same as "more complete beasts").	true	147.74	163.98	18
422_122949_000003_000000	258.	two hundred fifty eight.	false	163.98	165.93	-20
422_122949_000003_000001	Corruption--as the indication that anarchy threatens to break out among the instincts, and that the foundation of the emotions, called "life," is convulsed--is something radically different according to the organization in which it manifests itself.	Corruption-as the indication that anarchy threatens to break out among the instincts, and that the foundation of the emotions, called "life," is convulsed-is something radically different according to the organization in which it manifests itself.	true	165.93	180.13	17
422_122949_000003_000002	When, for instance, an aristocracy like that of France at the beginning of the Revolution, flung away its privileges with sublime disgust and sacrificed itself to an excess of its moral sentiments, it was corruption:--it was really only the closing act of the corruption which had existed for centuries, by virtue of which that aristocracy had abdicated step by step its lordly prerogatives and lowered itself to a FUNCTION of royalty (in the end even to its decoration and parade-dress).	When, for instance, an aristocracy like that of France at the beginning of the Revolution, flung away its privileges with sublime disgust and sacrificed itself to an excess of its moral sentiments, it was corruption:--it was really only the closing act of the corruption which had existed for centuries, by virtue of which that aristocracy had abdicated step by step its lordly prerogatives and lowered itself to a FUNCTION of royalty (in the end even to its decoration and parade dress).	false	180.38	210.52	17
