5338_24640_000000_000000	'You are, sir, I presume, a Presbyterian clergyman?' Mr. Morton bowed.	'You are, sir, I presume, a Presbyterian clergyman?' mr Morton bowed.	false	0	1.41	20.851444
5338_24640_000000_000001	'Were I to be guided by the prepossessions of education, I might distrust your friendly professions in my case; but I have observed that similar prejudices are nourished in this country against your professional brethren of the Episcopal persuasion, and I am willing to believe them equally unfounded in both cases.'	'Were I to be guided by the prepossessions of education, I might distrust your friendly professions in my case; but I have observed that similar prejudices are nourished in this country against your professional brethren of the Episcopal persuasion, and I am willing to believe them equally unfounded in both cases.'	false	1.41	16.77	22.183964
5338_24640_000001_000000	'Evil to him that thinks otherwise,' said Mr. Morton; 'or who holds church government and ceremonies as the exclusive gage of Christian faith or moral virtue.'	'Evil to him that thinks otherwise,' said mr Morton; 'or who holds church government and ceremonies as the exclusive gage of Christian faith or moral virtue.'	false	16.77	27.42	21.441553
5338_24640_000002_000000	'But,' continued Waverley, 'I cannot perceive why I should trouble you with a detail of particulars, out of which, after revolving them as carefully as possible in my recollection, I find myself unable to explain much of what is charged against me.	'But,' continued Waverley, 'I cannot perceive why I should trouble you with a detail of particulars, out of which, after revolving them as carefully as possible in my recollection, I find myself unable to explain much of what is charged against me.	false	27.42	43.23	20.554432
5338_24640_000002_000001	I know, indeed, that I am innocent, but I hardly see how I can hope to prove myself so.'	I know, indeed, that I am innocent, but I hardly see how I can hope to prove myself so.'	false	43.23	48.63	24.538445
5338_24640_000003_000000	'It is for that very reason, Mr. Waverley,' said the clergyman, 'that I venture to solicit your confidence.	'It is for that very reason, mr Waverley,' said the clergyman, 'that I venture to solicit your confidence.	false	48.63	52.89	26.643656
5338_24640_000003_000001	My knowledge of individuals in this country is pretty general, and can upon occasion be extended.	My knowledge of individuals in this country is pretty general, and can upon occasion be extended.	false	52.89	56.58	23.06034
5338_24640_000003_000002	Your situation will, I fear, preclude your taking those active steps for recovering intelligence or tracing imposture which I would willingly undertake in your behalf; and if you are not benefited by my exertions, at least they cannot be prejudicial to you.'	Your situation will, I fear, preclude your taking those active steps for recovering intelligence or tracing imposture which I would willingly undertake in your behalf; and if you are not benefited by my exertions, at least they cannot be prejudicial to you.'	false	56.58	68.97	22.667988
5338_24640_000004_000000	Waverley, after a few minutes' reflection, was convinced that his reposing confidence in Mr. Morton, so far as he himself was concerned, could hurt neither Mr. Bradwardine nor Fergus Mac-Ivor, both of whom had openly assumed arms against the government, and that it might possibly, if the professions of his new friend corresponded in sincerity with the earnestness of his expression, be of some service to himself.	Waverley, after a few minutes' reflection, was convinced that his reposing confidence in mr Morton, so far as he himself was concerned, could hurt neither mr Bradwardine nor Fergus Mac Ivor, both of whom had openly assumed arms against the government, and that it might possibly, if the professions of his new friend corresponded in sincerity with the earnestness of his expression, be of some service to himself.	false	68.97	93.15	23.054342
5338_24640_000004_000001	He therefore ran briefly over most of the events with which the reader is already acquainted, suppressing his attachment to Flora, and indeed neither mentioning her nor Rose Bradwardine in the course of his narrative.	He therefore ran briefly over most of the events with which the reader is already acquainted, suppressing his attachment to Flora, and indeed neither mentioning her nor Rose Bradwardine in the course of his narrative.	false	93.15	105.93	23.571024
5338_24640_000005_000000	Mr. Morton seemed particularly struck with the account of Waverley's visit to Donald Bean Lean. 'I am glad,' he said, 'you did not mention this circumstance to the Major.	mr Morton seemed particularly struck with the account of Waverley's visit to Donald Bean Lean. 'I am glad,' he said, 'you did not mention this circumstance to the Major.	false	105.93	115.935	24.157127
