5338_284437_000000_000000	[Illustration]	[Illustration]	false	11.22	12	13
5338_284437_000001_000000	[Illustration]	[Illustration]	false	12	21.3	22.774511
5338_284437_000002_000000	TOURMALINE THE POVERTY QUEEN	TOURMALINE THE POVERTY QUEEN	true	21.3	23.01	25.189415
5338_284437_000003_000000	CHAPTER 14.	CHAPTER fourteen.	false	23.01	24.03	-20
5338_284437_000004_000000	The open space which they entered was paved with pink marble and around it were two rows of large pink statues, at least life-size and beautifully sculptured.	The open space which they entered was paved with pink marble and around it were two rows of large pink statues, at least life-size and beautifully sculptured.	true	24.03	33.28	23.071718
5338_284437_000004_000001	All were set upon nicely carved pink pedestals. They were, of course, statues of Pinky men and women and all had bands of pink metal around their foreheads, in the center of each band being a glistening pink jewel.	All were set upon nicely carved pink pedestals. They were, of course, statues of Pinky men and women and all had bands of pink metal around their foreheads, in the center of each band being a glistening pink jewel.	false	33.44	46.27	22.598099
5338_284437_000005_000000	About the middle of the open space inside the statues, which appeared to be the public meeting place of the Pinkies, was a small, low house, domed like all the other houses but built of a coarse pink stone instead of the fine marble to be seen everywhere else.	About the middle of the open space inside the statues, which appeared to be the public meeting place of the Pinkies, was a small, low house, domed like all the other houses but built of a coarse pink stone instead of the fine marble to be seen everywhere else.	false	46.64	62.77	21.97
5338_284437_000005_000001	It had no ornamentation, being exceedingly plain in appearance.	It had no ornamentation, being exceedingly plain in appearance.	true	63.2	67.48	26.107054
5338_284437_000005_000002	No banners floated from it; no flowers grew near it.	No banners floated from it; no flowers grew near it.	true	67.55	71.2	22.924232
5338_284437_000006_000000	"Here," said one of their guides, as the procession halted before the little stone building, "is the palace of Tourmaline, who is our Queen."	"Here," said one of their guides, as the procession halted before the little stone building, "is the palace of Tourmaline, who is our Queen."	true	71.45	80.14	22.968405
5338_284437_000007_000000	"What! that little cabin?" exclaimed Trot.	"What! that little cabin?" exclaimed Trot.	true	80.51	84.61	22.498241
5338_284437_000008_000000	"Of course.	"Of course.	true	84.62	85.6	24.810665
5338_284437_000008_000001	Did you suppose a palace would be like one of our handsome residences?" asked the woman, evidently surprised.	Did you suppose a palace would be like one of our handsome residences?" asked the woman, evidently surprised.	true	85.97	91.99	22.679047
5338_284437_000009_000000	"I thought it would be better," said the girl.	"I thought it would be better," said the girl.	true	92.15	94.125	21.956724
5338_284437_000009_000001	"All the palaces I've seen were splendid."	"All the palaces I've seen were splendid."	true	94.125	96.94	22.78219
5338_284437_000010_000000	"A splendid palace!" exclaimed one of the Pinkies, and then they looked at one another in amazement and seemed to doubt that their ears had heard aright.	"A splendid palace!" exclaimed one of the Pinkies, and then they looked at one another in amazement and seemed to doubt that their ears had heard aright.	true	97.43	105.55	23.743076
5338_284437_000011_000000	"These intruders are very peculiar people," remarked a man in the crowd.	"These intruders are very peculiar people," remarked a man in the crowd.	true	106.04	110.83	26.668575
5338_284437_000012_000000	"They seem very ignorant, poor things!" said another, in reply.	"They seem very ignorant, poor things!" said another, in reply.	true	111.23	115.54	23.371044
5338_284437_000013_000000	"Come!" commanded the woman who led the party; "you three must follow me to the presence of Tourmaline.	"Come!" commanded the woman who led the party; "you three must follow me to the presence of Tourmaline.	true	116.3	121.14	22.939865
5338_284437_000013_000001	The people must wait outside, for there is no room for them in the palace."	The people must wait outside, for there is no room for them in the palace."	true	121.14	124.45	20.934591
5338_284437_000014_000000	So they followed her through the low archway, and in a room beyond, very simply furnished, sat a young girl engaged in darning a pair of pink stockings.	So they followed her through the low archway, and in a room beyond, very simply furnished, sat a young girl engaged in darning a pair of pink stockings.	true	125.06	133.78	22.365683
5338_284437_000014_000001	She was a beautiful girl of about seventeen years of age, not fat like all the rest of the Pinkies, but slender and well formed according to our own ideas of beauty.	She was a beautiful girl of about seventeen years of age, not fat like all the rest of the Pinkies, but slender and well formed according to our own ideas of beauty.	true	134.36	144.22	21.377419
5338_284437_000014_000002	Her complexion was not a decided pink but a soft rosy tint not much deeper than that of Trot's skin. Instead of a silken gown, furbelowed like all the others they had seen women wear in this land, Tourmaline was dressed in a severely plain robe of coarse pink cloth much resembling bedticking.	Her complexion was not a decided pink but a soft rosy tint not much deeper than that of Trot's skin. Instead of a silken gown, furbelowed like all the others they had seen women wear in this land, Tourmaline was dressed in a severely plain robe of coarse pink cloth much resembling bedticking.	false	144.5	162.645	21.890486
5338_284437_000014_000003	Across her brow, however, was a band of rose gold, in the center of which was set a luminous pink jewel which gleamed more brilliantly than a diamond.	Across her brow, however, was a band of rose gold, in the center of which was set a luminous pink jewel which gleamed more brilliantly than a diamond.	false	162.645	171.21	20.99148
