5536_43358_000000_000000	CHARLES A. EASTMAN (OHIYESA)	CHARLES a EASTMAN (OHIYESA)	false	0	0.6	-20
5536_43358_000001_000000	CONTENTS	CONTENTS	false	0.6	0.75	-20
5536_43358_000002_000000	I. THE GREAT MYSTERY 1	I. THE GREAT MYSTERY one	false	0.75	1.74	17.719603
5536_43358_000003_000000	II.	two.	false	1.74	2.16	13
5536_43358_000003_000001	THE FAMILY ALTAR 25	THE FAMILY ALTAR twenty five	false	2.16	2.34	6
5536_43358_000004_000000	III. CEREMONIAL AND SYMBOLIC WORSHIP 51	three. CEREMONIAL AND SYMBOLIC WORSHIP fifty one	false	2.34	2.55	10
5536_43358_000005_000000	IV.	i v.	false	2.55	2.61	-20
5536_43358_000005_000001	BARBARISM AND THE MORAL CODE 85	BARBARISM AND THE MORAL CODE eighty five	false	2.61	4.47	19.357185
5536_43358_000006_000000	V. THE UNWRITTEN SCRIPTURES 117	V. THE UNWRITTEN SCRIPTURES one hundred seventeen	false	4.47	7.35	20.799868
5536_43358_000007_000000	VI.	VI.	false	7.35	7.77	25
5536_43358_000007_000001	ON THE BORDER-LAND OF SPIRITS 147	ON THE BORDER LAND OF SPIRITS one hundred forty seven	false	7.77	11.34	23.223906
5536_43358_000008_000000	I. THE GREAT MYSTERY	I. THE GREAT MYSTERY	false	11.34	12.49	25.010334
5536_43358_000009_000000	Solitary Worship.	Solitary Worship.	true	12.71	14.22	22.319336
5536_43358_000009_000001	The Savage Philosopher.	The Savage Philosopher.	true	14.22	15.91	21.112667
5536_43358_000009_000002	The Dual Mind. Spiritual Gifts versus Material Progress.	The Dual Mind. Spiritual Gifts versus Material Progress.	true	16.07	20.5	18.742462
5536_43358_000009_000003	The Paradox of "Christian Civilization."	The Paradox of "Christian Civilization."	true	20.93	23.68	21.720387
5536_43358_000010_000000	The original attitude of the American Indian toward the Eternal, the "Great Mystery" that surrounds and embraces us, was as simple as it was exalted.	The original attitude of the American Indian toward the Eternal, the "Great Mystery" that surrounds and embraces us, was as simple as it was exalted.	true	25.16	34.54	21.199617
5536_43358_000010_000001	To him it was the supreme conception, bringing with it the fullest measure of joy and satisfaction possible in this life.	To him it was the supreme conception, bringing with it the fullest measure of joy and satisfaction possible in this life.	true	34.91	42.16	21.86144
5536_43358_000011_000000	The worship of the "Great Mystery" was silent, solitary, free from all self-seeking.	The worship of the "Great Mystery" was silent, solitary, free from all self seeking.	true	43.25	48.67	22.280535
5536_43358_000011_000001	It was silent, because all speech is of necessity feeble and imperfect; therefore the souls of my ancestors ascended to God in wordless adoration.	It was silent, because all speech is of necessity feeble and imperfect; therefore the souls of my ancestors ascended to God in wordless adoration.	true	48.95	58.6	20.096624
5536_43358_000011_000002	It was solitary, because they believed that He is nearer to us in solitude, and there were no priests authorized to come between a man and his Maker.	It was solitary, because they believed that He is nearer to us in solitude, and there were no priests authorized to come between a man and his Maker.	true	59.24	67.96	20.767859
