5536_43358_000009_000000	Solitary Worship.	Solitary Worship.
5536_43358_000009_000001	The Savage Philosopher.	The Savage Philosopher.
5536_43358_000009_000003	The Paradox of "Christian Civilization."	The Paradox of "Christian Civilization."
5536_43358_000010_000000	The original attitude of the American Indian toward the Eternal, the "Great Mystery" that surrounds and embraces us, was as simple as it was exalted.	The original attitude of the American Indian toward the Eternal, the "Great Mystery" that surrounds and embraces us, was as simple as it was exalted.
5536_43358_000010_000001	To him it was the supreme conception, bringing with it the fullest measure of joy and satisfaction possible in this life.	To him it was the supreme conception, bringing with it the fullest measure of joy and satisfaction possible in this life.
5536_43358_000011_000000	The worship of the "Great Mystery" was silent, solitary, free from all self-seeking.	The worship of the "Great Mystery" was silent, solitary, free from all self seeking.
5536_43358_000011_000001	It was silent, because all speech is of necessity feeble and imperfect; therefore the souls of my ancestors ascended to God in wordless adoration.	It was silent, because all speech is of necessity feeble and imperfect; therefore the souls of my ancestors ascended to God in wordless adoration.
5536_43358_000011_000002	It was solitary, because they believed that He is nearer to us in solitude, and there were no priests authorized to come between a man and his Maker.	It was solitary, because they believed that He is nearer to us in solitude, and there were no priests authorized to come between a man and his Maker.
5536_43358_000011_000003	None might exhort or confess or in any way meddle with the religious experience of another.	None might exhort or confess or in any way meddle with the religious experience of another.
5536_43358_000011_000004	Among us all men were created sons of God and stood erect, as conscious of their divinity.	Among us all men were created sons of God and stood erect, as conscious of their divinity.
5536_43358_000011_000005	Our faith might not be formulated in creeds, nor forced upon any who were unwilling to receive it; hence there was no preaching, proselyting, nor persecution, neither were there any scoffers or atheists.	Our faith might not be formulated in creeds, nor forced upon any who were unwilling to receive it; hence there was no preaching, proselyting, nor persecution, neither were there any scoffers or atheists.
5536_43358_000012_000001	Being a natural man, the Indian was intensely poetical.	Being a natural man, the Indian was intensely poetical.
5536_43358_000014_000001	Having first prepared himself by means of the purifying vapor-bath, and cast off as far as possible all human or fleshly influences, the young man sought out the noblest height, the most commanding summit in all the surrounding region.	Having first prepared himself by means of the purifying vapor bath, and cast off as far as possible all human or fleshly influences, the young man sought out the noblest height, the most commanding summit in all the surrounding region.
5536_43358_000014_000003	At the solemn hour of sunrise or sunset he took up his position, overlooking the glories of earth and facing the "Great Mystery," and there he remained, naked, erect, silent, and motionless, exposed to the elements and forces of His arming, for a night and a day to two days and nights, but rarely longer.	At the solemn hour of sunrise or sunset he took up his position, overlooking the glories of earth and facing the "Great Mystery," and there he remained, naked, erect, silent, and motionless, exposed to the elements and forces of His arming, for a night and a day to two days and nights, but rarely longer.
5536_43358_000015_000001	Of the vision or sign vouchsafed to him he did not speak, unless it had included some commission which must be publicly fulfilled. Sometimes an old man, standing upon the brink of eternity, might reveal to a chosen few the oracle of his long-past youth.	Of the vision or sign vouchsafed to him he did not speak, unless it had included some commission which must be publicly fulfilled. Sometimes an old man, standing upon the brink of eternity, might reveal to a chosen few the oracle of his long past youth.
5536_43358_000016_000000	The native American has been generally despised by his white conquerors for his poverty and simplicity.	The native American has been generally despised by his white conquerors for his poverty and simplicity.
5536_43358_000016_000002	To him, as to other single-minded men in every age and race, from Diogenes to the brothers of Saint Francis, from the Montanists to the Shakers, the love of possessions has appeared a snare, and the burdens of a complex society a source of needless peril and temptation.	To him, as to other single minded men in every age and race, from Diogenes to the brothers of Saint Francis, from the Montanists to the Shakers, the love of possessions has appeared a snare, and the burdens of a complex society a source of needless peril and temptation.
5536_43358_000017_000000	It was not, then, wholly from ignorance or improvidence that he failed to establish permanent towns and to develop a material civilization. To the untutored sage, the concentration of population was the prolific mother of all evils, moral no less than physical.	It was not, then, wholly from ignorance or improvidence that he failed to establish permanent towns and to develop a material civilization. To the untutored sage, the concentration of population was the prolific mother of all evils, moral no less than physical.
5536_43358_000017_000002	All who have lived much out of doors know that there is a magnetic and nervous force that accumulates in solitude and that is quickly dissipated by life in a crowd; and even his enemies have recognized the fact that for a certain innate power and self-poise, wholly independent of circumstances, the American Indian is unsurpassed among men.	All who have lived much out of doors know that there is a magnetic and nervous force that accumulates in solitude and that is quickly dissipated by life in a crowd; and even his enemies have recognized the fact that for a certain innate power and self poise, wholly independent of circumstances, the American Indian is unsurpassed among men.
5536_43358_000018_000001	The first is pure spirit, concerned only with the essence of things, and it was this he sought to strengthen by spiritual prayer, during which the body is subdued by fasting and hardship.	The first is pure spirit, concerned only with the essence of things, and it was this he sought to strengthen by spiritual prayer, during which the body is subdued by fasting and hardship.
5536_43358_000018_000002	In this type of prayer there was no beseeching of favor or help.	In this type of prayer there was no beseeching of favor or help.
5536_43358_000019_000001	From the Sun, as the universal father, proceeds the quickening principle in nature, and in the patient and fruitful womb of our mother, the Earth, are hidden embryos of plants and men.	From the Sun, as the universal father, proceeds the quickening principle in nature, and in the patient and fruitful womb of our mother, the Earth, are hidden embryos of plants and men.
5536_43358_000019_000003	This is the material or physical prayer.	This is the material or physical prayer.
5536_43358_000020_000000	The elements and majestic forces in nature, Lightning, Wind, Water, Fire, and Frost, were regarded with awe as spiritual powers, but always secondary and intermediate in character.	The elements and majestic forces in nature, Lightning, Wind, Water, Fire, and Frost, were regarded with awe as spiritual powers, but always secondary and intermediate in character.
5536_43358_000020_000001	We believed that the spirit pervades all creation and that every creature possesses a soul in some degree, though not necessarily a soul conscious of itself.	We believed that the spirit pervades all creation and that every creature possesses a soul in some degree, though not necessarily a soul conscious of itself.
5536_43358_000020_000002	The tree, the waterfall, the grizzly bear, each is an embodied Force, and as such an object of reverence.	The tree, the waterfall, the grizzly bear, each is an embodied Force, and as such an object of reverence.
5536_43358_000021_000000	The Indian loved to come into sympathy and spiritual communion with his brothers of the animal kingdom, whose inarticulate souls had for him something of the sinless purity that we attribute to the innocent and irresponsible child.	The Indian loved to come into sympathy and spiritual communion with his brothers of the animal kingdom, whose inarticulate souls had for him something of the sinless purity that we attribute to the innocent and irresponsible child.
5536_43358_000021_000001	He had faith in their instincts, as in a mysterious wisdom given from above; and while he humbly accepted the supposedly voluntary sacrifice of their bodies to preserve his own, he paid homage to their spirits in prescribed prayers and offerings.	He had faith in their instincts, as in a mysterious wisdom given from above; and while he humbly accepted the supposedly voluntary sacrifice of their bodies to preserve his own, he paid homage to their spirits in prescribed prayers and offerings.
