5536_43359_000001_000001	THE FAMILY ALTAR	THE FAMILY ALTAR
5536_43359_000002_000000	Pre-natal Influence.	Pre natal Influence.
5536_43359_000002_000001	Early Religious Teaching.	Early Religious Teaching.
5536_43359_000003_000002	There was no priest to assume responsibility for another's soul.	There was no priest to assume responsibility for another's soul.
5536_43359_000003_000003	That is, we believed, the supreme duty of the parent, who only was permitted to claim in some degree the priestly office and function, since it is his creative and protecting power which alone approaches the solemn function of Deity.	That is, we believed, the supreme duty of the parent, who only was permitted to claim in some degree the priestly office and function, since it is his creative and protecting power which alone approaches the solemn function of Deity.
5536_43359_000004_000000	The Indian was a religious man from his mother's womb.	The Indian was a religious man from his mother's womb.
5536_43359_000004_000002	Silence and isolation are the rule of life for the expectant mother.	Silence and isolation are the rule of life for the expectant mother.
5536_43359_000005_000000	And when the day of days in her life dawns--the day in which there is to be a new life, the miracle of whose making has been intrusted to her, she seeks no human aid.	And when the day of days in her life dawns-the day in which there is to be a new life, the miracle of whose making has been intrusted to her, she seeks no human aid.
5536_43359_000005_000002	The ordeal is best met alone, where no curious or pitying eyes embarrass her; where all nature says to her spirit: "'Tis love!	The ordeal is best met alone, where no curious or pitying eyes embarrass her; where all nature says to her spirit: "'tis love!
5536_43359_000006_000000	Presently she returns to the camp, carrying the mysterious, the holy, the dearest bundle!	Presently she returns to the camp, carrying the mysterious, the holy, the dearest bundle!
5536_43359_000006_000001	She feels the endearing warmth of it and hears its soft breathing.	She feels the endearing warmth of it and hears its soft breathing.
5536_43359_000007_000000	She continues her spiritual teaching, at first silently--a mere pointing of the index finger to nature; then in whispered songs, bird-like, at morning and evening.	She continues her spiritual teaching, at first silently-a mere pointing of the index finger to nature; then in whispered songs, bird like, at morning and evening.
5536_43359_000009_000000	In the old days, our mothers were single-eyed to the trust imposed upon them; and as a noted chief of our people was wont to say: "Men may slay one another, but they can never overcome the woman, for in the quietude of her lap lies the child!	In the old days, our mothers were single eyed to the trust imposed upon them; and as a noted chief of our people was wont to say: "Men may slay one another, but they can never overcome the woman, for in the quietude of her lap lies the child!
5536_43359_000010_000002	In due time the child takes of his own accord the attitude of prayer, and speaks reverently of the Powers.	In due time the child takes of his own accord the attitude of prayer, and speaks reverently of the Powers.
5536_43359_000011_000000	At the age of about eight years, if he is a boy, she turns him over to his father for more Spartan training.	At the age of about eight years, if he is a boy, she turns him over to his father for more Spartan training.
5536_43359_000011_000001	If a girl, she is from this time much under the guardianship of her grandmother, who is considered the most dignified protector for the maiden.	If a girl, she is from this time much under the guardianship of her grandmother, who is considered the most dignified protector for the maiden.
5536_43359_000012_000001	Advancing years brought with them much freedom, not only from the burden of laborious and dangerous tasks, but from those restrictions of custom and etiquette which were religiously observed by all others.	Advancing years brought with them much freedom, not only from the burden of laborious and dangerous tasks, but from those restrictions of custom and etiquette which were religiously observed by all others.
5536_43359_000012_000004	A soft, low voice was considered an excellent thing in man, as well as in woman!	A soft, low voice was considered an excellent thing in man, as well as in woman!
5536_43359_000014_000003	The betrothal might or might not be discussed and approved by the parents, but in either case it was customary for the young pair to disappear into the wilderness, there to pass some days or weeks in perfect seclusion and dual solitude, afterward returning to the village as man and wife.	The betrothal might or might not be discussed and approved by the parents, but in either case it was customary for the young pair to disappear into the wilderness, there to pass some days or weeks in perfect seclusion and dual solitude, afterward returning to the village as man and wife.
5536_43359_000015_000000	The family was not only the social unit, but also the unit of government.	The family was not only the social unit, but also the unit of government.
5536_43359_000015_000002	The very name of our tribe, Dakota, means Allied People.	The very name of our tribe, Dakota, means Allied People.
