5536_43363_000000_000000	VI.	VI.	false	5.88	8.04	18.741047
5536_43363_000000_000001	ON THE BORDER-LAND OF SPIRITS	ON THE BORDER LAND OF SPIRITS	true	8.04	10	22.801838
5536_43363_000001_000000	Death and Funeral Customs.	Death and Funeral Customs.	true	10.52	12.25	23.600876
5536_43363_000001_000001	The Sacred Lock of Hair. Reincarnation and the Converse of Spirits.	The Sacred Lock of Hair. Reincarnation and the Converse of Spirits.	true	12.32	16.96	20.966482
5536_43363_000001_000002	Occult and Psychic Powers.	Occult and Psychic Powers.	true	16.97	19.09	22.66159
5536_43363_000001_000003	The Gift of Prophecy.	The Gift of Prophecy.	true	19.28	20.83	23.0308
5536_43363_000002_000000	The attitude of the Indian toward death, the test and background of life, is entirely consistent with his character and philosophy.	The attitude of the Indian toward death, the test and background of life, is entirely consistent with his character and philosophy.	true	22.07	29.05	20
5536_43363_000002_000001	Death has no terrors for him; he meets it with simplicity and perfect calm, seeking only an honorable end as his last gift to his family and descendants.	Death has no terrors for him; he meets it with simplicity and perfect calm, seeking only an honorable end as his last gift to his family and descendants.	true	29.42	37.75	20
5536_43363_000002_000002	Therefore he courts death in battle; on the other hand, he would regard it as disgraceful to be killed in a private quarrel.	Therefore he courts death in battle; on the other hand, he would regard it as disgraceful to be killed in a private quarrel.	true	38.24	44.83	19
5536_43363_000002_000003	If one be dying at home, it is customary to carry his bed out of doors as the end approaches, that his spirit may pass under the open sky.	If one be dying at home, it is customary to carry his bed out of doors as the end approaches, that his spirit may pass under the open sky.	true	45.5	53.23	20
5536_43363_000003_000000	Next to this, the matter that concerns him most is the parting with his dear ones, especially if he have any little children who must be left behind to suffer want.	Next to this, the matter that concerns him most is the parting with his dear ones, especially if he have any little children who must be left behind to suffer want.	false	53.99	62.41	21
5536_43363_000003_000001	His family affections are strong, and he grieves intensely for the lost, even though he has unbounded faith in a spiritual companionship.	His family affections are strong, and he grieves intensely for the lost, even though he has unbounded faith in a spiritual companionship.	true	62.63	69.97	21.005615
5536_43363_000004_000000	The outward signs of mourning for the dead are far more spontaneous and convincing than is the correct and well-ordered black of civilization. Both men and women among us loosen their hair and cut it according to the degree of relationship or of devotion.	The outward signs of mourning for the dead are far more spontaneous and convincing than is the correct and well ordered black of civilization. Both men and women among us loosen their hair and cut it according to the degree of relationship or of devotion.	true	70.58	84.46	21
5536_43363_000004_000001	Consistent with the idea of sacrificing all personal beauty and adornment, they trim off likewise from the dress its fringes and ornaments, perhaps cut it short, or cut the robe or blanket in two.	Consistent with the idea of sacrificing all personal beauty and adornment, they trim off likewise from the dress its fringes and ornaments, perhaps cut it short, or cut the robe or blanket in two.	false	84.92	96.6	22.077225
5536_43363_000004_000002	The men blacken their faces, and widows or bereaved parents sometimes gash their arms and legs till they are covered with blood.	The men blacken their faces, and widows or bereaved parents sometimes gash their arms and legs till they are covered with blood.	true	96.6	103.09	19
5536_43363_000004_000003	Giving themselves up wholly to their grief, they are no longer concerned about any earthly possession, and often give away all that they have to the first comers, even to their beds and their home.	Giving themselves up wholly to their grief, they are no longer concerned about any earthly possession, and often give away all that they have to the first comers, even to their beds and their home.	true	103.49	113.32	18
5536_43363_000004_000004	Finally, the wailing for the dead is continued night and day to the point of utter voicelessness; a musical, weird, and heart-piercing sound, which has been compared to the "keening" of the Celtic mourner.	Finally, the wailing for the dead is continued night and day to the point of utter voicelessness; a musical, weird, and heart piercing sound, which has been compared to the "keening" of the Celtic mourner.	true	113.72	124.81	20
5536_43363_000005_000000	The old-time burial of the Plains Indians was upon a scaffold of poles, or a platform among the boughs of a tree--their only means of placing the body out of reach of wild beasts, as they had no implements with which to dig a suitable grave.	The old time burial of the Plains Indians was upon a scaffold of poles, or a platform among the boughs of a tree-their only means of placing the body out of reach of wild beasts, as they had no implements with which to dig a suitable grave.	false	125.96	139.36	21
5536_43363_000005_000001	It was prepared by dressing in the finest clothes, together with some personal possessions and ornaments, wrapped in several robes, and finally in a secure covering of raw-hide.	It was prepared by dressing in the finest clothes, together with some personal possessions and ornaments, wrapped in several robes, and finally in a secure covering of raw hide.	true	139.82	148.75	19
5536_43363_000005_000002	As a special mark of respect, the body of a young woman or a warrior was sometimes laid out in state in a new teepee, with the usual household articles and even with a dish of food left beside it, not that they supposed the spirit could use the implements or eat the food but merely as a last tribute.	As a special mark of respect, the body of a young woman or a warrior was sometimes laid out in state in a new teepee, with the usual household articles and even with a dish of food left beside it, not that they supposed the spirit could use the implements or eat the food but merely as a last tribute.	true	149.15	165.25	18
5536_43363_000005_000003	Then the whole people would break camp and depart to a distance, leaving the dead alone in an honorable solitude.	Then the whole people would break camp and depart to a distance, leaving the dead alone in an honorable solitude.	true	165.92	171.91	18
