5694_64025_000000_000000	VIRGINIA, FAREWELL	VIRGINIA, FAREWELL	false	0	0	
5694_64025_000001_000000	After having served through all the valley campaign, and marched through all the wonders of Northwest Virginia, and being associated with the army of Virginia, it was with sorrow and regret that we bade farewell to "Old Virginia's shore," to go to other fields of blood and carnage and death. We had learned to love Virginia; we love her now.	After having served through all the valley campaign, and marched through all the wonders of Northwest Virginia, and being associated with the army of Virginia, it was with sorrow and regret that we bade farewell to "Old Virginia's shore," to go to other fields of blood and carnage and death. We had learned to love Virginia; we love her now.	false	0	0.66	100
5694_64025_000001_000001	The people were kind and good to us.	The people were kind and good to us.	false	0.66	0.75	15
5694_64025_000001_000002	They divided their last crust of bread and rasher of bacon with us.	They divided their last crust of bread and rasher of bacon with us.	false	0.75	0.9	100
5694_64025_000001_000003	We loved Lee, we loved Jackson; we loved the name, association and people of Virginia.	We loved Lee, we loved Jackson; we loved the name, association and people of Virginia.	false	0.9	1.08	12
5694_64025_000001_000004	Hatton, Forbes, Anderson, Gilliam, Govan, Loring, Ashby and Schumaker were names with which we had been long associated.	Hatton, Forbes, Anderson, Gilliam, Govan, Loring, Ashby and Schumaker were names with which we had been long associated.	false	1.08	1.26	-1
5694_64025_000001_000005	We hated to leave all our old comrades behind us.	We hated to leave all our old comrades behind us.	false	1.26	1.38	-20
5694_64025_000001_000006	We felt that we were proving recreant to the instincts of our own manhood, and that we were leaving those who had stood by us on the march and battlefield when they most needed our help.	We felt that we were proving recreant to the instincts of our own manhood, and that we were leaving those who had stood by us on the march and battlefield when they most needed our help.	false	1.38	4.14	23
5694_64025_000001_000007	We knew the 7th and 14th Tennessee regiments; we knew the 3rd Arkansas, the 14th Georgia, and 42nd Virginia regiments.	We knew the seventh and fourteenth Tennessee regiments; we knew the third Arkansas, the fourteenth Georgia, and forty second Virginia regiments.	false	4.14	5.34	34.38334
5694_64025_000001_000008	Their names were as familiar as household words. We were about to leave the bones of Joe Bynum and Gus Allen and Patrick Hanly.	Their names were as familiar as household words. We were about to leave the bones of Joe Bynum and Gus Allen and Patrick Hanly.	false	5.34	6.33	16.607489
5694_64025_000001_000009	We were about to bid farewell to every tender association that we had formed with the good people of Virginia, and to our old associates among the soldiers of the Grand Army of Virginia.	We were about to bid farewell to every tender association that we had formed with the good people of Virginia, and to our old associates among the soldiers of the Grand Army of Virginia.	false	6.33	7.08	11
5694_64025_000001_000010	_Virginia, farewell!_ Away back yonder, in good old Tennessee, our homes and loved ones are being robbed and insulted, our fields laid waste, our cities sacked, and our people slain.	underscore Virginia, farewell!underscore Away back yonder, in good old Tennessee, our homes and loved ones are being robbed and insulted, our fields laid waste, our cities sacked, and our people slain.	false	7.08	7.86	18
5694_64025_000001_000011	Duty as well as patriotism calls us back to our native home, to try and defend it, as best we can, against an invading army of our then enemies; and, Virginia, once more we bid you a long farewell!	Duty as well as patriotism calls us back to our native home, to try and defend it, as best we can, against an invading army of our then enemies; and, Virginia, once more we bid you a long farewell!	false	7.86	11.22	17.147448
5694_64025_000002_000000	CHAPTER II	CHAPTER two	false	11.22	11.43	-20
5694_64025_000003_000000	SHILOH	SHILOH	true	11.43	12.4	21.59247
5694_64025_000004_000000	This was the first big battle in which our regiment had ever been engaged.	This was the first big battle in which our regiment had ever been engaged.	true	14.84	19.03	19.727474
5694_64025_000004_000001	I do not pretend to tell of what command distinguished itself; of heroes; of blood and wounds; of shrieks and groans; of brilliant charges; of cannon captured, etc.	I do not pretend to tell of what command distinguished itself; of heroes; of blood and wounds; of shrieks and groans; of brilliant charges; of cannon captured, etc	true	19.13	29.71	24
5694_64025_000004_000002	I was but a private soldier, and if I happened to look to see if I could find out anything, "Eyes right, guide center," was the order.	I was but a private soldier, and if I happened to look to see if I could find out anything, "Eyes right, guide center," was the order.	true	30.08	37.17	22.217688
5694_64025_000004_000003	"Close up, guide right, halt, forward, right oblique, left oblique, halt, forward, guide center, eyes right, dress up promptly in the rear, steady, double quick, charge bayonets, fire at will," is about all that a private soldier ever knows of a battle.	"Close up, guide right, halt, forward, right oblique, left oblique, halt, forward, guide center, eyes right, dress up promptly in the rear, steady, double quick, charge bayonets, fire at will," is about all that a private soldier ever knows of a battle.	false	37.17	56.59	23.379
5694_64025_000004_000004	He can see the smoke rise and the flash of the enemy's guns, and he can hear the whistle of the minnie and cannon balls, but he has got to load and shoot as hard as he can tear and ram cartridge, or he will soon find out, like the Irishman who had been shooting blank cartridges, when a ball happened to strike him, and he halloed out, "Faith, Pat, and be jabbers, them fellows are shooting bullets." But I nevertheless remember many things that came under my observation in this battle.	He can see the smoke rise and the flash of the enemy's guns, and he can hear the whistle of the minnie and cannon balls, but he has got to load and shoot as hard as he can tear and ram cartridge, or he will soon find out, like the Irishman who had been shooting blank cartridges, when a ball happened to strike him, and he halloed out, "Faith, Pat, and be jabbers, them fellows are shooting bullets." But I nevertheless remember many things that came under my observation in this battle.	true	57.08	84.7	21.853094
5694_64025_000004_000005	I remember a man by the name of Smith stepping deliberately out of the ranks and shooting his finger off to keep out of the fight; of another poor fellow who was accidentally shot and killed by the discharge of another person's gun, and of others suddenly taken sick with colic.	I remember a man by the name of Smith stepping deliberately out of the ranks and shooting his finger off to keep out of the fight; of another poor fellow who was accidentally shot and killed by the discharge of another person's gun, and of others suddenly taken sick with colic.	true	85.04	100.48	21.210585
5694_64025_000004_000006	Our regiment was the advance guard on Saturday evening, and did a little skirmishing; but General Gladden's brigade passed us and assumed a position in our immediate front.	Our regiment was the advance guard on Saturday evening, and did a little skirmishing; but General Gladden's brigade passed us and assumed a position in our immediate front.	true	101.51	111.37	21.550999
5694_64025_000004_000007	About daylight on Sunday morning, Chalmers' brigade relieved Gladden's.	About daylight on Sunday morning, Chalmers' brigade relieved Gladden's.	true	112.01	116.32	19.79145
5694_64025_000004_000008	As Gladden rode by us, a courier rode up and told him something.	As Gladden rode by us, a courier rode up and told him something.	false	116.87	120.25	18.011387
5694_64025_000004_000009	I do not know what it was, but I heard Gladden say, "Tell General Bragg that I have as keen a scent for Yankees as General Chalmers has."	I do not know what it was, but I heard Gladden say, "Tell General Bragg that I have as keen a scent for Yankees as General Chalmers has."	true	120.32	128.23	20.711897
5694_64025_000005_000000	On Sunday morning, a clear, beautiful, and still day, the order was given for the whole army to advance, and to attack immediately.	On Sunday morning, a clear, beautiful, and still day, the order was given for the whole army to advance, and to attack immediately.	true	129.62	137.08	18
5694_64025_000005_000001	We were supporting an Alabama brigade.	We were supporting an Alabama brigade.	true	137.78	140.41	15.22227
5694_64025_000005_000002	The fire opened--bang, bang, bang, a rattle de bang, bang, bang, a boom, de bang, bang, bang, boom, bang, boom, bang, boom, bang, boom, bang, boom, whirr-siz-siz-siz--a ripping, roaring boom, bang!	The fire opened-bang, bang, bang, a rattle de bang, bang, bang, a boom, de bang, bang, bang, boom, bang, boom, bang, boom, bang, boom, bang, boom, whirr siz siz siz-a ripping, roaring boom, bang!	false	141.35	157.9	17.467707
5694_64025_000005_000003	The air was full of balls and deadly missiles. The litter corps was carrying off the dying and wounded.	The air was full of balls and deadly missiles. The litter corps was carrying off the dying and wounded.	true	158.21	165.58	20.565783
5694_64025_000005_000004	We could hear the shout of the charge and the incessant roar of the guns, the rattle of the musketry, and knew that the contending forces were engaged in a breast to breast struggle.	We could hear the shout of the charge and the incessant roar of the guns, the rattle of the musketry, and knew that the contending forces were engaged in a breast to breast struggle.	true	165.86	175.27	21.217972
5694_64025_000005_000005	But cheering news continued to come back. Every one who passed would be hailed with, "Well, what news from the front?" "Well, boys, we are driving 'em.	But cheering news continued to come back. Every one who passed would be hailed with, "Well, what news from the front?" "Well, boys, we are driving 'em.	false	175.76	183.6	19.824877
5694_64025_000005_000006	We have captured all their encampments, everything that they had, and all their provisions and army stores, and everything."	We have captured all their encampments, everything that they had, and all their provisions and army stores, and everything."	false	183.6	189.31	12
5694_64025_000006_000000	As we were advancing to the attack and to support the Alabama brigade in our front, and which had given way and were stricken with fear, some of the boys of our regiment would laugh at them, and ask what they were running for, and would commence to say "Flicker! flicker! flicker!" like the bird called the yellowhammer, "Flicker! flicker! flicker!" As we advanced, on the edge of the battlefield, we saw a big fat colonel of the 23rd Tennessee regiment badly wounded, whose name, if I remember correctly, was Matt.	As we were advancing to the attack and to support the Alabama brigade in our front, and which had given way and were stricken with fear, some of the boys of our regiment would laugh at them, and ask what they were running for, and would commence to say "Flicker! flicker! flicker!" like the bird called the yellowhammer, "Flicker! flicker! flicker!" As we advanced, on the edge of the battlefield, we saw a big fat colonel of the twenty third Tennessee regiment badly wounded, whose name, if I remember correctly, was Matt.	true	190.16	217.05	20.211319
5694_64025_000006_000001	Martin.	Martin.	true	217.05	217.75	26.17364
5694_64025_000006_000002	He said to us, "Give 'em goss, boys. That's right, my brave First Tennessee.	He said to us, "Give 'em goss, boys. That's right, my brave First Tennessee.	true	218	222.915	21.542732
5694_64025_000006_000003	Give 'em Hail Columbia!" We halted but a moment, and said I, "Colonel, where are you wounded?" He answered in a deep bass voice, "My son, I am wounded in the arm, in the leg, in the head, in the body, and in another place which I have a delicacy in mentioning." That is what the gallant old Colonel said. Advancing a little further on, we saw General Albert Sidney Johnson surrounded by his staff and Governor Harris, of Tennessee.	Give 'em Hail Columbia!" We halted but a moment, and said I, "Colonel, where are you wounded?" He answered in a deep bass voice, "My son, I am wounded in the arm, in the leg, in the head, in the body, and in another place which I have a delicacy in mentioning." That is what the gallant old Colonel said. Advancing a little further on, we saw General Albert Sidney Johnson surrounded by his staff and Governor Harris, of Tennessee.	true	222.915	248.59	21.45006
