5694_64025_000003_000000	SHILOH	SHILOH
5694_64025_000004_000001	I do not pretend to tell of what command distinguished itself; of heroes; of blood and wounds; of shrieks and groans; of brilliant charges; of cannon captured, etc.	I do not pretend to tell of what command distinguished itself; of heroes; of blood and wounds; of shrieks and groans; of brilliant charges; of cannon captured, etc
5694_64025_000004_000002	I was but a private soldier, and if I happened to look to see if I could find out anything, "Eyes right, guide center," was the order.	I was but a private soldier, and if I happened to look to see if I could find out anything, "Eyes right, guide center," was the order.
5694_64025_000004_000005	I remember a man by the name of Smith stepping deliberately out of the ranks and shooting his finger off to keep out of the fight; of another poor fellow who was accidentally shot and killed by the discharge of another person's gun, and of others suddenly taken sick with colic.	I remember a man by the name of Smith stepping deliberately out of the ranks and shooting his finger off to keep out of the fight; of another poor fellow who was accidentally shot and killed by the discharge of another person's gun, and of others suddenly taken sick with colic.
5694_64025_000004_000006	Our regiment was the advance guard on Saturday evening, and did a little skirmishing; but General Gladden's brigade passed us and assumed a position in our immediate front.	Our regiment was the advance guard on Saturday evening, and did a little skirmishing; but General Gladden's brigade passed us and assumed a position in our immediate front.
5694_64025_000004_000009	I do not know what it was, but I heard Gladden say, "Tell General Bragg that I have as keen a scent for Yankees as General Chalmers has."	I do not know what it was, but I heard Gladden say, "Tell General Bragg that I have as keen a scent for Yankees as General Chalmers has."
5694_64025_000005_000003	The air was full of balls and deadly missiles. The litter corps was carrying off the dying and wounded.	The air was full of balls and deadly missiles. The litter corps was carrying off the dying and wounded.
5694_64025_000005_000004	We could hear the shout of the charge and the incessant roar of the guns, the rattle of the musketry, and knew that the contending forces were engaged in a breast to breast struggle.	We could hear the shout of the charge and the incessant roar of the guns, the rattle of the musketry, and knew that the contending forces were engaged in a breast to breast struggle.
5694_64025_000006_000001	Martin.	Martin.
5694_64025_000006_000002	He said to us, "Give 'em goss, boys. That's right, my brave First Tennessee.	He said to us, "Give 'em goss, boys. That's right, my brave First Tennessee.
5694_64025_000006_000005	The fact was kept from the troops.	The fact was kept from the troops.
5694_64025_000007_000000	About noon a courier dashed up and ordered us to go forward and support General Bragg's center.	About noon a courier dashed up and ordered us to go forward and support General Bragg's center.
5694_64025_000008_000002	It all seemed to me a dream; I seemed to be in a sort of haze, when siz, siz, siz, the minnie balls from the Yankee line began to whistle around our ears, and I thought of the Irishman when he said, "Sure enough, those fellows are shooting bullets!"	It all seemed to me a dream; I seemed to be in a sort of haze, when siz, siz, siz, the minnie balls from the Yankee line began to whistle around our ears, and I thought of the Irishman when he said, "Sure enough, those fellows are shooting bullets!"
5694_64025_000009_000001	I had been feeling mean all the morning as if I had stolen a sheep, but when the order to charge was given, I got happy.	I had been feeling mean all the morning as if I had stolen a sheep, but when the order to charge was given, I got happy.
5694_64025_000009_000008	They retreat in wild confusion.	They retreat in wild confusion.
5694_64025_000009_000009	We were jubilant; we were triumphant.	We were jubilant; we were triumphant.
5694_64025_000009_000010	Officers could not curb the men to keep in line.	Officers could not curb the men to keep in line.
5694_64025_000010_000000	When in the very midst of our victory, here comes an order to halt. What! halt after today's victory?	When in the very midst of our victory, here comes an order to halt. What! halt after today's victory?
5694_64025_000010_000001	Sidney Johnson killed, General Gladden killed, and a host of generals and other brave men killed, and the whole Yankee army in full retreat.	Sidney Johnson killed, General Gladden killed, and a host of generals and other brave men killed, and the whole Yankee army in full retreat.
5694_64025_000013_000000	The harvest was great and the laborers were not few.	The harvest was great and the laborers were not few.
5694_64025_000014_000001	The boys were in clover.	The boys were in clover.
