5694_64038_000000_000000	CHAPTER XV	CHAPTER fifteen	false	0.45	10.38	25.46008
5694_64038_000001_000000	ADVANCE INTO TENNESSEE	ADVANCE INTO TENNESSEE	true	10.38	12.31	22.755568
5694_64038_000002_000000	GENERAL HOOD MAKES A FLANK MOVEMENT	GENERAL HOOD MAKES A FLANK MOVEMENT	true	13.19	15.43	18.938276
5694_64038_000003_000000	After remaining a good long time at Jonesboro, the news came that we were going to flank Atlanta.	After remaining a good long time at Jonesboro, the news came that we were going to flank Atlanta.	true	17.45	22.69	21.022305
5694_64038_000003_000001	We flanked it.	We flanked it.	true	22.94	23.98	27.23313
5694_64038_000003_000002	A flank means "a go around."	A flank means "a go around."	true	24.44	26.44	20.616777
5694_64038_000004_000000	Yank says, "What you doing, Johnny?"	Yank says, "What you doing, Johnny?"	true	27.56	30.58	23.968487
5694_64038_000005_000000	Johnny says, "We are flanking."	Johnny says, "We are flanking."	true	31.28	34.24	24.824318
5694_64038_000006_000000	Yank says, "Bully for you!"	Yank says, "Bully for you!"	true	35.03	37.96	21.593912
5694_64038_000007_000000	We passed around Atlanta, crossed the Chattahoochee, and traveled back over the same route on which we had made the arduous campaign under Joe Johnston.	We passed around Atlanta, crossed the Chattahoochee, and traveled back over the same route on which we had made the arduous campaign under Joe Johnston.	true	39.32	47.62	16
5694_64038_000007_000001	It took us four months in the first instance, and but little longer than as many days in the second, to get back to Dalton, our starting point.	It took us four months in the first instance, and but little longer than as many days in the second, to get back to Dalton, our starting point.	true	47.93	55.6	21.16523
5694_64038_000007_000002	On our way up there, the Yankee cavalry followed us to see how we were getting along with the flanking business.	On our way up there, the Yankee cavalry followed us to see how we were getting along with the flanking business.	true	56.12	61.57	20
5694_64038_000007_000003	We had pontoons made for the purpose of crossing streams.	We had pontoons made for the purpose of crossing streams.	true	62.09	65.77	24.698175
5694_64038_000007_000004	When we would get to a stream, the pontoons would be thrown across, and Hood's army would cross.	When we would get to a stream, the pontoons would be thrown across, and Hood's army would cross.	true	65.93	71.17	21.44653
