5694_64038_000001_000000	ADVANCE INTO TENNESSEE	ADVANCE INTO TENNESSEE
5694_64038_000003_000000	After remaining a good long time at Jonesboro, the news came that we were going to flank Atlanta.	After remaining a good long time at Jonesboro, the news came that we were going to flank Atlanta.
5694_64038_000003_000001	We flanked it.	We flanked it.
5694_64038_000003_000002	A flank means "a go around."	A flank means "a go around."
5694_64038_000004_000000	Yank says, "What you doing, Johnny?"	Yank says, "What you doing, Johnny?"
5694_64038_000005_000000	Johnny says, "We are flanking."	Johnny says, "We are flanking."
5694_64038_000006_000000	Yank says, "Bully for you!"	Yank says, "Bully for you!"
5694_64038_000007_000001	It took us four months in the first instance, and but little longer than as many days in the second, to get back to Dalton, our starting point.	It took us four months in the first instance, and but little longer than as many days in the second, to get back to Dalton, our starting point.
5694_64038_000007_000002	On our way up there, the Yankee cavalry followed us to see how we were getting along with the flanking business.	On our way up there, the Yankee cavalry followed us to see how we were getting along with the flanking business.
5694_64038_000007_000003	We had pontoons made for the purpose of crossing streams.	We had pontoons made for the purpose of crossing streams.
5694_64038_000007_000004	When we would get to a stream, the pontoons would be thrown across, and Hood's army would cross.	When we would get to a stream, the pontoons would be thrown across, and Hood's army would cross.
5694_64038_000008_000000	We passed all those glorious battlefields, that have been made classic in history, frequently coming across the skull of some poor fellow sitting on top of a stump, grinning a ghastly smile; also the bones of horses along the road, and fences burned and destroyed, and occasionally the charred remains of a once fine dwelling house.	We passed all those glorious battlefields, that have been made classic in history, frequently coming across the skull of some poor fellow sitting on top of a stump, grinning a ghastly smile; also the bones of horses along the road, and fences burned and destroyed, and occasionally the charred remains of a once fine dwelling house.
5694_64038_000008_000002	The country looked like it did at first. Citizens came out, and seemed glad to see us, and would divide their onions, garlic, and leek with us.	The country looked like it did at first. Citizens came out, and seemed glad to see us, and would divide their onions, garlic, and leek with us.
5694_64038_000008_000003	The soldiers were in good spirits, but it was the spirit of innocence and peace, not war and victory.	The soldiers were in good spirits, but it was the spirit of innocence and peace, not war and victory.
5694_64038_000009_000001	But we always flanked these little affairs.	But we always flanked these little affairs.
5694_64038_000010_000000	WE CAPTURE DALTON	WE CAPTURE DALTON
5694_64038_000011_000000	When we arrived at Dalton, we had a desire to see how the old place looked; not that we cared anything about it, but we just wanted to take a last farewell look at the old place.	When we arrived at Dalton, we had a desire to see how the old place looked; not that we cared anything about it, but we just wanted to take a last farewell look at the old place.
5694_64038_000011_000001	We saw the United States flag flying from the ramparts, and thought that Yank would probably be asleep or catching lice, or maybe engaged in a game of seven-up.	We saw the United States flag flying from the ramparts, and thought that Yank would probably be asleep or catching lice, or maybe engaged in a game of seven up.
5694_64038_000011_000003	He walked up and says, "Hello, boys!"	He walked up and says, "Hello, boys!"
5694_64038_000011_000005	We marched the black rascals out.	We marched the black rascals out.
