5895_34615_000000_000000	"For spleen there is but one remedy."	"For spleen there is but one remedy."	false	1.02	4.53	20.386904
5895_34615_000001_000000	"What is it?"	"What is it?"	false	4.53	5.37	18
5895_34615_000002_000000	"Gwynplaine."	"Gwynplaine."	false	5.37	5.73	20
5895_34615_000003_000000	The duchess asked,--	The duchess asked,--	false	5.73	6.75	19.226185
5895_34615_000004_000000	"And who is Gwynplaine?"	"And who is Gwynplaine?"	false	6.75	8.13	22.199364
5895_34615_000005_000000	BOOK THE SECOND.	BOOK THE SECOND.	false	8.13	9	14
5895_34615_000006_000000	_GWYNPLAINE AND DEA._	underscore g w y n p l a i n e AND DEA.underscore	false	9	22.38	23.650293
5895_34615_000007_000000	CHAPTER I.	CHAPTER one	true	22.38	23.44	19.973389
5895_34615_000008_000000	WHEREIN WE SEE THE FACE OF HIM OF WHOM WE HAVE HITHERTO SEEN ONLY THE ACTS.	WHEREIN WE SEE THE FACE OF HIM OF WHOM WE HAVE HITHERTO SEEN ONLY THE ACTS.	true	24.08	29.14	17
5895_34615_000009_000000	Nature had been prodigal of her kindness to Gwynplaine.	Nature had been prodigal of her kindness to Gwynplaine.	true	29.81	33.34	22.001846
5895_34615_000009_000001	She had bestowed on him a mouth opening to his ears, ears folding over to his eyes, a shapeless nose to support the spectacles of the grimace maker, and a face that no one could look upon without laughing.	She had bestowed on him a mouth opening to his ears, ears folding over to his eyes, a shapeless nose to support the spectacles of the grimace maker, and a face that no one could look upon without laughing.	true	33.71	47.41	21.148787
5895_34615_000010_000000	We have just said that nature had loaded Gwynplaine with her gifts.	We have just said that nature had loaded Gwynplaine with her gifts.	true	48.11	51.67	19
5895_34615_000010_000001	But was it nature?	But was it nature?	true	52.22	53.59	23.70442
5895_34615_000010_000002	Had she not been assisted?	Had she not been assisted?	true	53.93	55.78	23.45663
5895_34615_000011_000000	Two slits for eyes, a hiatus for a mouth, a snub protuberance with two holes for nostrils, a flattened face, all having for the result an appearance of laughter; it is certain that nature never produces such perfection single-handed.	Two slits for eyes, a hiatus for a mouth, a snub protuberance with two holes for nostrils, a flattened face, all having for the result an appearance of laughter; it is certain that nature never produces such perfection single handed.	true	56.63	73.84	21.833197
5895_34615_000012_000000	But is laughter a synonym of joy?	But is laughter a synonym of joy?	true	74.42	77.14	20.980213
5895_34615_000013_000000	If, in the presence of this mountebank--for he was one--the first impression of gaiety wore off, and the man were observed with attention, traces of art were to be recognized.	If, in the presence of this mountebank-for he was one-the first impression of gaiety wore off, and the man were observed with attention, traces of art were to be recognized.	true	77.84	90.25	21.465982
5895_34615_000013_000001	Such a face could never have been created by chance; it must have resulted from intention.	Such a face could never have been created by chance; it must have resulted from intention.	true	90.5	96.55	20.942787
5895_34615_000013_000002	Such perfect completeness is not in nature.	Such perfect completeness is not in nature.	true	97.13	100	22.455095
