5895_34615_000009_000000	Nature had been prodigal of her kindness to Gwynplaine.	Nature had been prodigal of her kindness to Gwynplaine.
5895_34615_000009_000001	She had bestowed on him a mouth opening to his ears, ears folding over to his eyes, a shapeless nose to support the spectacles of the grimace maker, and a face that no one could look upon without laughing.	She had bestowed on him a mouth opening to his ears, ears folding over to his eyes, a shapeless nose to support the spectacles of the grimace maker, and a face that no one could look upon without laughing.
5895_34615_000010_000001	But was it nature?	But was it nature?
5895_34615_000010_000002	Had she not been assisted?	Had she not been assisted?
5895_34615_000011_000000	Two slits for eyes, a hiatus for a mouth, a snub protuberance with two holes for nostrils, a flattened face, all having for the result an appearance of laughter; it is certain that nature never produces such perfection single-handed.	Two slits for eyes, a hiatus for a mouth, a snub protuberance with two holes for nostrils, a flattened face, all having for the result an appearance of laughter; it is certain that nature never produces such perfection single handed.
5895_34615_000012_000000	But is laughter a synonym of joy?	But is laughter a synonym of joy?
5895_34615_000013_000000	If, in the presence of this mountebank--for he was one--the first impression of gaiety wore off, and the man were observed with attention, traces of art were to be recognized.	If, in the presence of this mountebank-for he was one-the first impression of gaiety wore off, and the man were observed with attention, traces of art were to be recognized.
5895_34615_000013_000001	Such a face could never have been created by chance; it must have resulted from intention.	Such a face could never have been created by chance; it must have resulted from intention.
5895_34615_000013_000002	Such perfect completeness is not in nature.	Such perfect completeness is not in nature.
5895_34615_000013_000003	Man can do nothing to create beauty, but everything to produce ugliness.	Man can do nothing to create beauty, but everything to produce ugliness.
5895_34615_000013_000004	A Hottentot profile cannot be changed into a Roman outline, but out of a Grecian nose you may make a Calmuck's.	A Hottentot profile cannot be changed into a Roman outline, but out of a Grecian nose you may make a Calmuck's.
5895_34615_000013_000005	It only requires to obliterate the root of the nose and to flatten the nostrils.	It only requires to obliterate the root of the nose and to flatten the nostrils.
5895_34615_000013_000007	Had Gwynplaine when a child been so worthy of attention that his face had been subjected to transmutation?	Had Gwynplaine when a child been so worthy of attention that his face had been subjected to transmutation?
5895_34615_000013_000008	Why not?	Why not?
5895_34615_000013_000010	According to all appearance, industrious manipulators of children had worked upon his face.	According to all appearance, industrious manipulators of children had worked upon his face.
