5895_34622_000003_000000	CHAPTER VIII.	CHAPTER eight.
5895_34622_000004_000000	NOT ONLY HAPPINESS, BUT PROSPERITY.	NOT ONLY HAPPINESS, BUT PROSPERITY.
5895_34622_000005_000002	In Gwynplaine evil thoughts never ripened, and he had therefore no remorse.	In Gwynplaine evil thoughts never ripened, and he had therefore no remorse.
5895_34622_000005_000003	Sometimes he felt regret.	Sometimes he felt regret.
5895_34622_000011_000003	This green colour had succeeded in drawing attention to the carriage, which was known in all the fair grounds as The Green Box.	This green colour had succeeded in drawing attention to the carriage, which was known in all the fair grounds as The Green Box.
5895_34622_000011_000004	The Green Box had but two windows, one at each extremity, and at the back a door with steps to let down.	The Green Box had but two windows, one at each extremity, and at the back a door with steps to let down.
5895_34622_000011_000007	In front, on a ledge fastened to the van, with the window for a door, behind the horses and by the side of an old man who held the reins and directed the team, two gipsy women, dressed as goddesses, sounded their trumpets.	In front, on a ledge fastened to the van, with the window for a door, behind the horses and by the side of an old man who held the reins and directed the team, two gipsy women, dressed as goddesses, sounded their trumpets.
5895_34622_000012_000000	This was the old establishment of Ursus, its proportions augmented by success, and improved from a wretched booth into a theatre.	This was the old establishment of Ursus, its proportions augmented by success, and improved from a wretched booth into a theatre.
5895_34622_000012_000002	This was Homo. The old coachman who drove the horses was the philosopher himself.	This was Homo. The old coachman who drove the horses was the philosopher himself.
5895_34622_000014_000000	From this--Gwynplaine had become famous.	From this-Gwynplaine had become famous.
5895_34622_000017_000000	Ursus, it may be remembered, had made Gwynplaine his pupil.	Ursus, it may be remembered, had made Gwynplaine his pupil.
5895_34622_000017_000001	Unknown people had worked upon his face; he, on the other hand, had worked on his mind, and behind this well-executed mask he had placed all that he could of thought.	Unknown people had worked upon his face; he, on the other hand, had worked on his mind, and behind this well executed mask he had placed all that he could of thought.
5895_34622_000017_000002	So soon as the growth of the child had rendered him fitted for it, he had brought him out on the stage--that is, he had produced him in front of the van.	So soon as the growth of the child had rendered him fitted for it, he had brought him out on the stage-that is, he had produced him in front of the van.
