6241_61943_000000_000000	"Enough for one day," said my uncle, rubbing his hands, "we will begin again tomorrow."	"Enough for one day," said my uncle, rubbing his hands, "we will begin again tomorrow."	false	0	5.67	20.987701
6241_61943_000001_000000	There was no remedy.	There was no remedy.	false	5.67	7.17	18.15656
6241_61943_000001_000001	My lessons lasted five days, and at the end of that period, I ascended blithely enough, and found myself able to look down into the depths below without even winking, and with some degree of pleasure.	My lessons lasted five days, and at the end of that period, I ascended blithely enough, and found myself able to look down into the depths below without even winking, and with some degree of pleasure.	false	7.17	21.9	20.440395
6241_61943_000002_000000	CHAPTER 6	CHAPTER six	true	21.9	23.14	25
6241_61943_000003_000000	Our Voyage to Iceland	Our Voyage to Iceland	true	23.54	25.39	21.050638
6241_61943_000004_000000	The hour of departure came at last.	The hour of departure came at last.	true	27.32	29.56	20.971176
6241_61943_000004_000001	The night before, the worthy Mr. Thompson brought us the most cordial letters of introduction for Baron Trampe, Governor of Iceland, for M. Pictursson, coadjutor to the bishop, and for M. Finsen, mayor of the town of Reykjavik.	The night before, the worthy mr Thompson brought us the most cordial letters of introduction for Baron Trampe, Governor of Iceland, for m Pictursson, coadjutor to the bishop, and for m Finsen, mayor of the town of Reykjavik.	false	30.68	44.35	21.345081
6241_61943_000004_000002	In return, my uncle nearly crushed his hands, so warmly did he shake them.	In return, my uncle nearly crushed his hands, so warmly did he shake them.	true	44.78	49.03	19
6241_61943_000005_000000	On the second of the month, at two in the morning, our precious cargo of luggage was taken on board the good ship <i>Valkyrie</i>.	On the second of the month, at two in the morning, our precious cargo of luggage was taken on board the good ship less than i greater than Valkyrie less than/i greater than.	false	50.12	57.06	22.587246
6241_61943_000005_000001	We followed, and were very politely introduced by the captain to a small cabin with two standing bed places, neither very well ventilated nor very comfortable. But in the cause of science men are expected to suffer.	We followed, and were very politely introduced by the captain to a small cabin with two standing bed places, neither very well ventilated nor very comfortable. But in the cause of science men are expected to suffer.	false	57.06	68.86	22.073803
6241_61943_000006_000000	"Well, and have we a fair wind?" cried my uncle, in his most mellifluous accents.	"Well, and have we a fair wind?" cried my uncle, in his most mellifluous accents.	true	69.98	74.89	23.461336
