6241_61943_000002_000000	CHAPTER 6	CHAPTER six
6241_61943_000003_000000	Our Voyage to Iceland	Our Voyage to Iceland
6241_61943_000004_000000	The hour of departure came at last.	The hour of departure came at last.
6241_61943_000006_000000	"Well, and have we a fair wind?" cried my uncle, in his most mellifluous accents.	"Well, and have we a fair wind?" cried my uncle, in his most mellifluous accents.
6241_61943_000008_000000	A few minutes afterwards, the schooner started before the wind, under all the canvas she could carry, and entered the channel.	A few minutes afterwards, the schooner started before the wind, under all the canvas she could carry, and entered the channel.
6241_61943_000008_000002	My uncle was delighted; for myself, moody and dissatisfied, I appeared almost to expect a glimpse of the ghost of Hamlet.	My uncle was delighted; for myself, moody and dissatisfied, I appeared almost to expect a glimpse of the ghost of Hamlet.
6241_61943_000009_000000	"Sublime madman," thought I, "you doubtless would approve our proceedings.	"Sublime madman," thought I, "you doubtless would approve our proceedings.
6241_61943_000009_000001	You might perhaps even follow us to the centre of the earth, there to resolve your eternal doubts."	You might perhaps even follow us to the centre of the earth, there to resolve your eternal doubts."
6241_61943_000010_000001	The fact is, the castle is much later than the time of the heroic prince of Denmark.	The fact is, the castle is much later than the time of the heroic prince of Denmark.
6241_61943_000011_000000	The castle of Kronborg soon disappeared in the murky atmosphere, as well as the tower of Helsinborg, which raises its head on the Swedish Bank. And here the schooner began to feel in earnest the breezes of the Kattegat.	The castle of Kronborg soon disappeared in the murky atmosphere, as well as the tower of Helsinborg, which raises its head on the Swedish Bank. And here the schooner began to feel in earnest the breezes of the Kattegat.
6241_61943_000011_000002	Her cargo was coal, furniture, pottery, woolen clothing, and a load of corn.	Her cargo was coal, furniture, pottery, woolen clothing, and a load of corn.
6241_61943_000011_000003	As usual, the crew was small, five Danes doing the whole of the work.	As usual, the crew was small, five Danes doing the whole of the work.
6241_61943_000012_000000	"How long will the voyage last?" asked my uncle.	"How long will the voyage last?" asked my uncle.
6241_61943_000015_000001	At all events, we shall get there some day."	At all events, we shall get there some day."
6241_61943_000017_000000	The voyage offered no incident worthy of record.	The voyage offered no incident worthy of record.
6241_61943_000017_000001	I bore it very well, but my uncle to his great annoyance, and even shame, was remarkably seasick!	I bore it very well, but my uncle to his great annoyance, and even shame, was remarkably seasick!
6241_61943_000018_000000	On the eleventh day we sighted Cape Portland, over which towered Mount Myrdals Yokul, which, the weather being clear, we made out very readily. The cape itself is nothing but a huge mount of granite standing naked and alone to meet the Atlantic waves.	On the eleventh day we sighted Cape Portland, over which towered Mount Myrdals Yokul, which, the weather being clear, we made out very readily. The cape itself is nothing but a huge mount of granite standing naked and alone to meet the Atlantic waves.
6241_61943_000018_000003	After some hours we came in sight of a solitary rock in the ocean, forming a mighty vault, through which the foaming waves poured with intense fury.	After some hours we came in sight of a solitary rock in the ocean, forming a mighty vault, through which the foaming waves poured with intense fury.
6241_61943_000018_000005	From that moment the schooner was steered to the westward in order to round Cape Reykjanes, the western point of Iceland.	From that moment the schooner was steered to the westward in order to round Cape Reykjanes, the western point of Iceland.
6241_61943_000020_000000	My uncle came out of his cabin pale, haggard, thin, but full of enthusiasm, his eyes dilated with pleasure and satisfaction.	My uncle came out of his cabin pale, haggard, thin, but full of enthusiasm, his eyes dilated with pleasure and satisfaction.
6241_61943_000020_000001	Nearly the whole population of the town was on foot to see us land.	Nearly the whole population of the town was on foot to see us land.
6241_61943_000023_000000	Then without further remark, he put his finger to his lips, frowned darkly, and descended into the small boat which awaited us.	Then without further remark, he put his finger to his lips, frowned darkly, and descended into the small boat which awaited us.
6241_61943_000024_000001	He was, however, but a civil servant, a magistrate, the governor of the island--Baron Trampe.	He was, however, but a civil servant, a magistrate, the governor of the island-Baron Trampe.
