6241_61946_000003_000000	CHAPTER 9	CHAPTER nine
6241_61946_000004_000000	OUR START--WE MEET WITH ADVENTURES BY THE WAY	OUR START-WE MEET WITH ADVENTURES BY THE WAY
6241_61946_000005_000000	The weather was overcast but settled, when we commenced our adventurous and perilous journey.	The weather was overcast but settled, when we commenced our adventurous and perilous journey.
6241_61946_000005_000001	We had neither to fear fatiguing heat nor drenching rain.	We had neither to fear fatiguing heat nor drenching rain.
6241_61946_000005_000002	It was, in fact, real tourist weather.	It was, in fact, real tourist weather.
6241_61946_000006_000000	As there was nothing I liked better than horse exercise, the pleasure of riding through an unknown country caused the early part of our enterprise to be particularly agreeable to me.	As there was nothing I liked better than horse exercise, the pleasure of riding through an unknown country caused the early part of our enterprise to be particularly agreeable to me.
6241_61946_000007_000000	I began to enjoy the exhilarating delight of traveling, a life of desire, gratification and liberty.	I began to enjoy the exhilarating delight of traveling, a life of desire, gratification and liberty.
6241_61946_000007_000001	The truth is, that my spirits rose so rapidly, that I began to be indifferent to what had once appeared to be a terrible journey.	The truth is, that my spirits rose so rapidly, that I began to be indifferent to what had once appeared to be a terrible journey.
6241_61946_000009_000000	There could be no doubt that this was all this terrible Saknussemm had done.	There could be no doubt that this was all this terrible Saknussemm had done.
6241_61946_000009_000002	All, then, that may be required of me I will do cheerfully, and will create no difficulty.	All, then, that may be required of me I will do cheerfully, and will create no difficulty.
6241_61946_000010_000000	It was just before we left Reykjavik that I came to this decision.	It was just before we left Reykjavik that I came to this decision.
6241_61946_000011_000000	Hans, our extraordinary guide, went first, walking with a steady, rapid, unvarying step.	Hans, our extraordinary guide, went first, walking with a steady, rapid, unvarying step.
6241_61946_000011_000001	Our two horses with the luggage followed of their own accord, without requiring whip or spur.	Our two horses with the luggage followed of their own accord, without requiring whip or spur.
6241_61946_000011_000002	My uncle and I came behind, cutting a very tolerable figure upon our small but vigorous animals.	My uncle and I came behind, cutting a very tolerable figure upon our small but vigorous animals.
6241_61946_000012_000001	It contains thirty thousand square miles of surface, and has about seventy thousand inhabitants.	It contains thirty thousand square miles of surface, and has about seventy thousand inhabitants.
6241_61946_000012_000002	Geographers have divided it into four parts, and we had to cross the southwest quarter which in the vernacular is called Sudvestr Fjordungr.	Geographers have divided it into four parts, and we had to cross the southwest quarter which in the vernacular is called Sudvestr Fjordungr.
6241_61946_000013_000000	Hans, on taking his departure from Reykjavik, had followed the line of the sea.	Hans, on taking his departure from Reykjavik, had followed the line of the sea.
6241_61946_000013_000001	We took our way through poor and sparse meadows, which made a desperate effort every year to show a little green.	We took our way through poor and sparse meadows, which made a desperate effort every year to show a little green.
6241_61946_000013_000002	They very rarely succeed in a good show of yellow.	They very rarely succeed in a good show of yellow.
6241_61946_000014_000000	The rugged summits of the rocky hills were dimly visible on the edge of the horizon, through the misty fogs; every now and then some heavy flakes of snow showed conspicuous in the morning light, while certain lofty and pointed rocks were first lost in the grey low clouds, their summits clearly visible above, like jagged reefs rising from a troublous sea.	The rugged summits of the rocky hills were dimly visible on the edge of the horizon, through the misty fogs; every now and then some heavy flakes of snow showed conspicuous in the morning light, while certain lofty and pointed rocks were first lost in the grey low clouds, their summits clearly visible above, like jagged reefs rising from a troublous sea.
6241_61946_000015_000000	Every now and then a spur of rock came down through the arid ground, leaving us scarcely room to pass.	Every now and then a spur of rock came down through the arid ground, leaving us scarcely room to pass.
6241_61946_000015_000001	Our horses, however, appeared not only well acquainted with the country, but by a kind of instinct, knew which was the best road.	Our horses, however, appeared not only well acquainted with the country, but by a kind of instinct, knew which was the best road.
6241_61946_000015_000002	My uncle had not even the satisfaction of urging forward his steed by whip, spur, or voice.	My uncle had not even the satisfaction of urging forward his steed by whip, spur, or voice.
6241_61946_000016_000000	"Good beast, good beast," he would cry.	"Good beast, good beast," he would cry.
6241_61946_000016_000002	Snow, tempest, impracticable roads, rocks, icebergs--nothing stops him.	Snow, tempest, impracticable roads, rocks, icebergs-nothing stops him.
6241_61946_000016_000003	He is brave; he is sober; he is safe; he never makes a false step; never glides or slips from his path.	He is brave; he is sober; he is safe; he never makes a false step; never glides or slips from his path.
6241_61946_000016_000005	We must not, however, attempt to hurry him; we must allow him to have his own way, and I will undertake to say that between us we shall do our ten leagues a day."	We must not, however, attempt to hurry him; we must allow him to have his own way, and I will undertake to say that between us we shall do our ten leagues a day."
6241_61946_000017_000000	"We may do so," was my reply, "but what about our worthy guide?"	"We may do so," was my reply, "but what about our worthy guide?"
6241_61946_000018_000001	Look at Hans.	Look at Hans.
6241_61946_000018_000002	He moves so little that it is impossible for him to become fatigued.	He moves so little that it is impossible for him to become fatigued.
6241_61946_000018_000003	Besides, if he were to complain of weariness, he could have the loan of my horse.	Besides, if he were to complain of weariness, he could have the loan of my horse.
6241_61946_000018_000004	I should have a violent attack of the cramp if I were not to have some sort of exercise.	I should have a violent attack of the cramp if I were not to have some sort of exercise.
6241_61946_000018_000005	My arms are right--but my legs are getting a little stiff."	My arms are right-but my legs are getting a little stiff."
6241_61946_000019_000000	All this while we were advancing at a rapid pace.	All this while we were advancing at a rapid pace.
6241_61946_000019_000001	The country we had reached was already nearly a desert.	The country we had reached was already nearly a desert.
6241_61946_000019_000003	In this country there are no roads, paths are nearly unknown, and vegetation, poor as it was, slowly as it reached perfection, soon obliterated all traces of the few travelers who passed from place to place.	In this country there are no roads, paths are nearly unknown, and vegetation, poor as it was, slowly as it reached perfection, soon obliterated all traces of the few travelers who passed from place to place.
6241_61946_000020_000001	What, then, must be the state of the less known and more distant parts of the island?	What, then, must be the state of the less known and more distant parts of the island?
6241_61946_000021_000000	A few stray cows and sheep were only seen occasionally.	A few stray cows and sheep were only seen occasionally.
6241_61946_000021_000001	What, then, must we expect when we come to the upheaved regions--to the districts broken and roughened from volcanic eruptions and subterraneous commotions?	What, then, must we expect when we come to the upheaved regions-to the districts broken and roughened from volcanic eruptions and subterraneous commotions?
6241_61946_000022_000000	We were to learn this all in good time.	We were to learn this all in good time.
6241_61946_000022_000002	In reality, the great volcanic movement of the island, and all its attendant phenomena, are concentrated in the interior of the island; there, horizontal layers or strata of rocks, piled one upon the other, eruptions of basaltic origin, and streams of lava, have given this country a kind of supernatural reputation.	In reality, the great volcanic movement of the island, and all its attendant phenomena, are concentrated in the interior of the island; there, horizontal layers or strata of rocks, piled one upon the other, eruptions of basaltic origin, and streams of lava, have given this country a kind of supernatural reputation.
6241_61946_000023_000000	Little did I expect, however, the spectacle which awaited us when we reached the peninsula of Sneffels, where agglomerations of nature's ruins form a kind of terrible chaos.	Little did I expect, however, the spectacle which awaited us when we reached the peninsula of Sneffels, where agglomerations of nature's ruins form a kind of terrible chaos.
6241_61946_000024_000001	It consists simply of a few houses--not what in England or Germany we should call a hamlet.	It consists simply of a few houses-not what in England or Germany we should call a hamlet.
6241_61946_000025_000000	Hans stopped here one half hour.	Hans stopped here one half hour.
6241_61946_000025_000001	He shared our frugal breakfast, answered Yes, and No to my uncle's questions as to the nature of the road, and at last when asked where we were to pass the night was as laconic as usual.	He shared our frugal breakfast, answered Yes, and No to my uncle's questions as to the nature of the road, and at last when asked where we were to pass the night was as laconic as usual.
6241_61946_000027_000001	I pointed this out to my uncle, who made a very energetic grimace.	I pointed this out to my uncle, who made a very energetic grimace.
6241_61946_000029_000000	He was about to make some energetic observation to the guide, but Hans, without taking the slightest notice of him, went in front of the horses, and walked ahead with the same imperturbable phlegm he had always exhibited.	He was about to make some energetic observation to the guide, but Hans, without taking the slightest notice of him, went in front of the horses, and walked ahead with the same imperturbable phlegm he had always exhibited.
6241_61946_000030_000000	Three hours later, still traveling over those apparently interminable and sandy prairies, we were compelled to go round the Kollafjord, an easier and shorter cut than crossing the gulfs.	Three hours later, still traveling over those apparently interminable and sandy prairies, we were compelled to go round the Kollafjord, an easier and shorter cut than crossing the gulfs.
6241_61946_000030_000002	These sacred edifices are, however, very much like these people, who do without watches--and never miss them.	These sacred edifices are, however, very much like these people, who do without watches-and never miss them.
6241_61946_000033_000001	The sweeping and broken waves came rolling in upon the pointed rocks; the gulf was surrounded by rocky walls--a mighty cliff, three thousand feet in height, remarkable for its brown strata, separated here and there by beds of tufa of a reddish hue.	The sweeping and broken waves came rolling in upon the pointed rocks; the gulf was surrounded by rocky walls-a mighty cliff, three thousand feet in height, remarkable for its brown strata, separated here and there by beds of tufa of a reddish hue.
6241_61946_000033_000002	Now, whatever may have been the intelligence of our horses, I had not the slightest reliance upon them, as a means of crossing a stormy arm of the sea.	Now, whatever may have been the intelligence of our horses, I had not the slightest reliance upon them, as a means of crossing a stormy arm of the sea.
6241_61946_000033_000003	To ride over salt water upon the back of a little horse seemed to me absurd.	To ride over salt water upon the back of a little horse seemed to me absurd.
6241_61946_000034_000000	"If they are really intelligent," I said to myself, "they will certainly not make the attempt.	"If they are really intelligent," I said to myself, "they will certainly not make the attempt.
6241_61946_000034_000001	In any case, I shall trust rather to my own intelligence than theirs."	In any case, I shall trust rather to my own intelligence than theirs."
6241_61946_000035_000000	But my uncle was in no humor to wait.	But my uncle was in no humor to wait.
6241_61946_000035_000001	He dug his heels into the sides of his steed, and made for the shore.	He dug his heels into the sides of his steed, and made for the shore.
6241_61946_000035_000002	His horse went to the very edge of the water, sniffed at the approaching wave and retreated.	His horse went to the very edge of the water, sniffed at the approaching wave and retreated.
6241_61946_000036_000003	At length the sturdy little pony, spreading out his legs, in a stiff and ludicrous attitude, got from under the Professor's legs, and left him standing, with both feet on a separate stone, like the Colossus of Rhodes.	At length the sturdy little pony, spreading out his legs, in a stiff and ludicrous attitude, got from under the Professor's legs, and left him standing, with both feet on a separate stone, like the Colossus of Rhodes.
6241_61946_000039_000000	"What, a ferry boat!"	"What, a ferry boat!"
6241_61946_000040_000000	"Der," answered Hans, pointing to where lay the boat in question--"there."	"Der," answered Hans, pointing to where lay the boat in question-"there."
6241_61946_000042_000000	"Why did you not say so before," cried my uncle; "why not start at once?"	"Why did you not say so before," cried my uncle; "why not start at once?"
6241_61946_000043_000000	"Tidvatten," said the guide.	"Tidvatten," said the guide.
6241_61946_000044_000000	"What does he say?" I asked, considerably puzzled by the delay and the dialogue.	"What does he say?" I asked, considerably puzzled by the delay and the dialogue.
6241_61946_000045_000000	"He says tide," replied my uncle, translating the Danish word for my information.	"He says tide," replied my uncle, translating the Danish word for my information.
6241_61946_000046_000000	"Of course I understand--we must wait till the tide serves."	"Of course I understand-we must wait till the tide serves."
6241_61946_000047_000000	"For bida?" asked my uncle.	"For bida?" asked my uncle.
6241_61946_000049_000000	My uncle frowned, stamped his feet and then followed the horses to where the boat lay.	My uncle frowned, stamped his feet and then followed the horses to where the boat lay.
6241_61946_000050_000000	I thoroughly understood and appreciated the necessity for waiting, before crossing the fjord, for that moment when the sea at its highest point is in a state of slack water.	I thoroughly understood and appreciated the necessity for waiting, before crossing the fjord, for that moment when the sea at its highest point is in a state of slack water.
6241_61946_000051_000000	The favorable moment did not come until six o'clock in the evening.	The favorable moment did not come until six o'clock in the evening.
6241_61946_000051_000001	Then my uncle, myself, and guide, two boatmen and the four horses got into a very awkward flat-bottom boat.	Then my uncle, myself, and guide, two boatmen and the four horses got into a very awkward flat bottom boat.
6241_61946_000051_000002	Accustomed as I had been to the steam ferry boats of the Elbe, I found the long oars of the boatmen but sorry means of locomotion.	Accustomed as I had been to the steam ferry boats of the Elbe, I found the long oars of the boatmen but sorry means of locomotion.
