6241_66616_000000_000000	With the Indian's arm about his waist, the two set off into the tamaracks.	With the Indian's arm about his waist, the two set off into the tamaracks.	false	0	2.43	21.673075
6241_66616_000000_000001	Fifteen minutes later they came to the bank of a small frozen river.	Fifteen minutes later they came to the bank of a small frozen river.	false	2.43	5.1	20.879066
6241_66616_000000_000002	On the opposite side of this, a hundred yards down, was a sight which both, as if by a common impulse, welcomed with a glad cry.	On the opposite side of this, a hundred yards down, was a sight which both, as if by a common impulse, welcomed with a glad cry.	false	5.1	6.27	18
6241_66616_000000_000003	Close to the shore, sheltered by a dense growth of spruce, was a bright camp-fire.	Close to the shore, sheltered by a dense growth of spruce, was a bright camp fire.	false	6.27	7.71	13
6241_66616_000000_000004	In response to Wabi's far-reaching whoop a shadowy figure appeared in the glow and returned the shout.	In response to Wabi's far reaching whoop a shadowy figure appeared in the glow and returned the shout.	false	7.71	9.69	22.289865
6241_66616_000001_000000	"Mukoki!" cried the Indian.	"Mukoki!" cried the Indian.	false	9.69	11.13	13
6241_66616_000002_000000	"Mukoki!" laughed Rod, happy that the end was near.	"Mukoki!" laughed Rod, happy that the end was near.	false	11.13	14.37	21.431723
6241_66616_000003_000000	Even as he spoke he swayed dizzily, and Wabi dropped his gun that he might keep his companion from falling into the snow.	Even as he spoke he swayed dizzily, and w a b i dropped his gun that he might keep his companion from falling into the snow.	false	14.37	21.93	20.164232
6241_66616_000004_000000	CHAPTER II	CHAPTER two	true	21.93	22.9	22.1363
6241_66616_000005_000000	HOW WABIGOON BECAME A WHITE MAN	HOW w a b i g o o n BECAME A WHITE MAN	false	23.12	25.75	17.683311
6241_66616_000006_000000	Had the young hunters the power of looking into the future, their camp-fire that night on the frozen Ombabika might have been one of their last, and a few days later would have seen them back on the edges of civilization.	Had the young hunters the power of looking into the future, their camp fire that night on the frozen Ombabika might have been one of their last, and a few days later would have seen them back on the edges of civilization.	true	26.3	37.39	20.395958
6241_66616_000006_000001	Possibly, could they have foreseen the happy culmination of the adventures that lay before them, they would still have gone on, for the love of excitement is strong in the heart of robust youth.	Possibly, could they have foreseen the happy culmination of the adventures that lay before them, they would still have gone on, for the love of excitement is strong in the heart of robust youth.	true	37.7	47.2	19.019001
6241_66616_000006_000002	But this power of discernment was denied them, and only in after years, with the loved ones of their own firesides close about them, was the whole picture revealed.	But this power of discernment was denied them, and only in after years, with the loved ones of their own firesides close about them, was the whole picture revealed.	true	47.63	56.56	20.429049
6241_66616_000006_000003	And in those days, when they would gather with their families about the roaring logs of winter and live over again their early youth, they knew that all the gold in the world would not induce them to part with their memories of the life that had gone before.	And in those days, when they would gather with their families about the roaring logs of winter and live over again their early youth, they knew that all the gold in the world would not induce them to part with their memories of the life that had gone before.	false	56.99	68.82	19.521414
6241_66616_000007_000000	A little less than thirty years previous to the time of which we write, a young man named John Newsome left the great city of London for the New World.	A little less than thirty years previous to the time of which we write, a young man named john Newsome left the great city of London for the New World.	false	68.82	77.71	18.995296
6241_66616_000007_000001	Fate had played a hard game with young Newsome--had first robbed him of both parents, and then in a single fitful turn of her wheel deprived him of what little property he had inherited.	Fate had played a hard game with young Newsome-had first robbed him of both parents, and then in a single fitful turn of her wheel deprived him of what little property he had inherited.	false	77.87	87.49	21.215921
6241_66616_000007_000002	A little later he came to Montreal, and being a youth of good education and considerable ambition, he easily secured a position and worked himself into the confidence of his employers, obtaining an appointment as factor at Wabinosh House, a Post deep in the wilderness of Lake Nipigon.	A little later he came to Montreal, and being a youth of good education and considerable ambition, he easily secured a position and worked himself into the confidence of his employers, obtaining an appointment as factor at Wabinosh House, a Post deep in the wilderness of Lake Nipigon.	true	88.31	103.3	19
6241_66616_000008_000000	In the second year of his reign at Wabinosh--a factor is virtually king in his domain--there came to the Post an Indian chief named Wabigoon, and with him his daughter, Minnetaki, in honor of whose beauty and virtue a town was named in after years.	In the second year of his reign at Wabinosh-a factor is virtually king in his domain-there came to the Post an Indian chief named Wabigoon, and with him his daughter, Minnetaki, in honor of whose beauty and virtue a town was named in after years.	false	104.51	117.7	19.83771
6241_66616_000008_000001	Minnetaki was just budding into the early womanhood of her race, and possessed a beauty seldom seen among Indian maidens.	Minnetaki was just budding into the early womanhood of her race, and possessed a beauty seldom seen among Indian maidens.	true	118.4	125.02	18.842556
6241_66616_000008_000002	If there is such a thing as love at first sight, it sprang into existence the moment John Newsome's eyes fell upon this lovely princess.	If there is such a thing as love at first sight, it sprang into existence the moment john Newsome's eyes fell upon this lovely princess.	true	125.24	132.25	20.95899
6241_66616_000008_000003	Thereafter his visits to Wabigoon's village, thirty miles deeper in the wilderness, were of frequent occurrence.	Thereafter his visits to Wabigoon's village, thirty miles deeper in the wilderness, were of frequent occurrence.	false	132.32	138.91	20.045029
6241_66616_000008_000004	From the beginning Minnetaki returned the young factor's affections, but a most potent reason prevented their marriage.	From the beginning Minnetaki returned the young factor's affections, but a most potent reason prevented their marriage.	true	139.61	145.39	20.500402
6241_66616_000008_000005	For a long time Minnetaki had been ardently wooed by a powerful young chief named Woonga, whom she cordially detested, but upon whose favor and friendship depended the existence of her father's sway over his hunting-grounds.	For a long time Minnetaki had been ardently wooed by a powerful young chief named Woonga, whom she cordially detested, but upon whose favor and friendship depended the existence of her father's sway over his hunting grounds.	true	145.61	157.93	19.82274
6241_66616_000009_000000	With the advent of the young factor the bitterest rivalry sprang up between the two suitors, which resulted in two attempts upon Newsome's life, and an ultimatum sent by Woonga to Minnetaki's father.	With the advent of the young factor the bitterest rivalry sprang up between the two suitors, which resulted in two attempts upon Newsome's life, and an ultimatum sent by Woonga to Minnetaki's father.	true	159.68	170.71	19.431448
6241_66616_000009_000001	Minnetaki herself replied to this ultimatum.	Minnetaki herself replied to this ultimatum.	true	171.65	174.31	21.90266
6241_66616_000009_000002	It was a reply that stirred the fires of hatred and revenge to fever heat in Woonga's breast.	It was a reply that stirred the fires of hatred and revenge to fever heat in Woonga's breast.	true	174.44	179.23	17
6241_66616_000009_000003	One dark night, at the head of a score of his tribe, he fell upon Wabigoon's camp, his object being the abduction of the princess.	One dark night, at the head of a score of his tribe, he fell upon Wabigoon's camp, his object being the abduction of the princess.	true	179.93	187.24	19.988256
6241_66616_000009_000004	While the attack was successful in a way, its main purpose failed.	While the attack was successful in a way, its main purpose failed.	false	188.03	192.51	21.38427
6241_66616_000009_000005	Wabigoon and a dozen of his tribesmen were slain, but in the end Woonga was driven off.	Wabigoon and a dozen of his tribesmen were slain, but in the end Woonga was driven off.	false	192.51	196.66	18
6241_66616_000010_000000	A swift messenger brought news of the attack and of the old chief's death to Wabinosh House, and with a dozen men Newsome hastened to the assistance of his betrothed and her people.	A swift messenger brought news of the attack and of the old chief's death to Wabinosh House, and with a dozen men Newsome hastened to the assistance of his betrothed and her people.	false	197.12	206.08	17
6241_66616_000010_000001	A counter attack was made upon Woonga and he was driven deep into the wilderness with great loss. Three days later Minnetaki became Newsome's wife at the Hudson Bay Post.	A counter attack was made upon Woonga and he was driven deep into the wilderness with great loss. Three days later Minnetaki became Newsome's wife at the Hudson Bay Post.	true	206.54	216.28	19.81761
6241_66616_000011_000000	From that hour dated one of the most sanguinary feuds in the history of the great trading company; a feud which, as we shall see, was destined to live even unto the second generation.	From that hour dated one of the most sanguinary feuds in the history of the great trading company; a feud which, as we shall see, was destined to live even unto the second generation.	true	217.34	227.62	19
6241_66616_000012_000000	Woonga and his tribe now became no better than outlaws, and preyed so effectively upon the remnants of the dead Wabigoon's people that the latter were almost exterminated.	Woonga and his tribe now became no better than outlaws, and preyed so effectively upon the remnants of the dead Wabigoon's people that the latter were almost exterminated.	false	228.74	237.52	19
6241_66616_000012_000001	Those who were left moved to the vicinity of the Post.	Those who were left moved to the vicinity of the Post.	true	238.31	241.21	20.09114
6241_66616_000012_000002	Hunters from Wabinosh House were ambushed and slain.	Hunters from Wabinosh House were ambushed and slain.	true	241.37	244.09	17.66488
6241_66616_000012_000003	Indians who came to the Post to trade were regarded as enemies, and the passing of years seemed to make but little difference.	Indians who came to the Post to trade were regarded as enemies, and the passing of years seemed to make but little difference.	true	244.37	251.17	19.988302
6241_66616_000012_000004	The feud still existed.	The feud still existed.	true	251.18	252.82	21.13075
6241_66616_000012_000005	The outlaws came to be spoken of as "Woongas," and a Woonga was regarded as a fair target for any man's rifle.	The outlaws came to be spoken of as "Woongas," and a Woonga was regarded as a fair target for any man's rifle.	false	253.46	259.63	19.084747
6241_66616_000013_000000	Meanwhile two children came to bless the happy union of Newsome and his lovely Indian wife.	Meanwhile two children came to bless the happy union of Newsome and his lovely Indian wife.	true	260.3	265.63	19.800856
6241_66616_000013_000001	One of these, the eldest, was a boy, and in honor of the old chief he was named Wabigoon, and called Wabi for short.	One of these, the eldest, was a boy, and in honor of the old chief he was named Wabigoon, and called w a b i for short.	false	265.79	272.71	19
6241_66616_000013_000002	The other was a girl, three years younger, and Newsome insisted that she be called Minnetaki.	The other was a girl, three years younger, and Newsome insisted that she be called Minnetaki.	true	273.08	277.84	19.853937
6241_66616_000013_000003	Curiously enough, the blood of Wabi ran almost pure to his Indian forefathers, while Minnetaki, as she became older, developed less of the wild beauty of her mother and more of the softer loveliness of the white race, her wealth of soft, jet black hair and her great dark eyes contrasting with the lighter skin of her father's blood.	Curiously enough, the blood of w a b i ran almost pure to his Indian forefathers, while Minnetaki, as she became older, developed less of the wild beauty of her mother and more of the softer loveliness of the white race, her wealth of soft, jet black hair and her great dark eyes contrasting with the lighter skin of her father's blood.	false	278.12	295.74	19.426529
6241_66616_000013_000004	Wabi, on the other hand, was an Indian in appearance from his moccasins to the crown of his head, swarthy, sinewy, as agile as a lynx, and with every instinct in him crying for the life of the wild.	w a b i, on the other hand, was an Indian in appearance from his moccasins to the crown of his head, swarthy, sinewy, as agile as a lynx, and with every instinct in him crying for the life of the wild.	false	295.74	307.27	21.228111
6241_66616_000013_000005	Yet born in him was a Caucasian shrewdness and intelligence that reached beyond the factor himself.	Yet born in him was a Caucasian shrewdness and intelligence that reached beyond the factor himself.	true	307.37	312.58	19
6241_66616_000014_000000	One of Newsome's chief pleasures in life had been the educating of his woodland bride, and it was the ambition of both that the little Minnetaki and her brother be reared in the ways of white children. Consequently both mother and father began their education at the Post; they were sent to the factor's school and two winters were passed in Port Arthur that they might have the advantage of thoroughly equipped schools.	One of Newsome's chief pleasures in life had been the educating of his woodland bride, and it was the ambition of both that the little Minnetaki and her brother be reared in the ways of white children. Consequently both mother and father began their education at the Post; they were sent to the factor's school and two winters were passed in Port Arthur that they might have the advantage of thoroughly equipped schools.	false	313.07	332.77	19
6241_66616_000014_000001	The children proved themselves unusually bright pupils, and by the time Wabi was sixteen and Minnetaki twelve one would not have known from their manner of speech that Indian blood ran in their veins.	The children proved themselves unusually bright pupils, and by the time w a b i was sixteen and Minnetaki twelve one would not have known from their manner of speech that Indian blood ran in their veins.	false	333.38	343.69	19
6241_66616_000014_000002	Yet both, by the common desire of their parents, were familiar with the life of the Indian and could talk fluently the tongue of their mother's people.	Yet both, by the common desire of their parents, were familiar with the life of the Indian and could talk fluently the tongue of their mother's people.	false	343.73	350.8	19.363522
6241_66616_000015_000000	It was at about this time in their lives that the Woongas became especially daring in their depredations.	It was at about this time in their lives that the Woongas became especially daring in their depredations.	true	351.29	356.08	17
6241_66616_000015_000001	These outlaws no longer pretended to earn their livelihood by honest means, but preyed upon trappers and other Indians without discrimination, robbing and killing whenever safe opportunities offered themselves.	These outlaws no longer pretended to earn their livelihood by honest means, but preyed upon trappers and other Indians without discrimination, robbing and killing whenever safe opportunities offered themselves.	true	356.3	366.82	16
6241_66616_000015_000002	The hatred for the people of Wabinosh House became hereditary, and the Woonga children grew up with it in their hearts.	The hatred for the people of Wabinosh House became hereditary, and the Woonga children grew up with it in their hearts.	false	367.28	373.3	17
6241_66616_000015_000003	The real cause of the feud had been forgotten by many, though not by Woonga himself.	The real cause of the feud had been forgotten by many, though not by Woonga himself.	true	374.27	378.79	19
6241_66616_000015_000004	At last so daring did he become that the provincial government placed a price upon his head and upon those of a number of his most notorious followers.	At last so daring did he become that the provincial government placed a price upon his head and upon those of a number of his most notorious followers.	true	379.22	387.4	17
6241_66616_000015_000005	For a time the outlaws were driven from the country, but the bloodthirsty chief himself could not be captured.	For a time the outlaws were driven from the country, but the bloodthirsty chief himself could not be captured.	true	387.92	393.58	18.531939
6241_66616_000016_000000	When Wabi was seventeen years of age it was decided that he should be sent to some big school in the States for a year.	When w a b i was seventeen years of age it was decided that he should be sent to some big school in the States for a year.	false	394.67	400.27	17
6241_66616_000016_000001	Against this plan the young Indian--nearly all people regarded him as an Indian, and Wabi was proud of the fact--fought with all of the arguments at his command.	Against this plan the young Indian-nearly all people regarded him as an Indian, and w a b i was proud of the fact-fought with all of the arguments at his command.	false	400.76	409.48	19.573002
6241_66616_000016_000002	He loved the wilds with the passion of his mother's race.	He loved the wilds with the passion of his mother's race.	true	409.79	412.45	13.962491
6241_66616_000016_000003	His nature revolted at the thoughts of a great city with its crowded streets, its noise, and bustle, and dirt.	His nature revolted at the thoughts of a great city with its crowded streets, its noise, and bustle, and dirt.	true	413.15	419.08	19
6241_66616_000016_000004	It was then that Minnetaki pleaded with him, begged him to go for just one year, and to come back and tell her of all he had seen and teach her what he had learned.	It was then that Minnetaki pleaded with him, begged him to go for just one year, and to come back and tell her of all he had seen and teach her what he had learned.	true	419.39	427.95	19.445024
