6295_64301_000000_000000	CHAPTER LVI.	CHAPTER fifty six.	false	0.27	22.09	21.693039
6295_64301_000001_000000	A CATASTROPHE.	A CATASTROPHE.	true	22.61	24.25	20.427874
6295_64301_000002_000000	One winter evening, as soon as his work was over for the day, Joseph locked the door of his smithy, washed himself well, put on clean clothes, and, taking his violin, set out for Testbridge: Mary was expecting him to tea.	One winter evening, as soon as his work was over for the day, Joseph locked the door of his smithy, washed himself well, put on clean clothes, and, taking his violin, set out for Testbridge: Mary was expecting him to tea.	true	26.03	42.85	20.79648
6295_64301_000002_000001	It was the afternoon of a holiday, and she had closed early.	It was the afternoon of a holiday, and she had closed early.	true	43.85	47.92	21.320946
6295_64301_000003_000000	Was there ever a happier man than Joseph that night as he strode along the footpath?	Was there ever a happier man than Joseph that night as he strode along the footpath?	true	48.77	54.79	19.571352
6295_64301_000003_000001	A day of invigorating and manly toil behind him, folded up in the sense of work accomplished; a clear sky overhead, beginning to breed stars; the pale amber hope of to-morrow's sunrise low down in the west; a frosty air around him, challenging to the surface the glow of the forge which his day's labor had stored in his body; his heart and brain at rest with his father in heaven; his precious violin under his arm; before him the welcoming parlor, where two sweet women waited his coming, one of them the brightest angel, in or out of heaven, to him; and the prospect of a long evening of torrent-music between them--who, I repeat, could have been more blessed, heart, and soul, and body, than Joseph Jasper?	A day of invigorating and manly toil behind him, folded up in the sense of work accomplished; a clear sky overhead, beginning to breed stars; the pale amber hope of to morrow's sunrise low down in the west; a frosty air around him, challenging to the surface the glow of the forge which his day's labor had stored in his body; his heart and brain at rest with his father in heaven; his precious violin under his arm; before him the welcoming parlor, where two sweet women waited his coming, one of them the brightest angel, in or out of heaven, to him; and the prospect of a long evening of torrent music between them-who, I repeat, could have been more blessed, heart, and soul, and body, than Joseph Jasper?	false	55.46	117.76	19.891094
6295_64301_000003_000002	His being was like an all-sided lens concentrating all joys in the one heart of his consciousness.	His being was like an all sided lens concentrating all joys in the one heart of his consciousness.	true	118.04	126.82	20.08057
6295_64301_000003_000003	God only knows how blessed he could make us if we would but let him!	God only knows how blessed he could make us if we would but let him!	true	127.37	132.88	18.5924
6295_64301_000003_000004	He pressed his violin-case to his heart, as if it were a living thing that could know that he loved it.	He pressed his violin case to his heart, as if it were a living thing that could know that he loved it.	true	133.76	139.99	19
6295_64301_000004_000000	Before he reached the town, the stars were out, and the last of the sunset had faded away.	Before he reached the town, the stars were out, and the last of the sunset had faded away.	true	140.36	146.47	19.873299
6295_64301_000004_000001	Earth was gone, and heaven was all.	Earth was gone, and heaven was all.	true	147.29	150.37	22.836252
6295_64301_000004_000002	Joseph was now a reader, and read geology and astronomy: "I've got to do with them all!" he said to himself, looking up.	Joseph was now a reader, and read geology and astronomy: "I've got to do with them all!" he said to himself, looking up.	true	151.1	160.15	19.778801
6295_64301_000004_000003	"There lie the fields of my future, when this chain of gravity is unbound from my feet!	"There lie the fields of my future, when this chain of gravity is unbound from my feet!	false	160.34	168.13	17.703228
