6313_66129_000001_000000	CHAPTER XII	CHAPTER twelve
6313_66129_000002_000000	ROUGH RIDERS IN THE SADDLE	ROUGH RIDERS IN THE SADDLE
6313_66129_000004_000002	He no doubt would bring food of some kind with him.	He no doubt would bring food of some kind with him.
6313_66129_000004_000003	The fire would be ready and thus no time would be lost in preparing the first meal of the day, which, in this case, would be breakfast, dinner and supper all in one.	The fire would be ready and thus no time would be lost in preparing the first meal of the day, which, in this case, would be breakfast, dinner and supper all in one.
6313_66129_000005_000000	The boys awaited the guide's approach with impatience, some pacing back and forth, while others coaxed the fire into a roaring blaze, at the same time confiding to each other how hungry they were.	The boys awaited the guide's approach with impatience, some pacing back and forth, while others coaxed the fire into a roaring blaze, at the same time confiding to each other how hungry they were.
6313_66129_000007_000000	It was a gladsome sound to this band of hungry boys, whose ordinarily healthy appetites, under the bracing mountain air and the long fast, had taken on what the Professor described as a "razor edge."	It was a gladsome sound to this band of hungry boys, whose ordinarily healthy appetites, under the bracing mountain air and the long fast, had taken on what the Professor described as a "razor edge."
6313_66129_000008_000000	"Now you may go," he nodded.	"Now you may go," he nodded.
6313_66129_000009_000000	With a shout, the boys dashed pell-mell to meet the pack train, and, falling in behind the slow-moving burros, urged them on with derisive shouts and sundry resounding slaps on the animals' flanks.	With a shout, the boys dashed pell mell to meet the pack train, and, falling in behind the slow moving burros, urged them on with derisive shouts and sundry resounding slaps on the animals' flanks.
6313_66129_000010_000000	"Had anything to eat!" asked the guide.	"Had anything to eat!" asked the guide.
6313_66129_000011_000000	"Not enough to give us indigestion," answered Ned.	"Not enough to give us indigestion," answered Ned.
6313_66129_000011_000001	"Cold water is the most nourishing thing we've touched since last night."	"Cold water is the most nourishing thing we've touched since last night."
6313_66129_000012_000000	"But I left you a rabbit.	"But I left you a rabbit.
6313_66129_000012_000001	Didn't you find it?"	Didn't you find it?"
6313_66129_000013_000000	"We did not.	"We did not.
6313_66129_000013_000001	It must have come to life some time during the night and dug its way out," laughed Tad.	It must have come to life some time during the night and dug its way out," laughed Tad.
6313_66129_000014_000000	"And we've got a surprise for you," announced Stacy, swelling with pride.	"And we've got a surprise for you," announced Stacy, swelling with pride.
6313_66129_000016_000000	"You'll see when you get to camp," answered Chunky.	"You'll see when you get to camp," answered Chunky.
6313_66129_000016_000001	"I don't need guns to hunt with.	"I don't need guns to hunt with.
6313_66129_000016_000002	A stout club for mine."	A stout club for mine."
6313_66129_000018_000000	By the time the meal was ready the tents had been pitched and the boys had returned from the spring, rubbing their faces with their coarse towels, their cheeks glowing and their eyes sparkling in anticipation of the feast.	By the time the meal was ready the tents had been pitched and the boys had returned from the spring, rubbing their faces with their coarse towels, their cheeks glowing and their eyes sparkling in anticipation of the feast.
6313_66129_000019_000000	Chunky reached the table first, greedily surveying what had been placed on it.	Chunky reached the table first, greedily surveying what had been placed on it.
6313_66129_000020_000000	"Hooray, fellows!" he shouted.	"Hooray, fellows!" he shouted.
6313_66129_000020_000002	What do you think of that?"	What do you think of that?"
6313_66129_000021_000000	"Honey?	"Honey?
6313_66129_000021_000001	Why, Mr. Thomas, where did you get honey?" asked Walter.	Why, mr Thomas, where did you get honey?" asked Walter.
6313_66129_000022_000000	"Found a bee tree on my way back, and cut it down.	"Found a bee tree on my way back, and cut it down.
6313_66129_000023_000000	"We'll take all chances," advised Ned.	"We'll take all chances," advised Ned.
6313_66129_000023_000001	"But what's this!	"But what's this!
6313_66129_000023_000002	It looks like jam."	It looks like jam."
6313_66129_000025_000000	"Yes; wild plum jam," answered the guide.	"Yes; wild plum jam," answered the guide.
6313_66129_000027_000000	"Now, fall to, young gentlemen," directed the Professor.	"Now, fall to, young gentlemen," directed the Professor.
6313_66129_000027_000001	"I am free to admit that I am hungry, too.	"I am free to admit that I am hungry, too.
6313_66129_000027_000002	I think I shall help myself to some of that wild plum jam and biscuit, first It reminds me of old times.	I think I shall help myself to some of that wild plum jam and biscuit, first It reminds me of old times.
6313_66129_000027_000003	We sometimes had jam when I was with the German----"	We sometimes had jam when I was with the German----"
6313_66129_000028_000000	"Army," added Ned.	"Army," added Ned.
6313_66129_000029_000000	"Yes."	"Yes."
6313_66129_000031_000000	Chunky did even better than that.	Chunky did even better than that.
6313_66129_000031_000001	He buried his biscuit under a layer of jam, over which he spread a thick coating of honey.	He buried his biscuit under a layer of jam, over which he spread a thick coating of honey.
6313_66129_000032_000000	Ned fixed him with a stern eye.	Ned fixed him with a stern eye.
6313_66129_000033_000000	"Remember, sir, that a certain amount of dignity befits the office of president of the Pony Riders Club," he said.	"Remember, sir, that a certain amount of dignity befits the office of president of the Pony Riders Club," he said.
6313_66129_000034_000000	Chunky colored.	Chunky colored.
6313_66129_000035_000000	"It's good, anyway."	"It's good, anyway."
6313_66129_000036_000000	"Then, I think I'll try some myself," announced Ned, helping himself liberally to the honey and jam.	"Then, I think I'll try some myself," announced Ned, helping himself liberally to the honey and jam.
6313_66129_000036_000001	"I'd lose my dignity for a mouthful of that, any day," he decided after having sampled the combination. "President Brown, I withdraw my criticism.	"I'd lose my dignity for a mouthful of that, any day," he decided after having sampled the combination. "President Brown, I withdraw my criticism.
6313_66129_000036_000002	I offer you my humble apologies.	I offer you my humble apologies.
6313_66129_000036_000004	Next thing we know you'll be providing us with bear steak."	Next thing we know you'll be providing us with bear steak."
6313_66129_000037_000001	"Are there bears up here?"	"Are there bears up here?"
6313_66129_000038_000000	"I reckon there are," smiled the guide.	"I reckon there are," smiled the guide.
6313_66129_000038_000001	"We are in the bear country now.	"We are in the bear country now.
6313_66129_000038_000003	I came near losing my life too, and----"	I came near losing my life too, and----"
6313_66129_000039_000000	"A cave?" interrupted Tad.	"A cave?" interrupted Tad.
6313_66129_000040_000000	"Yes, the country is full of caves.	"Yes, the country is full of caves.
6313_66129_000040_000002	Besides this, there are many abandoned mines up the range further.	Besides this, there are many abandoned mines up the range further.
6313_66129_000042_000000	"All you want.	"All you want.
6313_66129_000043_000000	This announcement filled the boys with excitement.	This announcement filled the boys with excitement.
6313_66129_000044_000000	"What I want to know, is, when do we go hunting?" asked Ned.	"What I want to know, is, when do we go hunting?" asked Ned.
6313_66129_000045_000000	"That depends.	"That depends.
6313_66129_000045_000001	Perhaps Tuesday.	Perhaps Tuesday.
6313_66129_000045_000002	We shall need a dog.	We shall need a dog.
6313_66129_000045_000003	But I know an old settler who will lend us his dog, if it is not out.	But I know an old settler who will lend us his dog, if it is not out.
6313_66129_000045_000004	Of course, dogs can't follow the trail of an animal as well, now, as they could with snow on the ground.	Of course, dogs can't follow the trail of an animal as well, now, as they could with snow on the ground.
6313_66129_000045_000005	But this dog, you will find, is a wonder.	But this dog, you will find, is a wonder.
6313_66129_000046_000000	"I think I'll ride my own pony and let the dog walk," announced Ned.	"I think I'll ride my own pony and let the dog walk," announced Ned.
6313_66129_000047_000000	Supper having been finished, the party gathered about the camp fire for their evening chat, after which, admonishing Stacy to keep within his tent and not to go borrowing trouble, the boys turned in for a sound sleep.	Supper having been finished, the party gathered about the camp fire for their evening chat, after which, admonishing Stacy to keep within his tent and not to go borrowing trouble, the boys turned in for a sound sleep.
6313_66129_000048_000000	As yet, they had been unable to attempt any fancy riding with their ponies, owing to the rugged nature of the country through which they had been journeying.	As yet, they had been unable to attempt any fancy riding with their ponies, owing to the rugged nature of the country through which they had been journeying.
6313_66129_000049_000000	The guide said that, by making a detour in their journey that day, they would cross table lands several acres in extent and covered with grass.	The guide said that, by making a detour in their journey that day, they would cross table lands several acres in extent and covered with grass.
6313_66129_000050_000002	The trail is so plainly marked that he can't miss it."	The trail is so plainly marked that he can't miss it."
6313_66129_000051_000000	The boys were now all anxiety to start, while the ponies, after their Sunday rest, were almost as full of life as were their owners.	The boys were now all anxiety to start, while the ponies, after their Sunday rest, were almost as full of life as were their owners.
6313_66129_000051_000001	The little animals were becoming more sure-footed every day, and Ned said that, before the trip was finished, "Jimmie" would be able to walk a slack rope.	The little animals were becoming more sure footed every day, and Ned said that, before the trip was finished, "Jimmie" would be able to walk a slack rope.
6313_66129_000052_000000	An early start was made, so that the party reached the promised table lands shortly before ten o'clock in the forenoon.	An early start was made, so that the party reached the promised table lands shortly before ten o'clock in the forenoon.
6313_66129_000052_000001	A temporary camp was quickly pitched.	A temporary camp was quickly pitched.
6313_66129_000053_000000	At their urgent request, Professor Zepplin told the boys to go ahead and enjoy themselves.	At their urgent request, Professor Zepplin told the boys to go ahead and enjoy themselves.
6313_66129_000054_000001	"I guess I had better go along to see that you do not."	"I guess I had better go along to see that you do not."
6313_66129_000055_000000	They assured him that nothing was further from their intention, and quickly casting aside guns and cartridge belts, they threw themselves into their saddles again for a jolly romp.	They assured him that nothing was further from their intention, and quickly casting aside guns and cartridge belts, they threw themselves into their saddles again for a jolly romp.
6313_66129_000056_000000	The great, green field, surrounded on all sides by tall trees, made the place an ideal one for their purpose.	The great, green field, surrounded on all sides by tall trees, made the place an ideal one for their purpose.
6313_66129_000057_000001	"Suppose we start with a race?	"Suppose we start with a race?
6313_66129_000057_000002	We'll race the length of the field and back.	We'll race the length of the field and back.
6313_66129_000057_000003	We'll do it three times, and the one who wins two times out of three will be it."	We'll do it three times, and the one who wins two times out of three will be it."
6313_66129_000058_000000	To this all agreed.	To this all agreed.
6313_66129_000059_000001	Walter Perkins won the heat.	Walter Perkins won the heat.
6313_66129_000060_000000	The next two heats were different.	The next two heats were different.
6313_66129_000060_000001	This time the battle lay between Tad Butler and Ned Rector.	This time the battle lay between Tad Butler and Ned Rector.
6313_66129_000060_000002	It was a beautiful race, the little Indian ponies seeming to enter thoroughly into the spirit of the contest, stretching themselves out to their full lengths, and, with heads on a level with their backs, fairly flew across the great plot of green.	It was a beautiful race, the little Indian ponies seeming to enter thoroughly into the spirit of the contest, stretching themselves out to their full lengths, and, with heads on a level with their backs, fairly flew across the great plot of green.
6313_66129_000061_000000	Up to within a moment of the finish of the second heat the two ponies were racing neck and neck.	Up to within a moment of the finish of the second heat the two ponies were racing neck and neck.
6313_66129_000062_000000	Tad hitched in his saddle a little, throwing the greater part of his weight on the stirrups.	Tad hitched in his saddle a little, throwing the greater part of his weight on the stirrups.
6313_66129_000062_000001	He slapped Texas sharply on the flank with the flat of his hand.	He slapped Texas sharply on the flank with the flat of his hand.
6313_66129_000063_000000	Texas seemed to leap clear of the ground, planting himself on all fours just over the line, the winner by a neck.	Texas seemed to leap clear of the ground, planting himself on all fours just over the line, the winner by a neck.
6313_66129_000064_000000	The third heat was merely a repetition of the second.	The third heat was merely a repetition of the second.
6313_66129_000064_000001	All agreed that Tad's superior horsemanship, alone, had won the race for him.	All agreed that Tad's superior horsemanship, alone, had won the race for him.
6313_66129_000064_000002	Ned took his defeat good-naturedly.	Ned took his defeat good naturedly.
6313_66129_000065_000000	By this time, the boys had come to feel fully as much at home in the saddle as they formerly had been out of it.	By this time, the boys had come to feel fully as much at home in the saddle as they formerly had been out of it.
6313_66129_000065_000001	Even Stacy Brown, though he did not sit his saddle with the same grace that marked the riding of Tad Butler and Ned Rector, more practiced horsemen, was nevertheless no mean rider.	Even Stacy Brown, though he did not sit his saddle with the same grace that marked the riding of Tad Butler and Ned Rector, more practiced horsemen, was nevertheless no mean rider.
6313_66129_000068_000000	"I'll show you," promised Tad.	"I'll show you," promised Tad.
6313_66129_000069_000000	Galloping into camp the boy fetched his sombrero, which he carried well out into the field and tossed away.	Galloping into camp the boy fetched his sombrero, which he carried well out into the field and tossed away.
6313_66129_000071_000000	All at once he dropped to the saddle and slipped the left foot from the stirrup.	All at once he dropped to the saddle and slipped the left foot from the stirrup.
6313_66129_000071_000001	Grasping the pommel with the left hand, he appeared to dive head first toward the ground.	Grasping the pommel with the left hand, he appeared to dive head first toward the ground.
6313_66129_000074_000000	"Huh!	"Huh!
6313_66129_000074_000001	That's nothing.	That's nothing.
6313_66129_000074_000002	I can do that myself," he grunted.	I can do that myself," he grunted.
6313_66129_000074_000003	"I've seen them do that in the wild west shows too many times not to know how myself."	"I've seen them do that in the wild west shows too many times not to know how myself."
6313_66129_000075_000000	Walter smiled, with a twinkle in his eyes.	Walter smiled, with a twinkle in his eyes.
6313_66129_000076_000000	"Why not show us, then?" he said.	"Why not show us, then?" he said.
6313_66129_000077_000000	"I will," replied Chunky, confidently.	"I will," replied Chunky, confidently.
6313_66129_000078_000000	"Got your life insured?" asked Ned.	"Got your life insured?" asked Ned.
6313_66129_000078_000001	"If you haven't I would advise you to go easy.	"If you haven't I would advise you to go easy.
6313_66129_000079_000000	"Don't you worry about me, Ned Rector.	"Don't you worry about me, Ned Rector.
6313_66129_000079_000001	Guess I know how to ride.	Guess I know how to ride.
6313_66129_000079_000002	Let me have that hat, Tad," he demanded as the latter came trotting up to the group.	Let me have that hat, Tad," he demanded as the latter came trotting up to the group.
6313_66129_000080_000000	Stacy, his face flushed, determination plainly showing in his eyes, stretched forth his hand for the sombrero.	Stacy, his face flushed, determination plainly showing in his eyes, stretched forth his hand for the sombrero.
6313_66129_000080_000001	Riding bravely out into the field, he tossed it to the ground.	Riding bravely out into the field, he tossed it to the ground.
6313_66129_000081_000000	Stacy dismounted and removed the hat carefully to one side.	Stacy dismounted and removed the hat carefully to one side.
6313_66129_000083_000001	I couldn't get it," explained Chunky.	I couldn't get it," explained Chunky.
6313_66129_000085_000000	"Why don't you move the pony?	"Why don't you move the pony?
6313_66129_000085_000001	You don't have to move the hat, you ninny."	You don't have to move the hat, you ninny."
6313_66129_000088_000000	"Be careful, Chunky," warned Walter.	"Be careful, Chunky," warned Walter.
6313_66129_000089_000000	"He's got to learn," declared Tad.	"He's got to learn," declared Tad.
6313_66129_000090_000000	Then Chunky essayed the feat.	Then Chunky essayed the feat.
6313_66129_000091_000000	At the moment when he freed his left foot from the stirrup, he threw his body sharply to the right, reaching for the hat without taking the precaution to grasp the pommel.	At the moment when he freed his left foot from the stirrup, he threw his body sharply to the right, reaching for the hat without taking the precaution to grasp the pommel.
6313_66129_000092_000000	As a result, instead of stopping when he reached the hat, the boy kept on going.	As a result, instead of stopping when he reached the hat, the boy kept on going.
