6313_76958_000000_000000	"You'll make a cowman all right," said Big-foot.	"You'll make a cowman all right," said Big foot.	false	6.18	18.795	24.46116
6313_76958_000001_000000	CHAPTER IV	CHAPTER four	true	18.795	19.665	24.665125
6313_76958_000002_000000	THE FIRST NIGHT IN CAMP	THE FIRST NIGHT IN CAMP	true	19.665	21.67	27.670864
6313_76958_000003_000000	The camp-fire was burning brightly when the first guard, having completed its tour of duty, came galloping in.	The camp fire was burning brightly when the first guard, having completed its tour of duty, came galloping in.	true	21.77	27.46	25.979769
6313_76958_000004_000000	In a few moments the sound of singing was borne to the ears of the campers.	In a few moments the sound of singing was borne to the ears of the campers.	true	27.89	31.75	23.429876
6313_76958_000005_000000	"What's the noise?" demanded Stacy Brown, sitting up with a half scared look on his face.	"What's the noise?" demanded Stacy Brown, sitting up with a half scared look on his face.	false	32.27	37.06	23.24279
6313_76958_000006_000000	"It's the 'Cowboy's Lament,'" laughed Bob Stallings.	"It's the 'Cowboy's Lament,'" laughed Bob Stallings.	true	37.25	40.485	26.597376
6313_76958_000006_000001	"Listen."	"Listen."	true	40.485	41.17	26.925434
6313_76958_000007_000000	Off on the plain they heard a rich tenor voice raised in the song of the cowman.	Off on the plain they heard a rich tenor voice raised in the song of the cowman.	true	41.66	46	22.736788
6313_76958_000008_000000	"Little black bull came down the hillside, Down the hillside, down the hillside, Little black bull came down the hillside, Long time ago."	"Little black bull came down the hillside, Down the hillside, down the hillside, Little black bull came down the hillside, Long time ago."	true	46.46	53.8	23.459856
6313_76958_000009_000000	"I don't call that much of a song," sniffed Chunky contemptuously after a moment of silence on the part of the group.	"I don't call that much of a song," sniffed Chunky contemptuously after a moment of silence on the part of the group.	true	54.23	60.25	24.41289
6313_76958_000009_000001	"Even if I can't sing, I can beat that."	"Even if I can't sing, I can beat that."	true	60.32	63.01	24.080727
6313_76958_000010_000000	"Better not try it out on the range," smiled the foreman.	"Better not try it out on the range," smiled the foreman.	true	63.38	66.55	21.992163
6313_76958_000011_000000	"Not on the range?	"Not on the range?	true	66.89	67.98	21.465977
6313_76958_000011_000001	Why not?" demanded the boy.	Why not?" demanded the boy.	true	67.98	69.64	28.014994
6313_76958_000012_000000	"Bob thinks it might stampede the herd," spoke up Big-foot Sanders.	"Bob thinks it might stampede the herd," spoke up Big foot Sanders.	true	69.98	73.78	26.290747
6313_76958_000013_000000	A loud laugh followed at Chunky's expense.	A loud laugh followed at Chunky's expense.	true	74.03	76.69	29.458138
6313_76958_000014_000000	"When you get to be half as good a man on cows as your friend the Pinto, here, you'll be a full grown man," added Big-foot.	"When you get to be half as good a man on cows as your friend the Pinto, here, you'll be a full grown man," added Big foot.	true	77.15	84.18	24.247747
6313_76958_000014_000001	"The Pinto rounded up a bunch of stray cows to-night as well as I could do it myself, and he didn't go about it with a brass band either."	"The Pinto rounded up a bunch of stray cows to night as well as I could do it myself, and he didn't go about it with a brass band either."	true	84.18	91.69	24.285723
6313_76958_000015_000000	The foreman nodded, with an approving glance at Tad.	The foreman nodded, with an approving glance at Tad.	true	91.85	94.72	25.501245
6313_76958_000016_000000	Tad's eyes were sparkling from the experiences of the evening, as well as from the praise bestowed upon him by the big cowpuncher.	Tad's eyes were sparkling from the experiences of the evening, as well as from the praise bestowed upon him by the big cowpuncher.	true	95.09	102.04	23.948425
6313_76958_000017_000000	"The pony did most of it," admitted the lad.	"The pony did most of it," admitted the lad.	true	102.53	104.925	24.94922
6313_76958_000017_000001	"I just gave him his head, and that's all there was to it."	"I just gave him his head, and that's all there was to it."	true	104.925	107.68	25.049637
6313_76958_000018_000000	"More than most tenderfeet would have done," growled Big-foot.	"More than most tenderfeet would have done," growled Big foot.	true	108.11	111.31	25.250051
6313_76958_000019_000000	Walter had gone out with the second guard, and the others had gathered around the camp-fire for their nightly story-telling.	Walter had gone out with the second guard, and the others had gathered around the camp fire for their nightly story telling.	true	111.74	117.07	23.356558
6313_76958_000020_000000	"Now, I don't want you fellows sitting up all night," objected the foreman.	"Now, I don't want you fellows sitting up all night," objected the foreman.	true	117.35	121	23.027985
6313_76958_000020_000001	"None of you will be fit for duty to-morrow.	"None of you will be fit for duty to morrow.	true	121.13	123.615	24.718414
6313_76958_000020_000002	We've got a hard drive before us, and every man must be fit as a fiddle.	We've got a hard drive before us, and every man must be fit as a fiddle.	true	123.615	127.21	26.735563
6313_76958_000020_000003	You can enjoy yourselves sleeping just as well as sitting up."	You can enjoy yourselves sleeping just as well as sitting up."	true	127.28	131.25	20.958248
6313_76958_000021_000000	"Humph!" grunted Curley Adams.	"Humph!" grunted Curley Adams.	false	131.25	132.85	20.165945
6313_76958_000021_000001	"I'll give it as a horseback opinion that the only way to enjoy such a night as this, is to sit up until you fall asleep with your boots on.	"I'll give it as a horseback opinion that the only way to enjoy such a night as this, is to sit up until you fall asleep with your boots on.	true	132.86	139.99	24.961218
6313_76958_000021_000002	That's the way I'm going to do it, to-night."	That's the way I'm going to do it, to night."	true	140.21	142.66	23.701986
6313_76958_000022_000000	The cowboy did this very thing, but within an hour he found himself alone, the others having turned in one by one.	The cowboy did this very thing, but within an hour he found himself alone, the others having turned in one by one.	true	142.73	148.93	24.21092
6313_76958_000023_000000	"Where are your beds?" asked Stacy after the foreman had urged the boys to get to sleep.	"Where are your beds?" asked Stacy after the foreman had urged the boys to get to sleep.	true	149.12	154.08	22.77135
6313_76958_000024_000000	"Beds?" grunted Big-foot.	"Beds?" grunted Big foot.	true	154.08	156.01	24.252125
6313_76958_000024_000001	"Anywhere--everywhere.	"Anywhere-everywhere.	true	156.14	158.05	24.182272
6313_76958_000024_000002	Our beds, on the plains, are wherever we happen to pull our boots off."	Our beds, on the plains, are wherever we happen to pull our boots off."	true	158.12	162.22	26.426556
6313_76958_000025_000000	"You will find your stuff rolled up under the chuck wagon, boys," said Stallings.	"You will find your stuff rolled up under the chuck wagon, boys," said Stallings.	true	162.38	166.81	23.278084
6313_76958_000025_000001	"I had Pong get out the blankets for you, seeing that you have only your slickers with you."	"I had Pong get out the blankets for you, seeing that you have only your slickers with you."	false	166.82	171.37	23.562658
6313_76958_000026_000000	The lads found that a pair of blankets had been assigned to each of them, with an ordinary wagon sheet doubled for a tarpaulin.	The lads found that a pair of blankets had been assigned to each of them, with an ordinary wagon sheet doubled for a tarpaulin.	false	171.74	178	26.230024
6313_76958_000026_000001	These they spread out on the ground, using boots wrapped in coats for pillows.	These they spread out on the ground, using boots wrapped in coats for pillows.	true	178.22	182.02	23.692785
6313_76958_000027_000000	Stacy Brown proved the only grumbler in the lot, declaring that he could not sleep a wink on such a bed as that.	Stacy Brown proved the only grumbler in the lot, declaring that he could not sleep a wink on such a bed as that.	true	182.33	188.65	24.059591
