6313_76958_000001_000000	CHAPTER IV	CHAPTER four
6313_76958_000002_000000	THE FIRST NIGHT IN CAMP	THE FIRST NIGHT IN CAMP
6313_76958_000003_000000	The camp-fire was burning brightly when the first guard, having completed its tour of duty, came galloping in.	The camp fire was burning brightly when the first guard, having completed its tour of duty, came galloping in.
6313_76958_000004_000000	In a few moments the sound of singing was borne to the ears of the campers.	In a few moments the sound of singing was borne to the ears of the campers.
6313_76958_000006_000000	"It's the 'Cowboy's Lament,'" laughed Bob Stallings.	"It's the 'Cowboy's Lament,'" laughed Bob Stallings.
6313_76958_000006_000001	"Listen."	"Listen."
6313_76958_000007_000000	Off on the plain they heard a rich tenor voice raised in the song of the cowman.	Off on the plain they heard a rich tenor voice raised in the song of the cowman.
6313_76958_000008_000000	"Little black bull came down the hillside, Down the hillside, down the hillside, Little black bull came down the hillside, Long time ago."	"Little black bull came down the hillside, Down the hillside, down the hillside, Little black bull came down the hillside, Long time ago."
6313_76958_000009_000000	"I don't call that much of a song," sniffed Chunky contemptuously after a moment of silence on the part of the group.	"I don't call that much of a song," sniffed Chunky contemptuously after a moment of silence on the part of the group.
6313_76958_000009_000001	"Even if I can't sing, I can beat that."	"Even if I can't sing, I can beat that."
6313_76958_000010_000000	"Better not try it out on the range," smiled the foreman.	"Better not try it out on the range," smiled the foreman.
6313_76958_000011_000000	"Not on the range?	"Not on the range?
6313_76958_000011_000001	Why not?" demanded the boy.	Why not?" demanded the boy.
6313_76958_000012_000000	"Bob thinks it might stampede the herd," spoke up Big-foot Sanders.	"Bob thinks it might stampede the herd," spoke up Big foot Sanders.
6313_76958_000013_000000	A loud laugh followed at Chunky's expense.	A loud laugh followed at Chunky's expense.
6313_76958_000014_000000	"When you get to be half as good a man on cows as your friend the Pinto, here, you'll be a full grown man," added Big-foot.	"When you get to be half as good a man on cows as your friend the Pinto, here, you'll be a full grown man," added Big foot.
6313_76958_000014_000001	"The Pinto rounded up a bunch of stray cows to-night as well as I could do it myself, and he didn't go about it with a brass band either."	"The Pinto rounded up a bunch of stray cows to night as well as I could do it myself, and he didn't go about it with a brass band either."
6313_76958_000015_000000	The foreman nodded, with an approving glance at Tad.	The foreman nodded, with an approving glance at Tad.
6313_76958_000016_000000	Tad's eyes were sparkling from the experiences of the evening, as well as from the praise bestowed upon him by the big cowpuncher.	Tad's eyes were sparkling from the experiences of the evening, as well as from the praise bestowed upon him by the big cowpuncher.
6313_76958_000017_000000	"The pony did most of it," admitted the lad.	"The pony did most of it," admitted the lad.
6313_76958_000017_000001	"I just gave him his head, and that's all there was to it."	"I just gave him his head, and that's all there was to it."
6313_76958_000018_000000	"More than most tenderfeet would have done," growled Big-foot.	"More than most tenderfeet would have done," growled Big foot.
6313_76958_000019_000000	Walter had gone out with the second guard, and the others had gathered around the camp-fire for their nightly story-telling.	Walter had gone out with the second guard, and the others had gathered around the camp fire for their nightly story telling.
6313_76958_000020_000000	"Now, I don't want you fellows sitting up all night," objected the foreman.	"Now, I don't want you fellows sitting up all night," objected the foreman.
6313_76958_000020_000001	"None of you will be fit for duty to-morrow.	"None of you will be fit for duty to morrow.
6313_76958_000020_000002	We've got a hard drive before us, and every man must be fit as a fiddle.	We've got a hard drive before us, and every man must be fit as a fiddle.
6313_76958_000020_000003	You can enjoy yourselves sleeping just as well as sitting up."	You can enjoy yourselves sleeping just as well as sitting up."
6313_76958_000021_000001	"I'll give it as a horseback opinion that the only way to enjoy such a night as this, is to sit up until you fall asleep with your boots on.	"I'll give it as a horseback opinion that the only way to enjoy such a night as this, is to sit up until you fall asleep with your boots on.
6313_76958_000021_000002	That's the way I'm going to do it, to-night."	That's the way I'm going to do it, to night."
6313_76958_000022_000000	The cowboy did this very thing, but within an hour he found himself alone, the others having turned in one by one.	The cowboy did this very thing, but within an hour he found himself alone, the others having turned in one by one.
6313_76958_000023_000000	"Where are your beds?" asked Stacy after the foreman had urged the boys to get to sleep.	"Where are your beds?" asked Stacy after the foreman had urged the boys to get to sleep.
6313_76958_000024_000000	"Beds?" grunted Big-foot.	"Beds?" grunted Big foot.
6313_76958_000024_000001	"Anywhere--everywhere.	"Anywhere-everywhere.
6313_76958_000024_000002	Our beds, on the plains, are wherever we happen to pull our boots off."	Our beds, on the plains, are wherever we happen to pull our boots off."
6313_76958_000025_000000	"You will find your stuff rolled up under the chuck wagon, boys," said Stallings.	"You will find your stuff rolled up under the chuck wagon, boys," said Stallings.
6313_76958_000026_000001	These they spread out on the ground, using boots wrapped in coats for pillows.	These they spread out on the ground, using boots wrapped in coats for pillows.
6313_76958_000027_000000	Stacy Brown proved the only grumbler in the lot, declaring that he could not sleep a wink on such a bed as that.	Stacy Brown proved the only grumbler in the lot, declaring that he could not sleep a wink on such a bed as that.
6313_76958_000028_000000	In floundering about, making up his bunk, the lad had fallen over two cowboys and stepped full on the face of a third.	In floundering about, making up his bunk, the lad had fallen over two cowboys and stepped full on the face of a third.
6313_76958_000029_000000	Instantly there was a chorus of yells and snarls from the disturbed cowpunchers, accompanied by dire threats as to what they would do to the gopher did he ever disturb their rest in that way again.	Instantly there was a chorus of yells and snarls from the disturbed cowpunchers, accompanied by dire threats as to what they would do to the gopher did he ever disturb their rest in that way again.
6313_76958_000030_000000	This effectually quieted the boy for the night, and the camp settled down to silence and to sleep.	This effectually quieted the boy for the night, and the camp settled down to silence and to sleep.
6313_76958_000031_000002	Besides holding the untrustworthy horses, it afforded a temporary corral for catching a change of mounts.	Besides holding the untrustworthy horses, it afforded a temporary corral for catching a change of mounts.
6313_76958_000032_000000	In spite of their hard couches the Pony Riders slept soundly, even Professor Zepplin himself never waking the whole night through.	In spite of their hard couches the Pony Riders slept soundly, even Professor Zepplin himself never waking the whole night through.
6313_76958_000032_000002	With Stacy Brown, however, severe measures were necessary when one of the returning guard routed him out at half-past three in the morning.	With Stacy Brown, however, severe measures were necessary when one of the returning guard routed him out at half past three in the morning.
6313_76958_000033_000000	Stacy grumbled, turned over and went to sleep again.	Stacy grumbled, turned over and went to sleep again.
6313_76958_000034_000000	The guard chanced to be Lumpy Bates, and he administered, what to him, was a gentle kick, to hurry the boy along.	The guard chanced to be Lumpy Bates, and he administered, what to him, was a gentle kick, to hurry the boy along.
6313_76958_000036_000000	"Keep still, you baby!" growled the cowman.	"Keep still, you baby!" growled the cowman.
6313_76958_000036_000001	"Do you want to wake up the whole outfit?	"Do you want to wake up the whole outfit?
6313_76958_000036_000002	There'll be a lively muss about the time you do, I reckon, and you'll wish you hadn't.	There'll be a lively muss about the time you do, I reckon, and you'll wish you hadn't.
6313_76958_000036_000003	If you can't keep shut, the boss'll be for making you sleep under the chuck wagon.	If you can't keep shut, the boss'll be for making you sleep under the chuck wagon.
6313_76958_000036_000004	If you make a racket there, Pong will dump a pot of boiling water over you.	If you make a racket there, Pong will dump a pot of boiling water over you.
6313_76958_000036_000005	You won't be so fast to wake up hard working cowboys after that, I reckon."	You won't be so fast to wake up hard working cowboys after that, I reckon."
6313_76958_000037_000000	"What do you want?" demanded the boy.	"What do you want?" demanded the boy.
6313_76958_000038_000000	"It's your trick.	"It's your trick.
6313_76958_000038_000001	Get a move on you and keep still.	Get a move on you and keep still.
6313_76958_000038_000002	There's the pony ready for you.	There's the pony ready for you.
6313_76958_000038_000003	I wouldn't have saddled it but the boss said I must.	I wouldn't have saddled it but the boss said I must.
6313_76958_000039_000000	"Is breakfast ready?" asked the boy, tightening his belt and jamming his sombrero down over his head.	"Is breakfast ready?" asked the boy, tightening his belt and jamming his sombrero down over his head.
6313_76958_000040_000000	"Breakfast?" jeered Lumpy.	"Breakfast?" jeered Lumpy.
6313_76958_000040_000001	"You're lucky to be alive in this outfit, let alone filling yourself with grub.	"You're lucky to be alive in this outfit, let alone filling yourself with grub.
6313_76958_000041_000000	Stacy ruefully, and still half asleep, made a wide circle around the sleeping cowmen that he might not make the mistake of again stepping on any of them.	Stacy ruefully, and still half asleep, made a wide circle around the sleeping cowmen that he might not make the mistake of again stepping on any of them.
6313_76958_000042_000000	Lumpy watched him with disapproving eyes.	Lumpy watched him with disapproving eyes.
6313_76958_000043_000000	The lad caught the pony that stood moping in the corral, not appearing to be aware that his rider was preparing him for the range, Chunky all the time muttering to himself.	The lad caught the pony that stood moping in the corral, not appearing to be aware that his rider was preparing him for the range, Chunky all the time muttering to himself.
6313_76958_000045_000000	Lumpy Bates came running toward him, not daring to call out for fear of waking the camp.	Lumpy Bates came running toward him, not daring to call out for fear of waking the camp.
6313_76958_000045_000001	The cowman was swinging his arms and seeking to attract the lad's attention.	The cowman was swinging his arms and seeking to attract the lad's attention.
6313_76958_000045_000002	Chunky, however, was too sleepy to see anything so small as a cowman swinging his arms a rod away.	Chunky, however, was too sleepy to see anything so small as a cowman swinging his arms a rod away.
6313_76958_000047_000000	"Hi, there!" hissed Lumpy, filled with indignation that anyone should attempt to mount a pony from the right side.	"Hi, there!" hissed Lumpy, filled with indignation that anyone should attempt to mount a pony from the right side.
6313_76958_000048_000000	His warning came too late.	His warning came too late.
6313_76958_000048_000001	Stacy Brown's left leg swung over the saddle. No sooner had the pony felt the leather over him than he raised his back straight up, his head going down almost to the ground.	Stacy Brown's left leg swung over the saddle. No sooner had the pony felt the leather over him than he raised his back straight up, his head going down almost to the ground.
6313_76958_000049_000000	Stacy shot up into the air as if he had been propelled from a bow gun. He struck the soft sand several feet in advance of the pony, his face and head ploughing a little furrow as he drove along on his nose.	Stacy shot up into the air as if he had been propelled from a bow gun. He struck the soft sand several feet in advance of the pony, his face and head ploughing a little furrow as he drove along on his nose.
6313_76958_000051_000001	"Don't you know any more than to try to get onto a broncho from the off side?	"Don't you know any more than to try to get onto a broncho from the off side?
6313_76958_000051_000002	Say, don't you?"	Say, don't you?"
6313_76958_000052_000000	He shook the lad violently.	He shook the lad violently.
6313_76958_000054_000000	"Does it make any difference?"	"Does it make any difference?"
6313_76958_000056_000001	The boss said the first man he heard using language while you tenderfeet were with us, would get fired on the spot."	The boss said the first man he heard using language while you tenderfeet were with us, would get fired on the spot."
6313_76958_000058_000000	At first the pony began to buck; then, evidently thinking the effort was not worth while, settled down to a rough trot which soon shook the boy up and thoroughly awakened him.	At first the pony began to buck; then, evidently thinking the effort was not worth while, settled down to a rough trot which soon shook the boy up and thoroughly awakened him.
6313_76958_000059_000000	The rest of the fourth guard had already gone out, Chunky meeting the returning members of the third coming in.	The rest of the fourth guard had already gone out, Chunky meeting the returning members of the third coming in.
6313_76958_000060_000000	"Better hurry up, kid," they chuckled.	"Better hurry up, kid," they chuckled.
6313_76958_000060_000001	"The cows'll sleep themselves out of sight before you get there, if you don't get a move on."	"The cows'll sleep themselves out of sight before you get there, if you don't get a move on."
6313_76958_000061_000000	"Where are they?" asked the boy.	"Where are they?" asked the boy.
6313_76958_000063_000000	In a few moments they, too, had turned their ponies adrift and had thrown themselves down beside their companions, pulling their blankets well about them, for the night had grown chill.	In a few moments they, too, had turned their ponies adrift and had thrown themselves down beside their companions, pulling their blankets well about them, for the night had grown chill.
6313_76958_000064_000000	Out on the plains the fourth guard were drowsily crooning the lullaby about the bull that "came down the hillside, long time ago."	Out on the plains the fourth guard were drowsily crooning the lullaby about the bull that "came down the hillside, long time ago."
6313_76958_000065_000000	It seemed as if scarcely a minute had passed since the boys turned in before they were awakened by the strident tones of the foreman.	It seemed as if scarcely a minute had passed since the boys turned in before they were awakened by the strident tones of the foreman.
6313_76958_000066_000000	"Roll out!	"Roll out!
6313_76958_000066_000001	Roll out!" he roared, bringing the sleepy cowpunchers grumbling to their feet.	Roll out!" he roared, bringing the sleepy cowpunchers grumbling to their feet.
6313_76958_000067_000000	Almost before the echoes of his voice had died away, a shrill voice piped up from the tail end of the chuck wagon.	Almost before the echoes of his voice had died away, a shrill voice piped up from the tail end of the chuck wagon.
6313_76958_000069_000000	It was the Chinaman, Pong, sounding his call for breakfast, in accordance with the usage of the plains.	It was the Chinaman, Pong, sounding his call for breakfast, in accordance with the usage of the plains.
