6319_275224_000004_000000	THE WIND AND THE FLOWERS	THE WIND AND THE FLOWERS
6319_275224_000005_000000	By Mrs. Alfred Gatty	By mrs Alfred Gatty
6319_275224_000006_000000	"What a fuss is made about you, my dear little friends!" murmured the Wind, one day, to the flowers in a pretty villa garden.	"What a fuss is made about you, my dear little friends!" murmured the Wind, one day, to the flowers in a pretty villa garden.
6319_275224_000006_000002	I have been watching your friend the gardener for some time to-day; and now that he is gone at last, I am quite curious to hear what you think and feel about your unnatural bringing up."	I have been watching your friend the gardener for some time to day; and now that he is gone at last, I am quite curious to hear what you think and feel about your unnatural bringing up."
6319_275224_000008_000000	"I smile at your question," was the answer of the Wind.	"I smile at your question," was the answer of the Wind.
6319_275224_000008_000001	"You surely cannot suppose that in a natural state you would be forced to climb regularly up one tall bare stick such as I see you upon now.	"You surely cannot suppose that in a natural state you would be forced to climb regularly up one tall bare stick such as I see you upon now.
6319_275224_000008_000004	She runs along and climbs about, just as the whim takes her.	She runs along and climbs about, just as the whim takes her.
6319_275224_000008_000005	Sometimes she takes a turn upon the ground; sometimes she enters a hedge, and plays at bo-peep with the birds in the thorn and nut-trees--twisting here, curling there, and at last, perhaps, coming out at the top, and overhanging the edge with a canopy of green leaves and pretty white flowers.	Sometimes she takes a turn upon the ground; sometimes she enters a hedge, and plays at bo peep with the birds in the thorn and nut trees-twisting here, curling there, and at last, perhaps, coming out at the top, and overhanging the edge with a canopy of green leaves and pretty white flowers.
6319_275224_000008_000007	I quite feel for you!	I quite feel for you!
6319_275224_000009_000000	Now the Convolvulus was quite abashed by the words of the Wind, for she was conscious of feeling very conceited that morning, in consequence of having heard the gardener say something very flattering about her beauty; so she hung down her rich bell-flowers rather lower than usual, and made no reply.	Now the Convolvulus was quite abashed by the words of the Wind, for she was conscious of feeling very conceited that morning, in consequence of having heard the gardener say something very flattering about her beauty; so she hung down her rich bell flowers rather lower than usual, and made no reply.
6319_275224_000010_000001	I am not aware that I have any poor relations in this country, and I myself certainly require all the care that is bestowed upon me. This climate is both too cold and too damp for me.	I am not aware that I have any poor relations in this country, and I myself certainly require all the care that is bestowed upon me. This climate is both too cold and too damp for me.
6319_275224_000010_000002	My young plants require heat, or they would not live; and the pots we are kept in protect us from those cruel wire-worms who delight to destroy our roots."	My young plants require heat, or they would not live; and the pots we are kept in protect us from those cruel wire worms who delight to destroy our roots."
6319_275224_000011_000002	Why not allow your silver tufts to luxuriate in a natural manner?	Why not allow your silver tufts to luxuriate in a natural manner?
6319_275224_000011_000003	Why must every single flower betied up by its delicate neck to a stick, the moment it begins to open?	Why must every single flower betied up by its delicate neck to a stick, the moment it begins to open?
