6319_57405_000005_000000	"These men," he said to his mighty company, "are nothing but a source of trouble.	"These men," he said to his mighty company, "are nothing but a source of trouble.
6319_57405_000005_000001	When they were good and happy, we felt afraid lest they should become greater than ourselves; and now they are so terribly wicked that we are in worse danger than before.	When they were good and happy, we felt afraid lest they should become greater than ourselves; and now they are so terribly wicked that we are in worse danger than before.
6319_57405_000007_000001	Once every year he had gone to the land of the Caucasus to talk with his father, who was hanging chained to the mountain peak.	Once every year he had gone to the land of the Caucasus to talk with his father, who was hanging chained to the mountain peak.
6319_57405_000008_000001	Be sure that you are ready for it, my son."	Be sure that you are ready for it, my son."
6319_57405_000011_000002	While they were talking and trying to think what they should do, they heard a voice behind them.	While they were talking and trying to think what they should do, they heard a voice behind them.
6319_57405_000012_000000	"Is there anything that you wish?" he asked.	"Is there anything that you wish?" he asked.
6319_57405_000016_000000	"Surely I do not know," said Deucalion.	"Surely I do not know," said Deucalion.
6319_57405_000016_000001	"But let us think a moment.	"But let us think a moment.
6319_57405_000016_000002	Who is our mother, if it is not the Earth, from whom all living things have sprung?	Who is our mother, if it is not the Earth, from whom all living things have sprung?
6319_57405_000016_000003	And yet what could he mean by the bones of our mother?"	And yet what could he mean by the bones of our mother?"
6319_57405_000018_000000	"Perhaps he meant the stones of the earth," said Pyrrha.	"Perhaps he meant the stones of the earth," said Pyrrha.
6319_57405_000018_000001	"Let us go on down the mountain, and as we go, let us pick up the stones in our path and throw them over our shoulders behind us."	"Let us go on down the mountain, and as we go, let us pick up the stones in our path and throw them over our shoulders behind us."
6319_57405_000019_000000	"It is rather a silly thing to do," said Deucalion; "and yet there can be no harm in it, and we shall see what will happen."	"It is rather a silly thing to do," said Deucalion; "and yet there can be no harm in it, and we shall see what will happen."
