6319_64726_000000_000000	CHAPTER XVI	CHAPTER sixteen	false	28.89	32.16	20.770712
6319_64726_000001_000000	THE SLEEPING BEAUTY IN THE WOOD	THE SLEEPING BEAUTY IN THE WOOD	false	32.16	38.58	19.815916
6319_64726_000002_000000	Once upon a time there was a king and a queen who grieved sorely that they had no children.	Once upon a time there was a king and a queen who grieved sorely that they had no children.	true	38.58	44.65	24.098915
6319_64726_000002_000001	When at last the queen gave birth to a daughter the king was so overjoyed that he gave a great christening feast, the like of which had never before been known.	When at last the queen gave birth to a daughter the king was so overjoyed that he gave a great christening feast, the like of which had never before been known.	true	45.56	55.12	23.830957
6319_64726_000002_000002	He asked all the fairies in the land--there were seven all told--to stand godmothers to the little princess, hoping that each might give her a gift, and so she should have all imaginable perfections.	He asked all the fairies in the land-there were seven all told-to stand godmothers to the little princess, hoping that each might give her a gift, and so she should have all imaginable perfections.	true	55.79	68.68	21.763288
6319_64726_000003_000000	After the christening, all the company returned to the palace, where a great feast had been spread for the fairy godmothers.	After the christening, all the company returned to the palace, where a great feast had been spread for the fairy godmothers.	false	69.83	76.87	24.295101
6319_64726_000003_000001	Before each was set a magnificent plate, with a gold knife and a gold fork studded with diamonds and rubies.	Before each was set a magnificent plate, with a gold knife and a gold fork studded with diamonds and rubies.	true	77.6	84.67	22.839548
6319_64726_000003_000002	Just as they were seating themselves, however, there entered an old fairy who had not been invited because more than fifty years ago she had shut herself up in a tower and it was supposed that she was either dead or enchanted.	Just as they were seating themselves, however, there entered an old fairy who had not been invited because more than fifty years ago she had shut herself up in a tower and it was supposed that she was either dead or enchanted.	false	85.28	99.31	23.54066
6319_64726_000004_000000	The king ordered a cover to be laid for her, but it could not be a massive gold one like the others, for only seven had been ordered made. The old fairy thought herself ill-used and muttered between her teeth. One of the young fairies, overhearing her, and fancying she might work some mischief to the little baby, went and hid herself behind the hangings in the hall, so as to be able to have the last word and undo any harm the old fairy might wish to work.	The king ordered a cover to be laid for her, but it could not be a massive gold one like the others, for only seven had been ordered made. The old fairy thought herself ill used and muttered between her teeth. One of the young fairies, overhearing her, and fancying she might work some mischief to the little baby, went and hid herself behind the hangings in the hall, so as to be able to have the last word and undo any harm the old fairy might wish to work.	true	100.37	130.24	22.44468
6319_64726_000004_000001	The fairies now began to endow the princess.	The fairies now began to endow the princess.	true	131.36	134.17	20.538906
6319_64726_000004_000002	The youngest, for her gift, decreed that she should be the most beautiful person in the world; the next that she should have the mind of an angel; the third that she should be perfectly graceful; the fourth that she should dance admirably well; the fifth, that she should sing like a nightingale; the sixth, that she should play charmingly upon every musical instrument.	The youngest, for her gift, decreed that she should be the most beautiful person in the world; the next that she should have the mind of an angel; the third that she should be perfectly graceful; the fourth that she should dance admirably well; the fifth, that she should sing like a nightingale; the sixth, that she should play charmingly upon every musical instrument.	true	135.05	160.12	21.44393
6319_64726_000004_000003	The turn of the old fairy had now come, and she declared, while her head shook with malice, that the princess should pierce her hand with a spindle and die of the wound. This dreadful fate threw all the company into tears of dismay, when the young fairy who had hidden herself came forward and said:	The turn of the old fairy had now come, and she declared, while her head shook with malice, that the princess should pierce her hand with a spindle and die of the wound. This dreadful fate threw all the company into tears of dismay, when the young fairy who had hidden herself came forward and said:	true	161.15	182.23	23.515999
6319_64726_000005_000000	"Be of good cheer, king and queen; your daughter shall not so die.	"Be of good cheer, king and queen; your daughter shall not so die.	true	182.87	187.12	29.111843
6319_64726_000005_000001	It is true I cannot entirely undo what my elder has done.	It is true I cannot entirely undo what my elder has done.	true	187.82	191.86	21
6319_64726_000005_000002	The princess will pierce her hand with a spindle, but, instead of dying, she will only fall into a deep sleep.	The princess will pierce her hand with a spindle, but, instead of dying, she will only fall into a deep sleep.	true	192.2	200.59	24.437801
6319_64726_000005_000003	The sleep will last a hundred years, and at the end of that time a king's son will come to wake her."	The sleep will last a hundred years, and at the end of that time a king's son will come to wake her."	true	200.87	208.63	22.36988
6319_64726_000006_000000	The king, in hopes of preventing what the old fairy had foretold, immediately issued an edict by which he forbade all persons in his dominion from spinning or even having spindles in their houses under pain of instant death.	The king, in hopes of preventing what the old fairy had foretold, immediately issued an edict by which he forbade all persons in his dominion from spinning or even having spindles in their houses under pain of instant death.	true	209.84	224.41	21.930471
6319_64726_000007_000000	Now fifteen years after the princess was born she was with the king and queen at one of their castles, and as she was running about by herself she came to a little chamber at the top of a tower, and there sat an honest old woman spinning, for she had never heard of the king's edict.	Now fifteen years after the princess was born she was with the king and queen at one of their castles, and as she was running about by herself she came to a little chamber at the top of a tower, and there sat an honest old woman spinning, for she had never heard of the king's edict.	false	225.5	243.73	22.525078
6319_64726_000008_000000	"What are you doing?" asked the princess.	"What are you doing?" asked the princess.	true	244.97	247.45	26.671125
6319_64726_000009_000000	"I am spinning, my fair child," said the old woman, who did not know her.	"I am spinning, my fair child," said the old woman, who did not know her.	true	248.3	254.14	20.665411
6319_64726_000010_000000	"How pretty it is!" exclaimed the princess.	"How pretty it is!" exclaimed the princess.	true	255.23	258.19	26.941229
