6345_93306_000000_000000	"Love you a little?" she said softly.	"Love you a little?" she said softly.	false	0	2.73	22.191833
6345_93306_000000_000001	"Ah! Robert, don't you know that I've loved you all my life?"	"Ah! Robert, don't you know that I've loved you all my life?"	false	2.73	5.79	21.948795
6345_93306_000001_000000	So a lie won what truth could not gain.	So a lie won what truth could not gain.	false	5.79	6.66	20
6345_93306_000001_000001	And the odd thing is that the lie has now grown quite true, and he really believes that he has always loved her, just as he certainly loves her now.	And the odd thing is that the lie has now grown quite true, and he really believes that he has always loved her, just as he certainly loves her now.	false	6.66	15.09	26.679579
6345_93306_000001_000002	For some lies come true in the telling.	For some lies come true in the telling.	false	15.09	17.19	21.046898
6345_93306_000001_000003	But most of them do not, and it is not wise to try experiments.	But most of them do not, and it is not wise to try experiments.	false	17.19	20.88	23.072865
6345_93306_000002_000000	THE GIRL WITH THE GUITAR	THE GIRL WITH THE GUITAR	false	20.88	22.57	27.866241
6345_93306_000003_000000	THE last strains of the ill-treated, ill-fated "Intermezzo" had died away, and after them had died away also the rumbling of the wheels of the murderous barrel-organ that had so gaily executed that, along with the nine other tunes of its repertory, to the admiration of the housemaid at the window of the house opposite, and the crowing delight of the two babies next door.	THE last strains of the ill treated, ill fated "Intermezzo" had died away, and after them had died away also the rumbling of the wheels of the murderous barrel organ that had so gaily executed that, along with the nine other tunes of its repertory, to the admiration of the housemaid at the window of the house opposite, and the crowing delight of the two babies next door.	true	23.84	44.2	23.98704
6345_93306_000004_000000	The young man drew a deep breath of relief, and lighted the wax candles in the solid silver candlesticks on his writing-table, for now the late summer dusk was falling, and that organ, please Heaven, made full the measure of the day's appointed torture.	The young man drew a deep breath of relief, and lighted the wax candles in the solid silver candlesticks on his writing table, for now the late summer dusk was falling, and that organ, please Heaven, made full the measure of the day's appointed torture.	true	44.96	58.96	22.539001
6345_93306_000004_000001	There had been five organs since dinner--and seven in the afternoon--one and all urgently thumping their heavy melodies into his brain, to the confusion of the thoughts that waited there, eager to marshal themselves, orderly and firm, into the phalanx of an article on "The Decadence of Criticism."	There had been five organs since dinner-and seven in the afternoon-one and all urgently thumping their heavy melodies into his brain, to the confusion of the thoughts that waited there, eager to marshal themselves, orderly and firm, into the phalanx of an article on "The Decadence of Criticism."	true	59.36	75.13	22.286919
6345_93306_000005_000000	He filled his pipe, drew paper towards him, dipped his pen, and wrote his title on the blank page.	He filled his pipe, drew paper towards him, dipped his pen, and wrote his title on the blank page.	true	76.22	82.03	26.034296
6345_93306_000005_000001	The silence came round him, soothing as a beloved presence, the scent of the may bushes in the suburban gardens stole in pleasantly through the open windows.	The silence came round him, soothing as a beloved presence, the scent of the may bushes in the suburban gardens stole in pleasantly through the open windows.	true	82.31	90.82	18
6345_93306_000005_000002	After all, it was a "quiet neighbourhood" as the advertisement had said--at any rate, in the evening: and in the evening a man's best efforts--	After all, it was a "quiet neighbourhood" as the advertisement had said-at any rate, in the evening: and in the evening a man's best efforts-	true	90.98	99.06	20.362167
6345_93306_000006_000000	_Thrum_, tum, tum--_Thrum_, tum, tum came the defiant strumming of a guitar close to the window.	underscore Thrum underscore, tum, tum-underscore Thrum underscore, tum, tum came the defiant strumming of a guitar close to the window.	false	99.06	105.675	21.982088
6345_93306_000006_000001	He sprang to his feet--this was, indeed, too much!	He sprang to his feet-this was, indeed, too much!	true	105.675	108.73	26.064486
6345_93306_000006_000002	But before he could draw back the curtains and express himself to the intruder, the humming of the guitar was dominated by the first words of a song--	But before he could draw back the curtains and express himself to the intruder, the humming of the guitar was dominated by the first words of a song-	false	108.8	116.37	23.72821
6345_93306_000007_000000	"Oh picerella del vieni al'mare Nella barchetta veletto di fiore La biancha prora somiglia al'altare Tutte le stelle favellan d'amor,"	"Oh picerella del vieni al'mare Nella barchetta veletto di fiore La biancha prora somiglia al'altare Tutte le stelle favellan d'amor,"	false	116.37	134.58	21
6345_93306_000008_000000	and so forth.	and so forth.	true	134.58	135.67	30.756826
6345_93306_000008_000001	The performer was evidently singing "under her voice," but the effect was charming.	The performer was evidently singing "under her voice," but the effect was charming.	true	135.86	140.29	22.915071
6345_93306_000008_000002	He stood with his hand on the curtain, listening--and with a pleasure that astonished him.	He stood with his hand on the curtain, listening-and with a pleasure that astonished him.	true	140.57	144.99	22.065039
6345_93306_000008_000003	The song came to an end with a chord in which all the strings twanged their best.	The song came to an end with a chord in which all the strings twanged their best.	false	144.99	149.83	21.295254
6345_93306_000008_000004	Then there was silence--then a sigh, and the sound of light moving feet on the gravel.	Then there was silence-then a sigh, and the sound of light moving feet on the gravel.	true	149.96	154.87	23.697348
6345_93306_000008_000005	He threw back the curtain and leaned out of the window.	He threw back the curtain and leaned out of the window.	true	155.15	157.69	26.712503
6345_93306_000009_000000	"Here!" he called to the figure that moved slowly towards the gate.	"Here!" he called to the figure that moved slowly towards the gate.	true	157.88	161.5	25.011133
6345_93306_000009_000001	She turned quickly, and came back two steps.	She turned quickly, and came back two steps.	true	161.72	164.47	27.687801
6345_93306_000009_000002	She wore the dress of a Contadina, a very smart dress indeed, and her hands looked small and white.	She wore the dress of a Contadina, a very smart dress indeed, and her hands looked small and white.	true	164.66	170.41	23.271416
6345_93306_000010_000000	"Won't you sing again?" he asked.	"Won't you sing again?" he asked.	true	170.75	173.11	20.820705
6345_93306_000011_000000	She hesitated, then struck a chord or two and began another of those little tuneful Italian songs, all stars and flowers and hearts of gold. And again he listened with a quiet pleasure.	She hesitated, then struck a chord or two and began another of those little tuneful Italian songs, all stars and flowers and hearts of gold. And again he listened with a quiet pleasure.	true	173.36	183.37	22
6345_93306_000012_000000	"I should like to hear her voice at its full strength," he thought--and now it was time to give the vagrant a few coppers, and, shutting the window, to leave her to go on to the next front garden.	"I should like to hear her voice at its full strength," he thought-and now it was time to give the vagrant a few coppers, and, shutting the window, to leave her to go on to the next front garden.	false	183.89	192.82	23.53997
6345_93306_000013_000000	Never had any act seemed so impossible.	Never had any act seemed so impossible.	true	193.7	196.39	27.65228
6345_93306_000013_000001	He had watched her through the singing of this last song, and he had grown aware of the beauty of her face's oval--of the fine poise of her head--and of the grace of hands and arms.	He had watched her through the singing of this last song, and he had grown aware of the beauty of her face's oval-of the fine poise of her head-and of the grace of hands and arms.	false	196.64	206.74	24.40495
6345_93306_000014_000000	"Aren't you tired?" he said.	"Aren't you tired?" he said.	true	207.29	208.875	21.023075
6345_93306_000014_000001	"Wouldn't you like to sit down and rest? There is a seat in the garden at the side of the house."	"Wouldn't you like to sit down and rest? There is a seat in the garden at the side of the house."	true	208.875	213.16	23.949026
6345_93306_000015_000000	Again she hesitated.	Again she hesitated.	true	213.62	215.13	21.246841
6345_93306_000015_000001	Then she turned towards the quarter indicated and disappeared round the laurel bushes.	Then she turned towards the quarter indicated and disappeared round the laurel bushes.	true	215.13	219.4	23.94129
6345_93306_000016_000000	He was alone in the house--his people and the servants were in the country; the woman who came to "do for him" had left for the night.	He was alone in the house-his people and the servants were in the country; the woman who came to "do for him" had left for the night.	true	220.01	226.69	18.936972
6345_93306_000016_000001	He went into the dining-room, dark with mahogany and damask, found wine and cake in the sideboard cupboard, put them on a tray, and took them out through the garden door and round to the corner where, almost sheltered by laburnums and hawthorns from the view of the people next door, the singer and her guitar rested on the iron seat.	He went into the dining room, dark with mahogany and damask, found wine and cake in the sideboard cupboard, put them on a tray, and took them out through the garden door and round to the corner where, almost sheltered by laburnums and hawthorns from the view of the people next door, the singer and her guitar rested on the iron seat.	true	227.06	244.96	22.67269
6345_93306_000017_000000	"I have brought you some wine--will you have it?"	"I have brought you some wine-will you have it?"	true	245.48	247.6	20.583384
6345_93306_000018_000000	Again that strange hesitation--then quite suddenly the girl put her hands up to her face and began to cry.	Again that strange hesitation-then quite suddenly the girl put her hands up to her face and began to cry.	true	247.88	253.42	24.946104
6345_93306_000019_000000	"Here--I say, you know--don't--" he said.	"Here-I say, you know-don't-" he said.	true	253.79	257.04	23.728205
6345_93306_000019_000001	"Oh, Lord!	"Oh, Lord!	false	257.04	257.55	18.394386
6345_93306_000019_000002	This is awful.	This is awful.	true	257.55	258.255	17
6345_93306_000019_000003	I hardly know a word of Italian, and apparently she has no English.	I hardly know a word of Italian, and apparently she has no English.	false	258.255	261.24	18
6345_93306_000019_000004	Here, signorina, ecco, prendi--vino--gatto--No, gatto's a cat.	Here, signorina, ecco, prendi-vino-gatto-No, gatto's a cat.	true	261.24	267.09	24.693466
6345_93306_000019_000005	I was thinking of French.	I was thinking of French.	true	267.09	268.185	23.760336
