652_129742_000000_000000	SALADS	SALADS	true	30.78	31.53	19
652_129742_000001_000000	~ASPARAGUS SALAD~--Cook the asparagus in salted water, drain and chill. Serve with French dressing or sprinkle lightly with a little oil dressing; let stand a half hour and serve with mayonnaise or boiled dressing as any one of the three distinct kinds is appropriate with this salad.	~ ASPARAGUS SALAD ~--Cook the asparagus in salted water, drain and chill. Serve with French dressing or sprinkle lightly with a little oil dressing; let stand a half hour and serve with mayonnaise or boiled dressing as any one of the three distinct kinds is appropriate with this salad.	false	31.53	51.84	18.10773
652_129742_000002_000000	~BEET SALAD~--Bake the beets until tender, remove the skins and place them in the ice box to chill.	~ BEET SALAD ~--Bake the beets until tender, remove the skins and place them in the ice box to chill.	false	51.84	61.72	18.136171
652_129742_000002_000001	Shred a white cabbage finely and sprinkle well with salt and use lettuce leaves to line the salad bowl.	Shred a white cabbage finely and sprinkle well with salt and use lettuce leaves to line the salad bowl.	true	62.03	68.05	13
652_129742_000002_000002	Slice the beets, place them on the lettuce, spread with a layer of cabbage, garnish with sliced beets cut in points and dress with mayonnaise or boiled dressing.	Slice the beets, place them on the lettuce, spread with a layer of cabbage, garnish with sliced beets cut in points and dress with mayonnaise or boiled dressing.	true	68.48	77.88	15
652_129742_000003_000000	~BIRDS NEST SALAD~--Have ready as many crisp leaves of lettuce as may be required to make a dainty little nest for each person.	~ BIRDS NEST SALAD ~--Have ready as many crisp leaves of lettuce as may be required to make a dainty little nest for each person.	false	77.88	87.7	18.367937
652_129742_000003_000001	Curl them into shape and in each one place tiny speckled eggs made by rolling cream cheese into shape, then sprinkle with fine chopped parsley.	Curl them into shape and in each one place tiny speckled eggs made by rolling cream cheese into shape, then sprinkle with fine chopped parsley.	true	88.04	96.49	12
652_129742_000003_000002	Serve with French dressing hidden under the leaves of the nest.	Serve with French dressing hidden under the leaves of the nest.	true	96.86	99.93	16
652_129742_000004_000000	~CABBAGE SALAD~--Chop or shave fine, half a medium size head of cabbage that has been left in cold water until crisp, then drain.	~ CABBAGE SALAD ~--Chop or shave fine, half a medium size head of cabbage that has been left in cold water until crisp, then drain.	false	99.93	110.8	17.453646
652_129742_000004_000001	Season with salt and pepper, then pour over it a dressing made this way: Beat the yolks of two eggs, add two tablespoons of melted butter and beat again. Add two tablespoons thick sour cream, two tablespoons sugar, a sprinkle of mustard and half cup of vinegar.	Season with salt and pepper, then pour over it a dressing made this way: Beat the yolks of two eggs, add two tablespoons of melted butter and beat again. Add two tablespoons thick sour cream, two tablespoons sugar, a sprinkle of mustard and half cup of vinegar.	true	111.05	128.41	15
652_129742_000004_000002	Beat until thoroughly mixed, pour over the cabbage and toss lightly until uniformly seasoned.	Beat until thoroughly mixed, pour over the cabbage and toss lightly until uniformly seasoned.	true	128.51	135.39	17.967554
