7850_111771_000000_000000	ULYSSES SIMPSON GRANT.	ULYSSES SIMPSON GRANT.
7850_111771_000001_000000	When a man is energetic and determines to be somebody in the world--which is praiseworthy so long as that energy is guided by propriety and a just conception of right--there are always scores, hundreds, perhaps thousands of people who endeavor to depreciate that man's reward.	When a man is energetic and determines to be somebody in the world-which is praiseworthy so long as that energy is guided by propriety and a just conception of right-there are always scores, hundreds, perhaps thousands of people who endeavor to depreciate that man's reward.
7850_111771_000002_000000	No other excuse can be assigned for the slander and vituperation which has from time to time been heaped upon the fair reputation of General U. S. Grant.	No other excuse can be assigned for the slander and vituperation which has from time to time been heaped upon the fair reputation of General u s Grant.
7850_111771_000003_000001	Thomas L. Hamer he was admitted at West Point in 1839.	Thomas l Hamer he was admitted at West Point in eighteen thirty nine.
7850_111771_000003_000002	Personally, at this early age, he detested war and was opposed to accepting the opportunity, but his father persuaded him to go, and his name was blunderingly registered as U. S., instead of H. U., hence he was ever after known as U. S. Grant.	Personally, at this early age, he detested war and was opposed to accepting the opportunity, but his father persuaded him to go, and his name was blunderingly registered as u s, instead of h u, hence he was ever after known as u s Grant.
7850_111771_000004_000000	In 1843 he graduated, ranking twenty-first in a class of thirty-nine.	In eighteen forty three he graduated, ranking twenty first in a class of thirty nine.
7850_111771_000004_000001	It will be remembered that Lee and McClellan each ranked second when they graduated.	It will be remembered that Lee and McClellan each ranked second when they graduated.
7850_111771_000004_000002	At this time Grant was not taken with war, and probably evinced little interest in army tactics.	At this time Grant was not taken with war, and probably evinced little interest in army tactics.
7850_111771_000004_000003	The Mexican war came on and Grant here distinguished himself, rising to the rank of captain.	The Mexican war came on and Grant here distinguished himself, rising to the rank of captain.
7850_111771_000004_000004	After the war he was stationed at Detroit, and Sacketts Harbor, but this kind of inactivity was ill-suited to the restless nature of Grant; he therefore resigned.	After the war he was stationed at Detroit, and Sacketts Harbor, but this kind of inactivity was ill suited to the restless nature of Grant; he therefore resigned.
7850_111771_000005_000000	Having married a Miss Dent, of St. Louis, he accordingly moved onto a farm near that city.	Having married a Miss Dent, of saint Louis, he accordingly moved onto a farm near that city.
