7976_105575_000000_000000	CHAPTER III	CHAPTER three	false	0.63	23.95	23.423512
7976_105575_000001_000000	Iuka, the fiercest battle of the war, 217 men out of 482 of my regiment are shot--The awful Rebel charge at Corinth--Moonlight on the battlefield--Bushels of arms and legs--Tombstones for fireplaces--One of Grant's mistakes.	Iuka, the fiercest battle of the war, two hundred seventeen men out of four hundred eighty two of my regiment are shot-The awful Rebel charge at Corinth-Moonlight on the battlefield-Bushels of arms and legs-Tombstones for fireplaces-One of Grant's mistakes.	true	24.89	48.22	23.337282
7976_105575_000002_000000	All that summer, after taking Corinth, we chased up and down the State of Mississippi, trying to get fair battle with the Rebel army.	All that summer, after taking Corinth, we chased up and down the State of Mississippi, trying to get fair battle with the Rebel army.	true	49.55	57.85	23.75007
7976_105575_000002_000001	At last the chance came, and for my regiment it was an awful one--the battle of Iuka.	At last the chance came, and for my regiment it was an awful one-the battle of Iuka.	true	58.1	64.33	25.30375
7976_105575_000003_000000	The battle of Iuka took place on the 19th of September, 1862.	The battle of Iuka took place on the nineteenth of September, eighteen sixty two.	false	64.73	69.79	26.18578
7976_105575_000003_000001	It was fought by a handful of the troops of General Rosecrans against half the army of General Price.	It was fought by a handful of the troops of General Rosecrans against half the army of General Price.	true	70.07	76.33	23.035404
7976_105575_000003_000002	Grant was only a few miles away, but although commander-in-chief, he knew nothing of the hardest-fought battle of the Civil War until it was over.	Grant was only a few miles away, but although commander in chief, he knew nothing of the hardest fought battle of the Civil War until it was over.	false	76.82	85.51	23.363214
7976_105575_000004_000000	One morning before daylight while camped in the woods near Jacinto half expecting to be attacked, we heard that Price's army was in Iuka, some eighteen miles away, and that if we would hurry there and attack from one side, General Grant, with Ord's troops, would attack from another side.	One morning before daylight while camped in the woods near Jacinto half expecting to be attacked, we heard that Price's army was in Iuka, some eighteen miles away, and that if we would hurry there and attack from one side, General Grant, with Ord's troops, would attack from another side.	true	86.15	103.78	23.608967
7976_105575_000004_000001	How eagerly the regiment made the forward march on that beautiful autumn day!	How eagerly the regiment made the forward march on that beautiful autumn day!	true	104.15	108.67	22.547329
7976_105575_000004_000002	The woods were in their fairest foliage, and it seemed too lovely a day for war and bloodshed.	The woods were in their fairest foliage, and it seemed too lovely a day for war and bloodshed.	true	109.13	115.03	21.656284
7976_105575_000004_000003	The bugles played occasionally as the men hurried along, but not a shot was fired.	The bugles played occasionally as the men hurried along, but not a shot was fired.	true	115.55	121.3	22.810642
7976_105575_000004_000004	No noise like war fell on the soldiers' ears as they tramped over the beautiful country road toward the Tennessee River.	No noise like war fell on the soldiers' ears as they tramped over the beautiful country road toward the Tennessee River.	false	121.7	129.22	24.649595
7976_105575_000004_000005	They had time for reflection as they marched, and they knew now they were going to battle.	They had time for reflection as they marched, and they knew now they were going to battle.	true	129.8	134.65	22.910738
7976_105575_000004_000006	There had been no time for letters or farewells, and each thought the other one, not himself, most likely to fall in the coming engagement.	There had been no time for letters or farewells, and each thought the other one, not himself, most likely to fall in the coming engagement.	false	135.2	143.98	22.586597
7976_105575_000005_000000	There were only 482 of my little regiment now marching there, hoping, almost praying, the enemy might only wait.	There were only four hundred eighty two of my little regiment now marching there, hoping, almost praying, the enemy might only wait.	true	144.56	153.16	24.754831
7976_105575_000005_000001	How little anyone dreamed that before the sun set 217 of that little command would be stretched dead or dying among the autumn leaves!	How little anyone dreamed that before the sun set two hundred seventeen of that little command would be stretched dead or dying among the autumn leaves!	true	153.5	162.34	22.110216
7976_105575_000006_000000	It was just two o'clock when the regiment ran on to the army of the enemy, lying in line right across the road close to Iuka.	It was just two o'clock when the regiment ran on to the army of the enemy, lying in line right across the road close to Iuka.	true	163.16	171.13	21.459623
7976_105575_000006_000001	My own regiment was in the advance.	My own regiment was in the advance.	true	171.44	173.83	23.4657
7976_105575_000006_000002	Instantly it, too, was in line of battle across that road, and in a few minutes absolutely the fiercest little conflict of the war began.	Instantly it, too, was in line of battle across that road, and in a few minutes absolutely the fiercest little conflict of the war began.	false	174.2	183.07	23.781195
7976_105575_000006_000003	Our brigade was fearfully outnumbered. Rosecrans, had ten thousand soldiers within five miles of the battlefield, yet let three or four small regiments and a battery do all the fighting.	Our brigade was fearfully outnumbered. Rosecrans, had ten thousand soldiers within five miles of the battlefield, yet let three or four small regiments and a battery do all the fighting.	true	183.68	195.7	23.674002
7976_105575_000006_000004	Ten miles away, in another direction, lay General Grant and General Ord, with many other thousands, as silent as if paralyzed. An unlucky wind blew, they said, and the sound of our cannon, that was to have been the signal for them to attack also, was unheard by them.	Ten miles away, in another direction, lay General Grant and General Ord, with many other thousands, as silent as if paralyzed. An unlucky wind blew, they said, and the sound of our cannon, that was to have been the signal for them to attack also, was unheard by them.	true	196.28	215.62	22.622362
7976_105575_000007_000000	Charge after charge was made upon our little line, and the Eleventh Ohio Battery, which the regiment was protecting, was taken and retaken three times.	Charge after charge was made upon our little line, and the Eleventh Ohio Battery, which the regiment was protecting, was taken and retaken three times.	true	216.56	226.3	22.264902
7976_105575_000007_000001	There were no breastworks, yet that one little brigade of Hamilton's division stood there in the open and repulsed assault after assault.	There were no breastworks, yet that one little brigade of Hamilton's division stood there in the open and repulsed assault after assault.	true	226.61	235.51	22.536371
