7976_110523_000005_000000	HANSEL AND GRETHEL	HANSEL AND GRETHEL
7976_110523_000006_000000	Once upon a time there dwelt near a large wood a poor wood cutter, with his wife, and two children by his former marriage, a little boy called Hansel, and a girl named Grethel.	Once upon a time there dwelt near a large wood a poor wood cutter, with his wife, and two children by his former marriage, a little boy called Hansel, and a girl named Grethel.
7976_110523_000006_000001	He had little enough to break or bite; and once, when there was a great famine in the land, he could hardly procure even his daily bread; and as he lay thinking in his bed one night, he sighed, and said to his wife, "What will become of us? How can we feed our children, when we have no more than we can eat ourselves?"	He had little enough to break or bite; and once, when there was a great famine in the land, he could hardly procure even his daily bread; and as he lay thinking in his bed one night, he sighed, and said to his wife, "What will become of us? How can we feed our children, when we have no more than we can eat ourselves?"
7976_110523_000008_000000	"No, wife," replied he, "that I can never do; how can you bring your heart to leave my children all alone in the wood; for the wild beasts will soon come and tear them to pieces?"	"No, wife," replied he, "that I can never do; how can you bring your heart to leave my children all alone in the wood; for the wild beasts will soon come and tear them to pieces?"
7976_110523_000009_000000	"Oh, you simpleton!" said she, "then we must all four die of hunger; you had better plane the coffins for us." But she left him no peace till he consented, saying, "Ah, but I shall miss the poor children."	"Oh, you simpleton!" said she, "then we must all four die of hunger; you had better plane the coffins for us." But she left him no peace till he consented, saying, "Ah, but I shall miss the poor children."
7976_110523_000010_000001	Grethel wept bitterly, and said to Hansel, "What will become of us?"	Grethel wept bitterly, and said to Hansel, "What will become of us?"
7976_110523_000011_000000	"Be quiet, Grethel," said he; "do not cry--I will help you." And as soon as their parents had gone to sleep, he got up, put on his coat, and, unbarring the back door, went out.	"Be quiet, Grethel," said he; "do not cry-I will help you." And as soon as their parents had gone to sleep, he got up, put on his coat, and, unbarring the back door, went out.
7976_110523_000012_000000	The next morning, before the sun arose, the wife went and awoke the two children.	The next morning, before the sun arose, the wife went and awoke the two children.
7976_110523_000012_000002	When they had gone a little distance, Hansel stood still, and peeped back at the house; and this he repeated several times, till his father said, "Hansel, what are you looking at, and why do you lag behind?	When they had gone a little distance, Hansel stood still, and peeped back at the house; and this he repeated several times, till his father said, "Hansel, what are you looking at, and why do you lag behind?
7976_110523_000012_000003	Take care, and remember your legs."	Take care, and remember your legs."
7976_110523_000013_000000	"Ah, father," said Hansel, "I am looking at my white cat sitting upon the roof of the house, and trying to say good-bye."	"Ah, father," said Hansel, "I am looking at my white cat sitting upon the roof of the house, and trying to say good bye."
7976_110523_000014_000000	"You simpleton!" said the wife, "that is not a cat; it is only the sun shining on the white chimney." But in reality Hansel was not looking at a cat; but every time he stopped, he dropped a pebble out of his pocket upon the path.	"You simpleton!" said the wife, "that is not a cat; it is only the sun shining on the white chimney." But in reality Hansel was not looking at a cat; but every time he stopped, he dropped a pebble out of his pocket upon the path.
7976_110523_000015_000002	Then they set fire to them; and as the flame burnt up high, the wife said, "Now, you children, lie down near the fire, and rest yourselves, whilst we go into the forest and chop more wood; when we are ready we will come and call you."	Then they set fire to them; and as the flame burnt up high, the wife said, "Now, you children, lie down near the fire, and rest yourselves, whilst we go into the forest and chop more wood; when we are ready we will come and call you."
7976_110523_000016_000000	Hansel and Grethel sat down by the fire, and when it was noon, each ate the piece of bread; and because they could hear the blows of an axe they thought their father was near; but it was not an axe, but a branch which he had bound to an old tree, so as to be blown to and fro by the wind.	Hansel and Grethel sat down by the fire, and when it was noon, each ate the piece of bread; and because they could hear the blows of an axe they thought their father was near; but it was not an axe, but a branch which he had bound to an old tree, so as to be blown to and fro by the wind.
7976_110523_000016_000001	They waited so long, that at last their eyes closed from weariness, and they fell fast asleep.	They waited so long, that at last their eyes closed from weariness, and they fell fast asleep.
7976_110523_000016_000002	When they awoke, it was quite dark, and Grethel began to cry.	When they awoke, it was quite dark, and Grethel began to cry.
7976_110523_000016_000004	All night long they walked on, and as day broke they came to their father's house.	All night long they walked on, and as day broke they came to their father's house.
7976_110523_000016_000005	They knocked at the door, and when the wife opened it, and saw Hansel and Grethel, she exclaimed, "You wicked children!	They knocked at the door, and when the wife opened it, and saw Hansel and Grethel, she exclaimed, "You wicked children!
7976_110523_000016_000006	Why did you sleep so long in the wood?	Why did you sleep so long in the wood?
7976_110523_000016_000007	We thought you were never coming home again." But their father was extremely glad, for it had grieved his heart to leave them all alone.	We thought you were never coming home again." But their father was extremely glad, for it had grieved his heart to leave them all alone.
7976_110523_000019_000000	But her husband felt heavy at heart, and thought, "It were better to share the last crust with the children." His wife, however, would listen to nothing that he said, and scolded and reproached him without end.	But her husband felt heavy at heart, and thought, "It were better to share the last crust with the children." His wife, however, would listen to nothing that he said, and scolded and reproached him without end.
7976_110523_000020_000000	He who says A must say B too; and he who consents the first time must also the second.	He who says A must say B too; and he who consents the first time must also the second.
7976_110523_000021_000000	The children, however, had heard the conversation as they lay awake, and as soon as their parents went to sleep Hansel got up, intending to pick up some pebbles as before; but the wife had locked the door, so that he could not get out.	The children, however, had heard the conversation as they lay awake, and as soon as their parents went to sleep Hansel got up, intending to pick up some pebbles as before; but the wife had locked the door, so that he could not get out.
7976_110523_000021_000001	Nevertheless he comforted Grethel, saying, "Do not weep; sleep in quiet; the good God will not forsake us."	Nevertheless he comforted Grethel, saying, "Do not weep; sleep in quiet; the good God will not forsake us."
7976_110523_000022_000000	Early in the morning the stepmother came and pulled them out of bed, and gave them each a slice of bread, which was still smaller than the former piece.	Early in the morning the stepmother came and pulled them out of bed, and gave them each a slice of bread, which was still smaller than the former piece.
7976_110523_000022_000001	On the way Hansel broke his in his pocket, and stopping every now and then, dropped a crumb upon the path.	On the way Hansel broke his in his pocket, and stopping every now and then, dropped a crumb upon the path.
7976_110523_000022_000002	"Hansel, why do you stop and look about?" said the father, "keep in the path." "I am looking at my little dove," answered Hansel, "nodding a good-bye to me." "Simpleton!" said the wife, "that is no dove, but only the sun shining on the chimney." But Hansel kept still dropping crumbs as he went along.	"Hansel, why do you stop and look about?" said the father, "keep in the path." "I am looking at my little dove," answered Hansel, "nodding a good bye to me." "Simpleton!" said the wife, "that is no dove, but only the sun shining on the chimney." But Hansel kept still dropping crumbs as he went along.
7976_110523_000023_000001	We are going into the forest to hew wood, and in the evening, when we are ready, we will come and fetch you again."	We are going into the forest to hew wood, and in the evening, when we are ready, we will come and fetch you again."
7976_110523_000024_000000	When noon came, Grethel shared her bread with Hansel, who had strewn his on the path.	When noon came, Grethel shared her bread with Hansel, who had strewn his on the path.
7976_110523_000024_000002	Hansel kept saying to Grethel, "We will soon find the way;" but they did not, and they walked the whole night long and the next day, but still they did not come out of the wood; and they got very hungry, for they had nothing to eat but the berries which they found upon the bushes.	Hansel kept saying to Grethel, "We will soon find the way;" but they did not, and they walked the whole night long and the next day, but still they did not come out of the wood; and they got very hungry, for they had nothing to eat but the berries which they found upon the bushes.
7976_110523_000024_000003	Soon they were so tired that they could not drag themselves along, then they lay down under a tree and again went to sleep.	Soon they were so tired that they could not drag themselves along, then they lay down under a tree and again went to sleep.
7976_110523_000026_000000	It was now the third morning since they had left their father's house, and they still walked on; but they only got deeper, and deeper, and deeper into the wood, and Hansel felt that if help did not come very soon they must die of hunger.	It was now the third morning since they had left their father's house, and they still walked on; but they only got deeper, and deeper, and deeper into the wood, and Hansel felt that if help did not come very soon they must die of hunger.
7976_110523_000026_000001	As soon as it was noon they saw a beautiful, snow-white bird sitting upon a bough, singing so sweetly that they stood still and listened to it.	As soon as it was noon they saw a beautiful, snow white bird sitting upon a bough, singing so sweetly that they stood still and listened to it.
7976_110523_000027_000000	"We will go in here," said Hansel, "and have a glorious feast.	"We will go in here," said Hansel, "and have a glorious feast.
7976_110523_000027_000001	I will eat a piece of the roof, and you can eat the window.	I will eat a piece of the roof, and you can eat the window.
7976_110523_000027_000002	Will they not be sweet?" So Hansel reached up and broke a piece off the roof, in order to see how it tasted; while Grethel stepped up to the window and began to bite it.	Will they not be sweet?" So Hansel reached up and broke a piece off the roof, in order to see how it tasted; while Grethel stepped up to the window and began to bite it.
7976_110523_000027_000004	Hansel thought the roof tasted very nice, and so he tore off a great piece; while Grethel broke a large round pane out of the window, and sat down quite contentedly.	Hansel thought the roof tasted very nice, and so he tore off a great piece; while Grethel broke a large round pane out of the window, and sat down quite contentedly.
7976_110523_000027_000005	Just then the door opened, and a very old woman, walking upon crutches, came out.	Just then the door opened, and a very old woman, walking upon crutches, came out.
7976_110523_000027_000006	Hansel and Grethel were so much frightened that they let fall what they had in their hands; but the old woman nodding her head, said, "Ah, you dear children, what has brought you here?	Hansel and Grethel were so much frightened that they let fall what they had in their hands; but the old woman nodding her head, said, "Ah, you dear children, what has brought you here?
7976_110523_000027_000007	Come in and stop with me, and no harm shall come to you;" and so saying she took them both by the hand, and led them into her cottage.	Come in and stop with me, and no harm shall come to you;" and so saying she took them both by the hand, and led them into her cottage.
7976_110523_000027_000008	A good meal of milk and pancakes, with sugar, apples and nuts, was spread on the table, and in the back room were two nice little beds, covered with white, where Hansel and Grethel laid themselves down, and were happy as could be.	A good meal of milk and pancakes, with sugar, apples and nuts, was spread on the table, and in the back room were two nice little beds, covered with white, where Hansel and Grethel laid themselves down, and were happy as could be.
7976_110523_000027_000010	Witches have red eyes, and cannot see very far; but they have a fine sense of smelling, like wild beasts, so that they know when children approach them.	Witches have red eyes, and cannot see very far; but they have a fine sense of smelling, like wild beasts, so that they know when children approach them.
7976_110523_000027_000012	So a nice meal was cooked for Hansel, but Grethel got nothing else but a crab's claw.	So a nice meal was cooked for Hansel, but Grethel got nothing else but a crab's claw.
7976_110523_000028_000000	Every morning the old witch came to the cage and said, "Hansel, stretch out your finger that I may feel whether you are getting fat." But Hansel used to stretch out a bone, and the old woman, having very bad sight, thought it was his finger, and wondered very much why he did not get fat.	Every morning the old witch came to the cage and said, "Hansel, stretch out your finger that I may feel whether you are getting fat." But Hansel used to stretch out a bone, and the old woman, having very bad sight, thought it was his finger, and wondered very much why he did not get fat.
7976_110523_000028_000002	"Dear good God, help us now!" she prayed.	"Dear good God, help us now!" she prayed.
7976_110523_000028_000003	"Had we only been eaten by the wild beasts in the wood, then we should have died together." But the old witch called out, "Leave off that noise; it will not help you a bit."	"Had we only been eaten by the wild beasts in the wood, then we should have died together." But the old witch called out, "Leave off that noise; it will not help you a bit."
7976_110523_000029_000000	So early in the morning Grethel was compelled to go out and fill the kettle, and make a fire.	So early in the morning Grethel was compelled to go out and fill the kettle, and make a fire.
7976_110523_000029_000001	"First, we will bake, however," said the old woman; "I have already heated the oven and kneaded the dough;" and so saying, she pushed poor Grethel up to the oven, out of which the flames were burning fiercely.	"First, we will bake, however," said the old woman; "I have already heated the oven and kneaded the dough;" and so saying, she pushed poor Grethel up to the oven, out of which the flames were burning fiercely.
7976_110523_000029_000004	See, I could even get in myself!" and she got up, and put her head into the oven.	See, I could even get in myself!" and she got up, and put her head into the oven.
7976_110523_000029_000005	Then Grethel gave her a push, so that she fell right in, and shutting the iron door bolted it.	Then Grethel gave her a push, so that she fell right in, and shutting the iron door bolted it.
7976_110523_000029_000006	Oh! how horribly the witch howled; but Grethel ran away, and left her to burn to ashes.	Oh! how horribly the witch howled; but Grethel ran away, and left her to burn to ashes.
7976_110523_000031_000000	Now she ran to Hansel, and, opening the door, called out, "Hansel we are saved; the old witch is dead?"	Now she ran to Hansel, and, opening the door, called out, "Hansel we are saved; the old witch is dead?"
7976_110523_000032_000000	So he sprang out, like a bird from his cage when the door was opened; and they were so glad that they fell upon each other's neck, and kissed each other over and over again.	So he sprang out, like a bird from his cage when the door was opened; and they were so glad that they fell upon each other's neck, and kissed each other over and over again.
7976_110523_000032_000001	And now, as there was nothing to fear, they went back to the witch's house, where in every corner were caskets full of pearls and precious stones.	And now, as there was nothing to fear, they went back to the witch's house, where in every corner were caskets full of pearls and precious stones.
7976_110523_000032_000002	"These are better than pebbles," said Hansel, putting as many into his pocket as it would hold; while Grethel thought, "I will take some home too," and filled her apron full.	"These are better than pebbles," said Hansel, putting as many into his pocket as it would hold; while Grethel thought, "I will take some home too," and filled her apron full.
7976_110523_000033_000000	"We must be off now," said Hansel, "and get out of this enchanted forest;" but when they had walked for two hours they came to a large piece of water.	"We must be off now," said Hansel, "and get out of this enchanted forest;" but when they had walked for two hours they came to a large piece of water.
7976_110523_000034_000000	"We cannot get over," said Hansel; "I can see no bridge at all." "And there is no boat either," said Grethel, "but there swims a white duck, I will ask her to help us over;" and she sang,	"We cannot get over," said Hansel; "I can see no bridge at all." "And there is no boat either," said Grethel, "but there swims a white duck, I will ask her to help us over;" and she sang,
7976_110523_000035_000000	"Little Duck, good little Duck, Grethel and Hansel, together we stand; There is neither stile nor bridge, Take us on your back to land."	"Little Duck, good little Duck, Grethel and Hansel, together we stand; There is neither stile nor bridge, Take us on your back to land."
7976_110523_000036_000000	So the Duck came to them, and Hansel sat himself on, and bade his sister sit beside him.	So the Duck came to them, and Hansel sat himself on, and bade his sister sit beside him.
