8297_275155_000000_000000	Randal refused to let him go at all.	Randal refused to let him go at all.	false	0	3.18	22.859064
8297_275155_000000_000001	"You will stay here with me; and if I happen to be away, there will be somebody in the house, who is almost as fond of you as I am." He mentioned the name of one of the old servants at Mount Morven, who had attached himself to Randal after the breakup of the family.	"You will stay here with me; and if I happen to be away, there will be somebody in the house, who is almost as fond of you as I am." He mentioned the name of one of the old servants at Mount Morven, who had attached himself to Randal after the breakup of the family.	false	3.18	23.31	24.974861
8297_275155_000000_000002	"And now rest," he said, "and let me put this cushion under your head."	"And now rest," he said, "and let me put this cushion under your head."	false	23.31	24.66	29.178019
8297_275155_000001_000000	Herbert answered: "It's like being at home again"--and composed himself to rest.	Herbert answered: "It's like being at home again"--and composed himself to rest.	false	24.66	25.26	27.164423
8297_275155_000002_000000	Chapter XL.	Chapter forty.	true	25.26	26.47	22.668133
8297_275155_000002_000001	Keep Your Temper.	Keep Your Temper.	true	26.99	31	31.452772
8297_275155_000003_000000	On the next day but one, Randal arranged his departure for Sydenham, so as to arrive at the hotel an hour before the time appointed for the dinner.	On the next day but one, Randal arranged his departure for Sydenham, so as to arrive at the hotel an hour before the time appointed for the dinner.	false	31.34	41.26	23.795149
8297_275155_000003_000001	His prospects of success, in pleading for a favorable reception of his brother's message, were so uncertain that he refrained--in fear of raising hopes which he might not be able to justify--from taking Herbert into his confidence.	His prospects of success, in pleading for a favorable reception of his brother's message, were so uncertain that he refrained-in fear of raising hopes which he might not be able to justify-from taking Herbert into his confidence.	true	41.69	56.65	24.30292
8297_275155_000003_000002	No one knew on what errand he was bent, when he left the house.	No one knew on what errand he was bent, when he left the house.	true	57.74	62.47	24.907812
8297_275155_000003_000003	As he took his place in the carriage, the newspaper boy appeared at the window as usual.	As he took his place in the carriage, the newspaper boy appeared at the window as usual.	true	63.47	68.44	23
8297_275155_000003_000004	The new number of a popular weekly journal had that day been published.	The new number of a popular weekly journal had that day been published.	true	68.93	73.51	21.510254
8297_275155_000003_000005	Randal bought it.	Randal bought it.	true	73.73	74.86	28.95216
8297_275155_000004_000000	After reading one or two of the political articles, he arrived at the columns specially devoted to "Fashionable Intelligence." Caring nothing for that sort of news, he was turning over the pages in search of the literary and dramatic articles, when a name not unfamiliar to him caught his eye.	After reading one or two of the political articles, he arrived at the columns specially devoted to "Fashionable Intelligence." Caring nothing for that sort of news, he was turning over the pages in search of the literary and dramatic articles, when a name not unfamiliar to him caught his eye.	true	75.74	94.39	22.781673
8297_275155_000004_000001	He read the paragraph in which it appeared.	He read the paragraph in which it appeared.	true	94.52	96.88	23.583828
8297_275155_000005_000000	"The charming widow, Mrs. Norman, is, we hear, among the distinguished guests staying at Buck's Hotel.	"The charming widow, mrs Norman, is, we hear, among the distinguished guests staying at Buck's Hotel.	true	97.88	105.34	19
8297_275155_000005_000001	It is whispered that the lady is to be shortly united to a retired naval officer of Arctic fame; now better known, perhaps, as one of our leading philanthropists."	It is whispered that the lady is to be shortly united to a retired naval officer of Arctic fame; now better known, perhaps, as one of our leading philanthropists."	true	106.22	117.67	24
8297_275155_000006_000000	The allusion to Bennydeck was too plain to be mistaken.	The allusion to Bennydeck was too plain to be mistaken.	true	119.84	123.25	27.451797
8297_275155_000006_000001	Randal looked again at the first words in the paragraph.	Randal looked again at the first words in the paragraph.	true	123.83	126.91	28.589603
8297_275155_000006_000002	"The charming widow!" Was it possible that this last word referred to Catherine?	"The charming widow!" Was it possible that this last word referred to Catherine?	true	127.43	133.69	26.902336
8297_275155_000006_000003	To suppose her capable of assuming to be a widow, and--if the child asked questions--of telling Kitty that her father was dead, was, in Randal's estimation, to wrong her cruelly.	To suppose her capable of assuming to be a widow, and-if the child asked questions-of telling Kitty that her father was dead, was, in Randal's estimation, to wrong her cruelly.	false	134.54	146.29	24.052597
8297_275155_000006_000004	With his own suspicions steadily contradicting him, he arrived at the hotel, obstinately believing that "the charming widow" would prove to be a stranger.	With his own suspicions steadily contradicting him, he arrived at the hotel, obstinately believing that "the charming widow" would prove to be a stranger.	true	147.2	158.07	27.58458
8297_275155_000007_000000	A first disappointment was in store for him when he entered the house. Mrs. Norman and her little daughter were out driving with a friend, and were expected to return in good time for dinner.	A first disappointment was in store for him when he entered the house. mrs Norman and her little daughter were out driving with a friend, and were expected to return in good time for dinner.	false	158.07	171.94	23.605976
8297_275155_000007_000001	Mrs. Presty was at home; she was reported to be in the garden of the hotel.	mrs Presty was at home; she was reported to be in the garden of the hotel.	true	172.61	178.87	25.958284
8297_275155_000008_000000	Randal found her comfortably established in a summerhouse, with her knitting in her hands, and a newspaper on her lap.	Randal found her comfortably established in a summerhouse, with her knitting in her hands, and a newspaper on her lap.	true	180.5	189.37	21.003178
8297_275155_000008_000001	She advanced to meet him, all smiles and amiability.	She advanced to meet him, all smiles and amiability.	true	189.41	193.57	24.916185
8297_275155_000008_000002	"How nice of you to come so soon!" she began.	"How nice of you to come so soon!" she began.	true	194.6	197.83	20
8297_275155_000008_000003	Her keen penetration discovered something in his face which checked the gayety of her welcome.	Her keen penetration discovered something in his face which checked the gayety of her welcome.	true	198.17	203.56	29.025269
8297_275155_000008_000004	"You don't mean to say that you are going to spoil our pleasant little dinner by bringing bad news!" she added, looking at him suspiciously.	"You don't mean to say that you are going to spoil our pleasant little dinner by bringing bad news!" she added, looking at him suspiciously.	true	204.32	213.16	26.816128
8297_275155_000009_000000	"It depends on you to decide that," Randal replied.	"It depends on you to decide that," Randal replied.	true	214.19	218.05	29.971478
8297_275155_000010_000000	"How very complimentary to a poor useless old woman!	"How very complimentary to a poor useless old woman!	true	218.96	222.91	20.533472
8297_275155_000010_000001	Don't be mysterious, my dear.	Don't be mysterious, my dear.	true	223.31	225.52	35.07261
8297_275155_000010_000002	I don't belong to the generation which raises storms in tea-cups, and calls skirmishes with savages battles.	I don't belong to the generation which raises storms in tea cups, and calls skirmishes with savages battles.	false	225.68	232.93	25.792122
8297_275155_000010_000003	Out with it!"	Out with it!"	true	233.42	234.4	31.783587
8297_275155_000011_000000	Randal handed his paper to her, open at the right place.	Randal handed his paper to her, open at the right place.	true	235.67	239.14	25.825605
8297_275155_000011_000001	"There is my news," he said.	"There is my news," he said.	true	239.42	241.78	21.711966
8297_275155_000012_000000	Mrs. Presty looked at the paragraph, and handed _her_ newspaper to Randal.	mrs Presty looked at the paragraph, and handed underscore her underscore newspaper to Randal.	false	242.54	247.69	22.061205
8297_275155_000013_000000	"I am indeed sorry to spoil your dramatic effect," she said.	"I am indeed sorry to spoil your dramatic effect," she said.	true	249.17	254.14	24.333282
8297_275155_000013_000001	"But you ought to have known that we are only half an hour behind you, at Sydenham, in the matter of news.	"But you ought to have known that we are only half an hour behind you, at Sydenham, in the matter of news.	false	254.39	260.11	18
8297_275155_000013_000002	The report is premature, my good friend.	The report is premature, my good friend.	true	260.6	263.26	32.886066
8297_275155_000013_000003	But if these newspaper people waited to find out whether a report is true or false, how much gossip would society get in its favorite newspapers?	But if these newspaper people waited to find out whether a report is true or false, how much gossip would society get in its favorite newspapers?	false	263.69	272.44	25
8297_275155_000013_000004	Besides, if it isn't true now, it will be true next week.	Besides, if it isn't true now, it will be true next week.	true	273.08	277.27	23.305807
8297_275155_000013_000005	The author only says, 'It's whispered.' How delicate of him!	The author only says, 'It's whispered.' How delicate of him!	true	277.52	282.97	25.750221
8297_275155_000013_000006	What a perfect gentleman!"	What a perfect gentleman!"	true	283.13	285.04	27.640963
8297_275155_000014_000000	"Am I really to understand, Mrs. Presty, that Catherine--"	"Am I really to understand, mrs Presty, that Catherine-"	true	286.61	290.56	23.412199
8297_275155_000015_000000	"You are to understand that Catherine is a widow.	"You are to understand that Catherine is a widow.	true	290.57	293.44	24.579891
8297_275155_000015_000001	I say it with pride, a widow of my making!"	I say it with pride, a widow of my making!"	true	293.63	297.37	26.212717
8297_275155_000016_000000	"If this is one of your jokes, ma'am--"	"If this is one of your jokes, ma'am-"	true	298.7	300.885	26.264614
8297_275155_000017_000000	"Nothing of the sort, sir."	"Nothing of the sort, sir."	false	300.885	303.15	21.851994
8297_275155_000018_000000	"Are you aware, Mrs. Presty, that my brother--"	"Are you aware, mrs Presty, that my brother-"	true	303.15	307.065	27.705023
