8297_275156_000000_000001	Make the Best of It.	Make the Best of It.
8297_275156_000001_000000	For a moment the two men looked at each other without speaking. Herbert's wondering eyes accurately reflected his brother's astonishment.	For a moment the two men looked at each other without speaking. Herbert's wondering eyes accurately reflected his brother's astonishment.
8297_275156_000002_000000	"What are you doing here?" he asked.	"What are you doing here?" he asked.
8297_275156_000002_000001	Suspicion overclouded his face as he put the question.	Suspicion overclouded his face as he put the question.
8297_275156_000002_000002	"You have been to the hotel?" he burst out; "you have seen Catherine?"	"You have been to the hotel?" he burst out; "you have seen Catherine?"
8297_275156_000003_000000	Randal could deny that he had seen Catherine, with perfect truth--and did deny it in the plainest terms.	Randal could deny that he had seen Catherine, with perfect truth-and did deny it in the plainest terms.
8297_275156_000003_000001	Herbert was satisfied.	Herbert was satisfied.
8297_275156_000003_000002	"In all my remembrance of you," he said, "you have never told me a lie.	"In all my remembrance of you," he said, "you have never told me a lie.
8297_275156_000003_000003	We have both seen the same newspaper, of course--and you have been the first to clear the thing up.	We have both seen the same newspaper, of course-and you have been the first to clear the thing up.
8297_275156_000003_000004	That's it, isn't it?"	That's it, isn't it?"
8297_275156_000005_000000	"No."	"no"
8297_275156_000006_000000	"She's not Catherine, at any rate; I, for one, shall go home with a lighter heart." He took his brother's arm, to return to the other platform.	"She's not Catherine, at any rate; I, for one, shall go home with a lighter heart." He took his brother's arm, to return to the other platform.
8297_275156_000006_000001	"Do you know, Randal, I was almost afraid that Catherine was the woman.	"Do you know, Randal, I was almost afraid that Catherine was the woman.
8297_275156_000006_000002	The devil take the thing, and the people who write in it!"	The devil take the thing, and the people who write in it!"
8297_275156_000007_000000	He snatched a newspaper out of his pocket as he spoke--tore it in half--and threw it away.	He snatched a newspaper out of his pocket as he spoke-tore it in half-and threw it away.
8297_275156_000007_000001	"Malcolm meant well, poor fellow," he said, referring to the old servant, "but he made a miserable man of me for all that."	"Malcolm meant well, poor fellow," he said, referring to the old servant, "but he made a miserable man of me for all that."
